Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
10,79,87,85,SUTIAKATI
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
10,79,87,95,NESARABAD (SWARUPKATI)
10,79,90,,ZIANAGAR
10,79,90,15,BALI PARA
10,79,90,43,PARERHAT
10,79,90,51,PATTASHI
20,,,,CHITTAGONG
20,3,,,BANDARBAN
20,3,4,,ALIKADAM
20,3,4,31,ALIKADAM
20,3,4,63,CHOKHYONG
20,3,14,,BANDARBAN SADAR
20,3,14,15,BANDARBAN
20,3,14,31,KUHALONG
20,3,14,47,RAJBILA
20,3,14,63,SUWALAK
20,3,14,79,TANKABATI
20,3,51,,LAMA
20,3,51,15,AZIZNAGAR
20,3,51,27,FAITANG
20,3,51,31,FASYAKHALI
20,3,51,47,GAJALIA
20,3,51,63,LAMA
20,3,51,68,RUPSHIPARA
20,3,51,79,SARAI
20,3,73,,NAIKHONGCHHARI
20,3,73,19,BAISHARI
20,3,73,38,DOCHHARI
20,3,73,57,GHUMDUM
20,3,73,76,NAIKHONGCHHARI
20,3,73,87,SONAICHHARI
20,3,89,,ROWANGCHHARI
20,3,89,19,ALIKHONG
20,3,89,38,NOWA PATANG
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
20,3,89,57,ROWANGCHHARI
20,3,89,76,TARACHHA
20,3,91,,RUMA
20,3,91,19,GHALANGYA
20,3,91,38,PAINDU
20,3,91,57,REMAKRI PRANSA
20,3,91,76,RUMA
20,3,95,,THANCHI
20,3,95,19,BALIPARA
20,3,95,38,REMAKRY
20,3,95,57,THANCHI
20,3,95,76,TINDU
20,12,,,BRAHMANBARIA
20,12,2,,AKHAURA
20,12,2,19,DAKSHIN AKHAURA
20,12,2,57,DHARKHAR
20,12,2,76,MANIAND
20,12,2,85,MOGRA
20,12,2,90,UTTAR AKHAURA
20,12,4,,BANCHHARAMPUR
20,12,4,14,AYUBPUR
20,12,4,23,DARIADAULAT
20,12,4,30,PAHARIAKANDI
20,12,4,36,SAIFULLAKANDI
20,12,4,45,RUPASDI
20,12,4,54,MANIKPUR
20,12,4,59,DARIKANDI
20,12,4,68,FARDABAD
20,12,4,77,UJAN CHAR
20,12,4,81,SALIMABAD
20,12,4,83,SONARAMPUR
20,12,4,88,TEZKHALI
20,12,4,94,BANCHHARAMPUR
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
20,12,7,,BIJOYNAGAR
20,12,7,28,BUDHANTI
20,12,7,32,CHANDURA
20,12,7,36,CHAR ISLMAPUR
20,12,7,43,CHAMPAKNAGAR
20,12,7,52,DAKSHIN SINGERBIL
20,12,7,56,HARASHPUR
20,12,7,66,PAHARPUR
20,12,7,72,PATTAN
20,12,7,91,UTTAR ICHHAPUR
20,12,7,96,BISHNUPUR
20,12,13,,BRAHMANBARIA SADAR
20,12,13,17,BASUDEB
20,12,13,48,DAKSHIN NATAI
20,12,13,50,SHUHILPUR
20,12,13,59,MACHHIHATA
20,12,13,61,MAJLISHPUR
20,12,13,81,PURBA TALSAHAR
20,12,13,83,RAMRAIL
20,12,13,86,SADEKPUR
20,12,13,88,SULTANPUR
20,12,13,93,UTTAR NATAI
20,12,13,94,BUDHAL
20,12,33,,ASHUGANJ
20,12,33,12,ARAISIDHA
20,12,33,14,ASHUGANG
20,12,33,26,CHAR CHARTALA
20,12,33,38,DURGAPUR
20,12,33,42,LALPUR
20,12,33,74,PASCHIM TALSAHAR
20,12,33,77,SHARIFPUR
20,12,33,83,TARUA
20,12,63,,KASBA
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
20,12,63,18,BADAIR
20,12,63,31,BAYEK
20,12,63,37,BINAUTI
20,12,63,50,GOPINATHPUR
20,12,63,56,KAIMPUR
20,12,63,63,KASBA PASCHIM
20,12,63,65,KHERERA
20,12,63,69,KUTI
20,12,63,82,MEHARI
20,12,63,94,MULGRAM
20,12,85,,NABINAGAR
20,12,85,12,BARIKANDI
20,12,85,13,BIDDYAKUT
20,12,85,18,BIRGAON
20,12,85,22,BITGHAR (TIARA)
20,12,85,27,IBRAHIMPUR
20,12,85,36,JUNEDPUR
20,12,85,40,KAITALA DAKSHIN
20,12,85,42,KAITALA UTTAR
20,12,85,45,KRISHNANAGAR
20,12,85,47,LAUR FATEHPUR
20,12,85,58,NATGHAR
20,12,85,60,PASCHIM NABINAGAR
20,12,85,62,PURBA NABINAGAR
20,12,85,67,RASULLABAD
20,12,85,72,RATANPUR
20,12,85,75,SALIMGANJ
20,12,85,81,BARAIL
20,12,85,83,SATMURA
20,12,85,86,SHIBPUR
20,12,85,88,SHYAMGRAM
20,12,85,90,SREERAMPUR
20,12,90,,NASIRNAGAR
Unions list of Bangladesh (as on 25-06-2014),,,,
