DistrictCode,DistrictName,DivisionCode,DivisionName,InputDivision,MeanFuzzRation,UpazillaName,Geo,UpazillaCode,FuzzRatio,FuzzRatioDivision,Meta
18,Chuadanga,40,Khulna,Khulna,86,Chuadanga Sadar,Chuadanga,23,72,100,MATCH
18,Chuadanga,40,Khulna,Khulna,36,Chuadanga Sadar,Chuadanga,23,72,0,MATCH
36,Habiganj,60,Sylhet,Sylhet,98,Chunarughat,Chunarughat,26,96,100,MATCH
36,Habiganj,60,Sylhet,Sylhet,48,Chunarughat,Chunarughat,26,96,0,MATCH
75,Noakhali,20,Chittagong,Chittagong,76.5,Companiganj,Comilla,21,53,100,MISS2 (geo from Geo var missing)
91,Sylhet,60,Sylhet,Chittagong,26.5,Companiganj,Comilla,27,53,0,MISS2 (geo from Geo var missing)
91,Sylhet,60,Sylhet,Sylhet,98,Companiganj,Companiganj,27,96,100,MATCH
75,Noakhali,20,Chittagong,Chittagong,98,Companiganj,Companiganj,21,96,100,MATCH
75,Noakhali,20,Chittagong,Chittagong,48,Companiganj,Companiganj,21,96,0,MATCH
75,Noakhali,20,Chittagong,Sylhet,48,Companiganj,Companiganj,21,96,0,MISSMATCH
22,Cox's Bazar,20,Chittagong,Chittagong,68,Cox's Bazar Sadar,Coxs,24,36,100,MATCH
64,Naogaon,50,Rajshahi,Chittagong,18,Porsha,Coxs,79,36,0,MISSMATCH
47,Khulna,40,Khulna,Khulna,96,Dacope,Dacope,17,92,100,MATCH
47,Khulna,40,Khulna,Khulna,46,Dacope,Dacope,17,92,0,MATCH
30,Feni,20,Chittagong,Chittagong,94,Daganbhuiyan,Dagonbhuiyan,25,88,100,MATCH
30,Feni,20,Chittagong,Chittagong,44,Daganbhuiyan,Dagonbhuiyan,25,88,0,MATCH
86,Shariatpur,30,Dhaka,Dhaka,87.5,Damudya,Damoddya,25,75,100,MATCH
18,Chuadanga,40,Khulna,Khulna,97.5,Damurhuda,Damurhuda,31,95,100,MATCH
18,Chuadanga,40,Khulna,Khulna,47.5,Damurhuda,Damurhuda,31,95,0,MATCH
78,Patuakhali,10,Barisal,Barisal,97,Dashmina,Dashmina,52,94,100,MATCH
78,Patuakhali,10,Barisal,Barisal,47,Dashmina,Dashmina,52,94,0,MATCH
19,Comilla,20,Chittagong,Chittagong,97.5,Daudkandi,Daudkandi,36,95,100,MATCH
19,Comilla,20,Chittagong,Chittagong,47.5,Daudkandi,Daudkandi,36,95,0,MATCH
9,Bhola,10,Barisal,Barisal,91,Daulat Khan,Daulatkhan,29,82,100,MATCH
9,Bhola,10,Barisal,Barisal,41,Daulat Khan,Daulatkhan,29,82,0,MATCH
56,Manikganj,30,Dhaka,Dhaka,97.5,Daulatpur,Daulatpur,10,95,100,MATCH
50,Kushtia,40,Khulna,Khulna,97.5,Daulatpur,Daulatpur,39,95,100,MATCH
50,Kushtia,40,Khulna,Dhaka,47.5,Daulatpur,Daulatpur,39,95,0,MATCH
87,Satkhira,40,Khulna,Khulna,96.5,Debhata,Debhata,25,93,100,MATCH
87,Satkhira,40,Khulna,Khulna,46.5,Debhata,Debhata,25,93,0,MATCH
19,Comilla,20,Chittagong,Chittagong,97,Debidwar,Debidwar,40,94,100,MATCH
19,Comilla,20,Chittagong,Chittagong,47,Debidwar,Debidwar,40,94,0,MATCH
77,Panchagarh,55,Rangpur,Rangpur,97,Debiganj,Debiganj,34,94,100,MATCH
77,Panchagarh,55,Rangpur,Rangpur,47,Debiganj,Debiganj,34,94,0,MATCH
93,Tangail,30,Dhaka,Dhaka,96.5,Delduar,Delduar,23,93,100,MATCH
93,Tangail,30,Dhaka,Dhaka,46.5,Delduar,Delduar,23,93,0,MATCH
39,Jamalpur,30,Dhaka,Mymensingh,54,Dewanganj,Dewanganj,15,95,13,MATCH
39,Jamalpur,30,Dhaka,Mymensingh,47.5,Dewanganj,Dewanganj,15,95,0,MATCH
64,Naogaon,50,Rajshahi,Rajshahi,97.5,Dhamoirhat,Dhamoirhat,28,95,100,MATCH
64,Naogaon,50,Rajshahi,Rajshahi,47.5,Dhamoirhat,Dhamoirhat,28,95,0,MATCH
26,Dhaka,30,Dhaka,Dhaka,96.5,Dhamrai,Dhamrai,14,93,100,MATCH
26,Dhaka,30,Dhaka,Dhaka,46.5,Dhamrai,Dhamrai,14,93,0,MATCH
90,Sunamganj,60,Sylhet,Sylhet,91,Dharampasha,Dharmapasa,32,82,100,MATCH
90,Sunamganj,60,Sylhet,Sylhet,41,Dharampasha,Dharmapasa,32,82,0,MATCH
90,Sunamganj,60,Sylhet,Sylhet,91.5,Derai,Dherai,29,83,100,MATCH
90,Sunamganj,60,Sylhet,Sylhet,41.5,Derai,Dherai,29,83,0,MATCH
61,Mymensingh,30,Dhaka,Mymensingh,47.5,Dhobaura,Dhubaura,16,82,13,MATCH
61,Mymensingh,30,Dhaka,Mymensingh,41,Dhobaura,Dhubaura,16,82,0,MATCH
10,Bogra,50,Rajshahi,Rajshahi,88.5,Dhunat,Dhunot,27,77,100,MATCH
10,Bogra,50,Rajshahi,Rajshahi,38.5,Dhunat,Dhunot,27,77,0,MATCH
46,Khagrachhari,20,Chittagong,Chittagong,97.5,Dighinala,Dighinala,43,95,100,MATCH
46,Khagrachhari,20,Chittagong,Chittagong,47.5,Dighinala,Dighinala,43,95,0,MATCH
47,Khulna,40,Khulna,Khulna,91,Dighalia,Digholia,40,82,100,MATCH
47,Khulna,40,Khulna,Khulna,41,Dighalia,Digholia,40,82,0,MATCH
73,Nilphamari,55,Rangpur,Rangpur,95.5,Dimla,Dimla,12,91,100,MATCH
27,Dinajpur,55,Rangpur,Rangpur,85,Dinajpur Sadar,Dinajpur,64,70,100,MATCH
27,Dinajpur,55,Rangpur,Rangpur,35,Dinajpur Sadar,Dinajpur,64,70,0,MATCH
26,Dhaka,30,Dhaka,Dhaka,95.5,Dohar,Dohar,18,91,100,MATCH
26,Dhaka,30,Dhaka,Dhaka,45.5,Dohar,Dohar,18,91,0,MATCH
73,Nilphamari,55,Rangpur,Rangpur,95.5,Domar,Domar,15,91,100,MATCH
15,Chittagong,20,Chittagong,Chittagong,85.5,Double Mooring Thana,Doublemooring,28,71,100,MATCH
15,Chittagong,20,Chittagong,Chittagong,35.5,Double Mooring Thana,Doublemooring,28,71,0,MATCH
90,Sunamganj,60,Sylhet,Sylhet,83.5,Dowarabazar,Dowara,33,67,100,MATCH
15,Chittagong,20,Chittagong,Sylhet,35.5,Anowara,Dowara,4,71,0,MISSMATCH
78,Patuakhali,10,Barisal,Barisal,95.5,Dumki,Dumki,55,91,100,MATCH
78,Patuakhali,10,Barisal,Barisal,45.5,Dumki,Dumki,55,91,0,MATCH
47,Khulna,40,Khulna,Khulna,96.5,Dumuria,Dumuria,30,93,100,MATCH
47,Khulna,40,Khulna,Khulna,46.5,Dumuria,Dumuria,30,93,0,MATCH
10,Bogra,50,Rajshahi,Rajshahi,96,Dhupchanchia,Dupchanchia,33,92,100,MATCH
10,Bogra,50,Rajshahi,Rajshahi,46,Dhupchanchia,Dupchanchia,33,92,0,MATCH
81,Rajshahi,50,Rajshahi,Rajshahi,97,Durgapur,Durgapur,31,94,100,MATCH
81,Rajshahi,50,Rajshahi,Mymensingh,58,Durgapur,Durgapur,31,94,22,MISSMATCH
81,Rajshahi,50,Rajshahi,Rajshahi,47,Durgapur,Durgapur,31,94,0,MATCH
81,Rajshahi,50,Rajshahi,Mymensingh,47,Durgapur,Durgapur,31,94,0,MISSMATCH
1,Bagerhat,40,Khulna,Khulna,97,Fakirhat,Fakirhat,34,94,100,MATCH
1,Bagerhat,40,Khulna,Khulna,47,Fakirhat,Fakirhat,34,94,0,MATCH
13,Chandpur,20,Chittagong,Chittagong,97.5,Faridganj,Faridganj,45,95,100,MATCH
13,Chandpur,20,Chittagong,Chittagong,47.5,Faridganj,Faridganj,45,95,0,MATCH
61,Mymensingh,30,Dhaka,Dhaka,85.5,Gauripur,Faridpur,23,71,100,MISSMATCH
