,thana,District,Division,program
2,Companiganj,0505,05(1),thana_process
3,Sudharam,0505,05(1),thana_process
4,Hatiya,0505,05(1),thana_process
5,Chatkhil,0505,05(1),thana_process
6,Subarna,0505,05(1),thana_process
7,Sonaimuri,0505,05(1),thana_process
8,Kabirhat,0505,05(1),thana_process
0,Fenchuganj,0601,06(1),thana_process
1,Gowainghat,0601,06(1),thana_process
2,Jakiganj,0601,06(1),thana_process
3,Jaintapur,0601,06(1),thana_process
4,Balaganj,0601,06(1),thana_process
5,Golapganj,0601,06(1),thana_process
6,Sylhet,0601,06(1),thana_process
7,Biani,0601,06(1),thana_process
8,Kanaighat,0601,06(1),thana_process
9,Biswanath,0601,06(1),thana_process
10,Companiganj,0601,06(1),thana_process
11,South,0601,06(1),thana_process
0,Adarsho,0502,05(1),thana_process
1,Chouddagram,0502,05(1),thana_process
2,Barura,0502,05(1),thana_process
3,Laksham,0502,05(1),thana_process
4,Burichong,0502,05(1),thana_process
5,Brahmanpara,0502,05(1),thana_process
6,Homna,0502,05(1),thana_process
7,Muradnagar,0502,05(1),thana_process
8,Debidwar,0502,05(1),thana_process
9,Daudkandi,0502,05(1),thana_process
10,Chandina,0502,05(1),thana_process
11,Nangolkot,0502,05(1),thana_process
12,Meghna,0502,05(1),thana_process
13,Titash,0502,05(1),thana_process
14,Comilla,0502,05(1),thana_process
15,Monohargonj,0502,05(1),thana_process
0,Sharasti,0503,05(1),thana_process
1,Matlab,0503,05(1),thana_process
2,Hajiganj,0503,05(1),thana_process
3,Chandpur,0503,05(1),thana_process
4,Kachua,0503,05(1),thana_process
5,Faridganj,0503,05(1),thana_process
6,Hemchar,0503,05(1),thana_process
7,Motlab,0503,05(1),thana_process
0,Manikganj,0411,04(1),thana_process
1,Saturia,0411,04(1),thana_process
2,Singair,0411,04(1),thana_process
3,Daulatpur,0411,04(1),thana_process
4,Harirampur,0411,04(1),thana_process
5,Shibalaya,0411,04(1),thana_process
6,Ghior,0411,04(1),thana_process
0,Durgapur,0113,01(1),thana_process
1,Poba,0113,01(1),thana_process
2,Mohanpur,0113,01(1),thana_process
3,Puthiya,0113,01(1),thana_process
4,Bagmara,0113,01(1),thana_process
5,Charghat,0113,01(1),thana_process
6,Boalia,0113,01(1),thana_process
7,Tanore,0113,01(1),thana_process
8,Godagari,0113,01(1),thana_process
9,Bagha,0113,01(1),thana_process
0,Meherpur,0202,02(1),thana_process
1,Gagni,0202,02(1),thana_process
2,Mujibnagar,0202,02(1),thana_process
0,Nachol,0112,01(1),thana_process
1,Gomostapur,0112,01(1),thana_process
2,Shibganj,0112,01(1),thana_process
3,Chapai,0112,01(1),thana_process
4,Bholahat,0112,01(1),thana_process
0,Dhamrai,0406,04(1),thana_process
1,Mirpur,0406,04(1),thana_process
2,Keraniganj,0406,04(1),thana_process
3,Savar,0406,04(1),thana_process
4,Nawabganj,0406,04(1),thana_process
5,Tejgaon,0406,04(1),thana_process
6,Dohar,0406,04(1),thana_process
0,Chuadanga,0203,02(1),thana_process
1,Jiban,0203,02(1),thana_process
2,Damurhuda,0203,02(1),thana_process
3,Alamdanga,0203,02(1),thana_process
0,Kalia,0206,02(1),thana_process
1,Lohagara,0206,02(1),thana_process
2,Narail,0206,02(1),thana_process
0,Tongibari,0408,04(1),thana_process
1,Gazaria,0408,04(1),thana_process
2,Serajdikhan,0408,04(1),thana_process
3,Munshiganj,0408,04(1),thana_process
4,Srinagar,0408,04(1),thana_process
5,Lohajong,0408,04(1),thana_process
0,Rajbari,0405,04(1),thana_process
1,Baliakandi,0405,04(1),thana_process
2,Goalunda,0405,04(1),thana_process
3,Pangsha,0405,04(1),thana_process
0,Jhikarghachha,0207,02(1),thana_process
1,Jessore,0207,02(1),thana_process
2,Sarsa,0207,02(1),thana_process
3,Keshobpur,0207,02(1),thana_process
4,Bagherpara,0207,02(1),thana_process
5,Monirampur,0207,02(1),thana_process
6,Abhaynagar,0207,02(1),thana_process
7,Chowgachha,0207,02(1),thana_process
0,Mirzapur,0412,04(1),thana_process
1,Nagarpur,0412,04(1),thana_process
2,Bhuapur,0412,04(1),thana_process
