ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,All ages,Percentage of population in the age group 0-4,Percentage of population in the age group 5-9,Percentage of population in the age group 10-14,Percentage of population in the age group 15-19,Percentage of population in the age group 20-24,Percentage of population in the age group 25-29,Percentage of population in the age group 30-49,Percentage of population in the age group 50-59,Percentage of population in the age group 60-64,Percentage of population in the age group 65+,check_var
06,69.0,XX.0,XXX,XX,02,  Muladi Upazila,20490,10.8,12.6,13.5,8.3,8.2,8.7,23.6,5.8,2.9,5.6,00110
06,69.0,XX.0,XXX,XX,02,Muladi Paurashava,20490,10.8,12.6,13.5,8.3,8.2,8.7,23.6,5.8,2.9,5.6,00110
79,XX.0,XX.0,XXX,XX,02, Pirojpur Zila,98450,8.8,10.5,12.0,9.3,9.0,9.1,26.4,6.8,2.7,5.5,00110
79,58.0,XX.0,XXX,XX,02,  Mathbaria Upazila,18375,9.4,11.3,11.9,7.7,8.2,10.2,27.7,6.5,2.6,4.5,00110
79,58.0,XX.0,XXX,XX,02,Mathbaria  Paurashava,18375,9.4,11.3,11.9,7.7,8.2,10.2,27.7,6.5,2.6,4.5,00110
79,80.0,XX.0,XXX,XX,02,  Pirojpur Sadar Upazila,60056,8.7,10.4,11.5,9.1,8.9,9.2,26.9,7.1,2.7,5.5,00110
79,80.0,XX.0,XXX,XX,02,Pirojpur  Paurashava,60056,8.7,10.4,11.5,9.1,8.9,9.2,26.9,7.1,2.7,5.5,00110
79,87.0,XX.0,XXX,XX,02,  Nesarabad Upazila,20019,8.6,9.7,13.7,11.3,10.1,7.9,23.5,6.3,2.6,6.1,00110
79,87.0,XX.0,XXX,XX,02,Swarupkati  Paurashava,20019,8.6,9.7,13.7,11.3,10.1,7.9,23.5,6.3,2.6,6.1,00110
09,XX.0,XX.0,XXX,XX,02, Bhola Zila,117432,9.5,11.8,13.2,9.8,8.9,9.1,24.8,6.2,2.5,4.3,00110
09,18.0,XX.0,XXX,XX,02,  Bhola Sadar Upazila,47477,8.9,10.8,12.8,9.6,9.4,9.0,26.5,6.6,2.4,4.2,00110
09,21.0,XX.0,XXX,XX,02,  Burhanuddin Upazila,13110,10.0,11.9,13.5,10.4,8.3,9.3,23.9,6.1,2.5,4.1,00110
09,25.0,XX.0,XXX,XX,02,  Char Fasson Upazila,19595,9.6,12.2,12.6,10.0,8.5,9.5,24.3,5.8,2.6,4.8,00110
09,29.0,XX.0,XXX,XX,02,  Daulat Khan Upazila,16728,10.9,13.5,13.3,10.3,9.3,8.8,21.2,5.8,2.7,4.2,00110
09,54.0,XX.0,XXX,XX,02,  Lalmohan Upazila,20522,9.6,12.5,14.2,9.6,8.0,8.9,24.6,5.9,2.5,4.2,00110
04,XX.0,XX.0,XXX,XX,02, Barguna Zila,76927,8.6,10.4,11.1,8.9,8.2,10.3,28.8,6.7,2.6,4.5,00110
04,9.0,XX.0,XXX,XX,02,  Amtali Upazila,17311,9.1,11.3,11.4,8.5,8.0,10.4,28.5,6.3,2.5,4.0,00110
04,9.0,XX.0,XXX,XX,02,Amtali  Paurashava,17311,9.1,11.3,11.4,8.5,8.0,10.4,28.5,6.3,2.5,4.0,00110
04,28.0,XX.0,XXX,XX,02,  Barguna Sadar Upazila,32235,8.3,9.7,10.9,9.4,8.6,10.3,29.4,6.7,2.5,4.3,00110
04,28.0,XX.0,XXX,XX,02,Barguna  Paurashava,32235,8.3,9.7,10.9,9.4,8.6,10.3,29.4,6.7,2.5,4.3,00110
04,47.0,XX.0,XXX,XX,02,  Betagi Upazila,10204,8.4,10.6,11.3,9.1,7.0,9.4,28.1,7.5,3.1,5.5,00110
04,47.0,XX.0,XXX,XX,02,Betagi  Paurashava,10204,8.4,10.6,11.3,9.1,7.0,9.4,28.1,7.5,3.1,5.5,00110
04,85.0,XX.0,XXX,XX,02,  Patharghata Upazila,17177,9.0,10.9,11.2,8.2,8.3,10.5,28.2,6.5,2.4,4.7,00110
04,85.0,XX.0,XXX,XX,02,Patharghata  Paurashava,17177,9.0,10.9,11.2,8.2,8.3,10.5,28.2,6.5,2.4,4.7,00110
52,XX.0,XX.0,XXX,XX,02, Lalmonirhat Zila,90887,9.5,12.0,11.7,9.4,9.1,9.9,25.6,6.6,2.4,3.9,00110
52,55.0,XX.0,XXX,XX,02,  Lalmonirhat Sadar Upazila,60322,8.7,10.8,11.3,9.6,9.3,10.1,26.6,7.0,2.5,4.1,00110
52,55.0,XX.0,XXX,XX,02,Lalmonirhat  Paurashava,60322,8.7,10.8,11.3,9.6,9.3,10.1,26.6,7.0,2.5,4.1,00110
52,70.0,XX.0,XXX,XX,02,  Patgram Upazila,30565,11.0,14.3,12.6,9.0,8.6,9.4,23.6,5.7,2.3,3.4,00110
52,70.0,XX.0,XXX,XX,02,Patgram  Paurashava,30565,11.0,14.3,12.6,9.0,8.6,9.4,23.6,5.7,2.3,3.4,00110
77,XX.0,XX.0,XXX,XX,02, Panchagarh Zila,60376,9.1,10.8,11.3,10.5,9.9,9.8,26.7,6.3,2.2,3.3,00110
77,25.0,XX.0,XXX,XX,02,  Boda Upazila,14787,9.2,11.8,10.5,9.0,8.9,10.0,28.1,6.7,2.5,3.3,00110
77,73.0,XX.0,XXX,XX,02,  Panchagarh Sadar Upazila,45589,9.1,10.4,11.6,11.0,10.3,9.8,26.3,6.2,2.1,3.3,00110
85,XX.0,XX.0,XXX,XX,02, Rangpur Zila,387370,8.1,10.1,11.4,10.8,11.4,9.7,26.1,6.5,2.3,3.6,00110
