ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Households-Total,Households-General,Households-Institutional,Households-Others,Population-Both,Population-Male,Population-Female,Sex Ratio,check_var
1,58,XX,XXX,XX,XX,Mongla Upazila Total,32383,31912,39,432,136588,71492,65096.0,110.0,01111
1,60,XX,XXX,XX,XX,Morrelganj Upazila Total,75968,75609,30,329,294576,143251,151325.0,95.0,01111
1,73,XX,XXX,XX,XX,Rampal Upazila Total,38173,38032,30,111,154965,77504,77461.0,100.0,01111
1,77,XX,XXX,XX,XX,Sarankhola Upazila Total,28581,26301,23,2257,119084,62400,56684.0,110.0,01111
55,57,XX,XXX,XX,XX,Magura Sadar Upazila Total,86162,85888,72,202,380107,189113,190994.0,99.0,01111
55,66,XX,XXX,XX,XX,Mohammadpur Upazila Total,44900,44845,19,36,207905,102099,105806.0,96.0,01111
55,85,XX,XXX,XX,XX,Shalikha Upazila Total,36905,36867,10,28,163658,81536,82122.0,99.0,01111
55,95,XX,XXX,XX,XX,Sreepur Upazila Total,37935,37892,12,31,166749,81991,84758.0,97.0,01111
50,15,XX,XXX,XX,XX,Bheramara Upazila Total,47586,47454,18,114,200084,98822,101262.0,98.0,01111
50,39,XX,XXX,XX,XX,Daulatpur Upazila Total,115715,115601,28,86,456372,227711,228661.0,100.0,01111
50,63,XX,XXX,XX,XX,Khoksa Upazila Total,32110,32085,12,13,129555,64496,65059.0,99.0,01111
50,71,XX,XXX,XX,XX,Kumarkhali Upazila Total,79008,78929,10,69,328457,163461,164996.0,99.0,01111
50,79,XX,XXX,XX,XX,Kushtia Sadar Upazila Total,120087,119241,93,753,502255,253499,248756.0,102.0,01111
50,94,XX,XXX,XX,XX,Mirpur Upazila Total,82783,82679,26,78,330115,165529,164586.0,101.0,01111
57,47,XX,XXX,XX,XX,Gangni Upazila Total,77580,77470,19,91,299607,148250,151357.0,98.0,01111
57,60,XX,XXX,XX,XX,Mujib Nagar Upazila Total,24602,24566,12,24,99143,49084,50059.0,98.0,01111
57,87,XX,XXX,XX,XX,Meherpur Sadar Upazila Total,64130,63938,22,170,256642,127300,129342.0,98.0,01111
87,04,XX,XXX,XX,XX,Assasuni Upazila Total,62037,61964,13,60,268754,133990,134764.0,99.0,01111
87,25,XX,XXX,XX,XX,Debhata Upazila Total,29813,29759,13,41,125358,62429,62929.0,99.0,01111
87,43,XX,XXX,XX,XX,Kalaroa Upazila Total,59282,59222,20,40,237992,116811,121181.0,96.0,01111
87,47,XX,XXX,XX,XX,Kaliganj Upazila Total,64909,64796,25,88,274889,136089,138800.0,98.0,01111
87,82,XX,XXX,XX,XX,Satkhira Sadar Upazila Total,109105,108643,62,400,460892,230628,230264.0,100.0,01111
87,86,XX,XXX,XX,XX,Shyamnagar Upazila Total,72279,72065,24,190,318254,153441,164813.0,93.0,01111
87,90,XX,XXX,XX,XX,Tala Upazila Total,72465,72404,15,46,299820,149389,150431.0,99.0,01111
42,40,XX,XXX,XX,XX,Jhalokati Sadar Upazila Total,50315,50083,66,166,216348,105468,110880.0,95.0,01111
42,43,XX,XXX,XX,XX,Kanthalia Upazila Total,30855,30758,7,90,124271,60515,63756.0,95.0,01111
42,73,XX,XXX,XX,XX,Nalchity Upazila Total,43066,42914,27,125,193556,92131,101425.0,91.0,01111
42,84,XX,XXX,XX,XX,Rajapur Upazila Total,33903,33804,23,76,148494,71033,77461.0,92.0,01111
78,38,XX,XXX,XX,XX,Bauphal Upazila Total,67833,67663,12,158,304284,144545,159739.0,90.0,01111
78,52,XX,XXX,XX,XX,Dashmina Upazila Total,28490,28443,3,44,123388,60241,63147.0,95.0,01111
78,55,XX,XXX,XX,XX,Dumki Upazila Total,15542,15491,15,36,70655,33802,36853.0,92.0,01111
78,57,XX,XXX,XX,XX,Galachipa Upazila Total,80054,79884,25,145,361518,179652,181866.0,99.0,01111
78,66,XX,XXX,XX,XX,Kala Para Upazila Total,57525,57233,29,263,237831,120514,117317.0,103.0,01111
78,76,XX,XXX,XX,XX,Mirzaganj Upazila Total,28205,28159,11,35,121716,59292,62424.0,95.0,01111
78,95,XX,XXX,XX,XX,Patuakhali Sadar Upazila Total,68813,68240,62,511,316462,155395,161067.0,96.0,01111
6,02,XX,XXX,XX,XX,Agailjhara Upazila Total,32839,32748,17,74,149456,72421,77035.0,94.0,01111
6,03,XX,XXX,XX,XX,Babuganj Upazila Total,31663,31603,26,34,140361,67586,72775.0,93.0,01111
6,07,XX,XXX,XX,XX,Bakerganj Upazila Total,71537,71425,33,79,313845,148925,164920.0,90.0,01111
6,10,XX,XXX,XX,XX,Banari Para Upazila Total,34186,34116,20,50,148188,73073,75115.0,97.0,01111
6,32,XX,XXX,XX,XX,Gaurnadi Upazila Total,41561,41380,25,156,188586,92209,96377.0,96.0,01111
6,36,XX,XXX,XX,XX,Hizla Upazila Total,30529,30425,14,90,146077,72789,73288.0,99.0,01111
6,51,XX,XXX,XX,XX,Barisal Sadar Upazila Total,114774,112800,228,1746,527017,267207,259810.0,103.0,01111
6,62,XX,XXX,XX,XX,Mehendiganj Upazila Total,65231,65160,13,58,301046,146926,154120.0,95.0,01111
6,69,XX,XXX,XX,XX,Muladi Upazila Total,38394,38297,24,73,174775,82545,92230.0,89.0,01111
6,94,XX,XXX,XX,XX,Wazirpur Upazila Total,52959,52826,25,108,234959,113529,121430.0,93.0,01111
