ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 3-5 years-Attending school-Male,Population aged 3-5 years-Attending school-Female,Population aged 3-5 years-Not attending school-Male,Population aged 3-5 years-Not attending school-Female,Population aged 6-10 years-Attending school-Male,Population aged 6-10 years-Attending school-Female,Population aged 6-10 years-Not attending school-Male,Population aged 6-10 years-Not attending school-Female,Population aged 11-14 years-Attending school-Male,Population aged 11-14 years-Attending school-Female,Population aged 11-14 years-Not attending school-Male,Population aged 11-14 years-Not attending school-Female,check_var
73,12,19,XXX,XX,01,  Dimla Union,46,51,1051,983,1591,1461,370,329,1062,1119,246,126,00110
73,15,19,XXX,XX,01,  Bhogdabari Union,90,103,1191,1171,1781,1638,512,372,973,981,251,137,00110
73,15,28,XXX,XX,01,  Boragari Union,113,107,775,756,1212,1161,252,214,657,660,224,115,00110
73,15,38,XXX,XX,01,  Domar Union,52,58,432,381,599,594,125,132,414,384,100,65,00110
73,45,51,XXX,XX,01,  Kishoreganj Union,117,134,1073,1019,1527,1428,449,384,868,928,276,154,00110
73,85,23,XXX,XX,01,  Bangalipur Union,69,65,556,557,955,892,211,177,606,699,155,92,00110
94,08,21,XXX,XX,01,  Barabari Union,19,22,656,664,894,791,279,251,604,557,156,124,00110
94,08,73,XXX,XX,01,  Duosuo Union,68,47,773,658,1122,976,339,284,727,671,144,94,00110
94,51,81,XXX,XX,01,  Haripur Union,19,10,627,633,947,916,272,228,686,755,116,70,00110
94,94,52,XXX,XX,01,  Jamalpur Union,71,42,712,735,999,921,290,228,698,766,136,82,00110
94,94,58,XXX,XX,01,  Mohammadpur Union,79,84,575,543,936,897,140,126,623,630,127,56,00110
94,94,68,XXX,XX,01,  Rahimanpur Union,105,122,1041,942,1562,1457,309,273,1060,1138,173,118,00110
27,10,71,XXX,XX,01,  Khanpur Union,66,54,574,524,854,839,289,252,803,722,151,66,00110
27,10,83,XXX,XX,01,  Pali Prayagpur Union,55,48,205,182,399,375,67,53,287,267,40,14,00110
27,17,28,XXX,XX,01,  Biral Union,113,110,838,853,1312,1310,329,261,905,927,268,132,00110
27,30,13,XXX,XX,01,  Abdulpur Union,121,106,1103,979,1626,1556,302,233,1061,1148,219,83,00110
27,43,38,XXX,XX,01,  Ghoraghat Union,35,25,314,344,626,556,126,128,352,384,86,40,00110
27,56,31,XXX,XX,01,  Mukundapur Union,79,89,825,784,1440,1190,232,191,897,815,174,104,00110
27,60,15,XXX,XX,01,  Alokjhari Union,69,97,994,891,1304,1187,320,256,817,920,215,93,00110
27,64,69,XXX,XX,01,  Shashara Union,69,86,762,744,1069,1103,267,237,824,896,209,87,00110
27,64,77,XXX,XX,01,  Sekhpura Union,78,71,922,926,1238,1307,384,302,984,1020,283,155,00110
