ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total,Muslim,Hindu,Christian,Buddhist,Others,check_var
18,23,71,XXX,XX,XX,Shankar Chandra Union Total,47315,46415,863,36,1,0,00111
18,23,83,XXX,XX,XX,Titudaha Union Total,41140,39875,1264,0,1,0,00111
18,31,01,XXX,XX,XX,  Ward No-01 Total,3636,3624,12,0,0,0,00111
18,31,02,XXX,XX,XX,  Ward No-02 Total,4206,3868,325,13,0,0,00111
18,31,03,XXX,XX,XX,  Ward No-03 Total,3628,3446,165,14,3,0,00111
18,31,04,XXX,XX,XX,  Ward No-04 Total,3594,3475,100,19,0,0,00111
18,31,05,XXX,XX,XX,  Ward No-05 Total,3708,3678,30,0,0,0,00111
18,31,06,XXX,XX,XX,  Ward No-06 Total,3711,3164,217,0,0,330,00111
18,31,07,XXX,XX,XX,  Ward No-07 Total,3063,2739,324,0,0,0,00111
18,31,08,XXX,XX,XX,  Ward No-08 Total,4288,4216,72,0,0,0,00111
18,31,09,XXX,XX,XX,  Ward No-09 Total,3562,3562,0,0,0,0,00111
18,31,11,XXX,XX,XX,Damurhuda Union Total,41442,40376,1066,0,0,0,00111
18,31,23,XXX,XX,XX,  Perkrishnapur Madna Union Total,25054,24890,163,0,1,0,00111
18,31,35,XXX,XX,XX,Howli Union Total,40012,39211,801,0,0,0,00111
18,31,47,XXX,XX,XX,  Juranpur Union Total,36675,36448,227,0,0,0,00111
18,31,59,XXX,XX,XX,  Kapasadanga Union Total,46298,44599,379,1319,0,1,00111
18,31,71,XXX,XX,XX,  Kuralgachhi Union Total,29643,29447,193,3,0,0,00111
18,31,83,XXX,XX,XX,  Natipota Union Total,37057,36498,511,48,0,0,00111
18,55,01,XXX,XX,XX,  Ward No-01 Total,1365,1217,148,0,0,0,00111
18,55,02,XXX,XX,XX,  Ward No-02 Total,2755,2724,31,0,0,0,00111
18,55,03,XXX,XX,XX,  Ward No-03 Total,3019,2926,93,0,0,0,00111
18,55,04,XXX,XX,XX,  Ward No-04 Total,2848,2719,129,0,0,0,00111
18,55,05,XXX,XX,XX,  Ward No-05 Total,2731,2731,0,0,0,0,00111
18,55,06,XXX,XX,XX,  Ward No-06 Total,2472,2273,199,0,0,0,00111
18,55,07,XXX,XX,XX,  Ward No-07 Total,2616,2596,20,0,0,0,00111
18,55,08,XXX,XX,XX,  Ward No-08 Total,4475,4428,37,4,0,6,00111
18,55,09,XXX,XX,XX,  Ward No-09 Total,3237,3237,0,0,0,0,00111
18,55,19,XXX,XX,XX,  Andulbaria Union Total,27397,26855,542,0,0,0,00111
18,55,38,XXX,XX,XX,Banka Union Total,48391,46932,1459,0,0,0,00111
18,55,57,XXX,XX,XX,  Simanta Union Total,29268,28859,408,0,0,1,00111
18,55,76,XXX,XX,XX,Uthali Union Total,49007,47587,1391,1,1,27,00111
65,28,01,XXX,XX,XX,  Ward No-01 Total,1906,441,1464,0,0,1,00111
65,28,02,XXX,XX,XX,  Ward No-02 Total,3020,1926,1090,4,0,0,00111
65,28,03,XXX,XX,XX,  Ward No-03 Total,2267,2234,33,0,0,0,00111
65,28,04,XXX,XX,XX,  Ward No-04 Total,1842,1312,509,21,0,0,00111
65,28,05,XXX,XX,XX,  Ward No-05 Total,2077,1923,154,0,0,0,00111
65,28,06,XXX,XX,XX,  Ward No-06 Total,1859,1180,678,1,0,0,00111
65,28,07,XXX,XX,XX,  Ward No-07 Total,1962,1962,0,0,0,0,00111
65,28,08,XXX,XX,XX,  Ward No-08 Total,2329,2011,318,0,0,0,00111
65,28,09,XXX,XX,XX,  Ward No-09 Total,2416,1881,535,0,0,0,00111
65,28,13,XXX,XX,XX,  Babra Hachla Union Total,10329,8142,2186,1,0,0,00111
65,28,14,XXX,XX,XX,Boranal Eliasabad Union Total,6381,6294,87,0,0,0,00111
65,28,15,XXX,XX,XX,  Bauisena Union Total,18961,13832,5120,6,0,3,00111
65,28,23,XXX,XX,XX,  Hamidpur Union Total,15074,12280,2793,1,0,0,00111
65,28,31,XXX,XX,XX,  Chanchari Union Total,15317,12709,2608,0,0,0,00111
65,28,39,XXX,XX,XX,  Joynagar Union Total,14092,13166,919,7,0,0,00111
65,28,47,XXX,XX,XX,  Kalabaria Union Total,16066,13293,2773,0,0,0,00111
65,28,63,XXX,XX,XX,  Khasial Union Total,14006,10744,3262,0,0,0,00111
65,28,71,XXX,XX,XX,Mauli Union Total,16449,11996,4450,0,3,0,00111
65,28,79,XXX,XX,XX,  Pahardanga Union Total,12653,11889,764,0,0,0,00111
65,28,87,XXX,XX,XX,Peruli Union Total,28297,26084,2212,0,0,1,00111
65,28,94,XXX,XX,XX,  Purulia Union Total,20431,19529,902,0,0,0,00111
65,28,95,XXX,XX,XX,Salamabad Union Total,12468,10254,2206,8,0,0,00111
65,52,01,XXX,XX,XX,  Ward No-01 Total,2467,1412,1055,0,0,0,00111
65,52,02,XXX,XX,XX,  Ward No-02 Total,3133,2770,329,0,0,34,00111
65,52,03,XXX,XX,XX,  Ward No-03 Total,2486,1577,909,0,0,0,00111
65,52,04,XXX,XX,XX,  Ward No-04 Total,3595,2996,599,0,0,0,00111
65,52,05,XXX,XX,XX,  Ward No-05 Total,2587,1376,1211,0,0,0,00111
65,52,06,XXX,XX,XX,  Ward No-06 Total,2925,2762,163,0,0,0,00111
65,52,07,XXX,XX,XX,  Ward No-07 Total,3174,2668,506,0,0,0,00111
65,52,08,XXX,XX,XX,  Ward No-08 Total,2961,2462,499,0,0,0,00111
65,52,09,XXX,XX,XX,  Ward No-09 Total,1962,1956,6,0,0,0,00111
65,52,15,XXX,XX,XX,  Dighalia Union Total,22460,19278,3180,1,1,0,00111
65,52,18,XXX,XX,XX,  Itna Union Total,22276,20416,1860,0,0,0,00111
65,52,23,XXX,XX,XX,  Joypur Union Total,20119,19010,1108,1,0,0,00111
65,52,31,XXX,XX,XX,  Kashipur Union Total,13841,12437,1404,0,0,0,00111
65,52,39,XXX,XX,XX,  Kotakul Union Total,12141,11575,564,0,0,2,00111
65,52,47,XXX,XX,XX,  Lahuria Union Total,25044,22470,2573,1,0,0,00111
65,52,55,XXX,XX,XX,  Lakshmipasha Union Total,9164,9051,111,0,0,2,00111
65,52,63,XXX,XX,XX,  Lohagara Union Total,7571,6624,946,1,0,0,00111
65,52,71,XXX,XX,XX,  Mallikpur Union Total,15288,14976,312,0,0,0,00111
65,52,79,XXX,XX,XX,  Naldi Union Total,20760,15522,5238,0,0,0,00111
65,52,87,XXX,XX,XX,  Noagram Union Total,16704,14894,1810,0,0,0,00111
65,52,94,XXX,XX,XX,  Shalnagar Union Total,17936,16701,1235,0,0,0,00111
65,76,01,XXX,XX,XX,  Ward No-01 Total,2969,2761,208,0,0,0,00111
65,76,02,XXX,XX,XX,  Ward No-02 Total,3261,2999,262,0,0,0,00111
65,76,03,XXX,XX,XX,  Ward No-03 Total,6142,5432,709,1,0,0,00111
65,76,04,XXX,XX,XX,  Ward No-04 Total,6384,4966,1418,0,0,0,00111
65,76,05,XXX,XX,XX,  Ward No-05 Total,7053,5475,1555,23,0,0,00111
65,76,06,XXX,XX,XX,  Ward No-06 Total,5901,2779,3122,0,0,0,00111
65,76,07,XXX,XX,XX,  Ward No-07 Total,5053,3463,1570,20,0,0,00111
65,76,08,XXX,XX,XX,  Ward No-08 Total,2423,1263,1160,0,0,0,00111
65,76,09,XXX,XX,XX,  Ward No-09 Total,3113,2432,681,0,0,0,00111
65,76,11,XXX,XX,XX,  Auria Union Total,23801,20601,3195,5,0,0,00111
65,76,13,XXX,XX,XX,  Banshgram Union Total,18345,15672,2623,7,0,43,00111
65,76,20,XXX,XX,XX,  Bhadrabila Union Total,17935,15270,2665,0,0,0,00111
65,76,27,XXX,XX,XX,  Bichhali Union Total,19349,14148,5070,2,0,129,00111
65,76,33,XXX,XX,XX,  Chandibarpur Union Total,17385,14626,2743,16,0,0,00111
65,76,40,XXX,XX,XX,  Habakhali Union Total,17942,16373,1569,0,0,0,00111
65,76,47,XXX,XX,XX,  Kalora Union Total,19478,9720,9742,8,1,7,00111
65,76,54,XXX,XX,XX,  Maij Para Union Total,21927,16064,5854,8,1,0,00111
65,76,61,XXX,XX,XX,Mulia Union Total,9019,242,8745,32,0,0,00111
65,76,74,XXX,XX,XX,  Sahabad Union Total,13387,11149,2237,1,0,0,00111
65,76,81,XXX,XX,XX,  Shaikhati Union Total,20446,12557,7824,65,0,0,00111
65,76,88,XXX,XX,XX,  Singasolpur Union Total,15049,9788,5259,2,0,0,00111
65,76,94,XXX,XX,XX,  Tularampur Union Total,16510,10793,5702,15,0,0,00111
44,14,01,XXX,XX,XX,  Ward No-01 Total,2832,2627,205,0,0,0,00111
44,14,02,XXX,XX,XX,  Ward No-02 Total,1188,1159,29,0,0,0,00111
44,14,03,XXX,XX,XX,  Ward No-03 Total,2125,2094,31,0,0,0,00111
44,14,04,XXX,XX,XX,  Ward No-04 Total,2147,1406,741,0,0,0,00111
44,14,05,XXX,XX,XX,  Ward No-05 Total,2322,2322,0,0,0,0,00111
44,14,06,XXX,XX,XX,  Ward No-06 Total,3356,3054,302,0,0,0,00111
44,14,07,XXX,XX,XX,  Ward No-07 Total,2858,2478,373,7,0,0,00111
44,14,08,XXX,XX,XX,  Ward No-08 Total,2482,2405,77,0,0,0,00111
44,14,09,XXX,XX,XX,  Ward No-09 Total,2701,2669,32,0,0,0,00111
44,14,10,XXX,XX,XX,  Bhayna Union Total,24352,23724,628,0,0,0,00111
44,14,21,XXX,XX,XX,  Chandpur Union Total,27651,26812,748,18,0,73,00111
44,14,31,XXX,XX,XX,Daulatpur Union Total,23830,23197,633,0,0,0,00111
44,14,42,XXX,XX,XX,  Phalsi Union Total,12213,11716,495,0,0,2,00111
44,14,52,XXX,XX,XX,  Joradaha Union Total,14202,13835,350,0,0,17,00111
44,14,63,XXX,XX,XX,  Kapashati Union Total,24526,22173,2311,0,0,42,00111
44,14,73,XXX,XX,XX,  Raghunathpur Union Total,25332,24492,714,0,0,126,00111
44,14,84,XXX,XX,XX,  Taherhuda Union Total,23606,22520,1071,0,0,15,00111
44,19,01,XXX,XX,XX,  Ward No-01 Total,12390,11852,538,0,0,0,00111
44,19,02,XXX,XX,XX,  Ward No-02 Total,11026,9027,1959,37,3,0,00111
44,19,03,XXX,XX,XX,  Ward No-03 Total,8547,7637,905,5,0,0,00111
44,19,04,XXX,XX,XX,  Ward No-04 Total,15105,13792,1300,13,0,0,00111
44,19,05,XXX,XX,XX,  Ward No-05 Total,14847,12760,2087,0,0,0,00111
44,19,06,XXX,XX,XX,  Ward No-06 Total,10148,8586,1555,7,0,0,00111
44,19,07,XXX,XX,XX,  Ward No-07 Total,12302,9474,2827,1,0,0,00111
44,19,08,XXX,XX,XX,  Ward No-08 Total,12509,10927,1582,0,0,0,00111
44,19,09,XXX,XX,XX,  Ward No-09 Total,10960,10009,948,3,0,0,00111
44,19,11,XXX,XX,XX,  Dogachhi Union Total,13294,12159,1110,24,1,0,00111
44,19,13,XXX,XX,XX,  Fursandi Union Total,17770,13690,4079,0,0,1,00111
44,19,15,XXX,XX,XX,  Ganna Union Total,28907,26619,2285,3,0,0,00111
44,19,21,XXX,XX,XX,  Ghorshal Union Total,17974,13386,4588,0,0,0,00111
44,19,26,XXX,XX,XX,  Halidhani Union Total,18914,18363,548,3,0,0,00111
44,19,31,XXX,XX,XX,  Harishankarpur Union Total,19932,17947,1983,0,1,1,00111
44,19,42,XXX,XX,XX,  Kalicharanpur Union Total,15535,14702,833,0,0,0,00111
44,19,47,XXX,XX,XX,  Kumrabaria Union Total,20056,18251,1797,7,1,0,00111
44,19,52,XXX,XX,XX,  Madhuhati Union Total,26681,25278,1403,0,0,0,00111
44,19,58,XXX,XX,XX,  Moharajpur Union Total,26201,22642,3559,0,0,0,00111
44,19,63,XXX,XX,XX,  Naldanga Union Total,23793,19755,4033,5,0,0,00111
44,19,68,XXX,XX,XX,  Padmakar Union Total,18386,16410,1953,23,0,0,00111
44,19,73,XXX,XX,XX,Paglakanai Union Total,17879,17034,845,0,0,0,00111
44,19,79,XXX,XX,XX,  Porahati Union Total,26408,23940,2466,2,0,0,00111
44,19,84,XXX,XX,XX,  Saganna Union Total,21050,19990,805,0,0,255,00111
44,19,89,XXX,XX,XX,  Sadhuhati Union Total,22044,20487,1542,0,0,15,00111
44,19,94,XXX,XX,XX,  Surat Union Total,13274,13061,213,0,0,0,00111
44,33,01,XXX,XX,XX,  Ward No-01 Total,4727,3948,774,2,0,3,00111
44,33,02,XXX,XX,XX,  Ward No-02 Total,5462,3717,1562,183,0,0,00111
44,33,03,XXX,XX,XX,  Ward No-03 Total,6245,4668,1314,263,0,0,00111
44,33,04,XXX,XX,XX,  Ward No-04 Total,3145,3145,0,0,0,0,00111
44,33,05,XXX,XX,XX,  Ward No-05 Total,8150,5911,2235,4,0,0,00111
44,33,06,XXX,XX,XX,  Ward No-06 Total,2763,2721,42,0,0,0,00111
44,33,07,XXX,XX,XX,  Ward No-07 Total,6106,5242,860,4,0,0,00111
44,33,08,XXX,XX,XX,  Ward No-08 Total,3640,3569,70,1,0,0,00111
