ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total Population,Type of disability (%)-All,Type of disability (%)-Speech,Type of disability (%)-Vision,Type of disability (%)-Hearing,Type of disability (%)-Physical,Type of disability (%)-Mental,Type of disability (%)-Autism,check_var
78.0,38.0,XX.0,XXX,XX,02,Bauphal Paurashava,11435,1.4,0.1,0.2,0.1,0.6,0.2,0.2,00110
78.0,57.0,XX.0,XXX,XX,02,  Galachipa Upazila,21200,1.4,0.3,0.3,0.1,0.5,0.2,0.1,00110
78.0,57.0,XX.0,XXX,XX,02,Galachipa  Paurashava,21200,1.4,0.3,0.3,0.1,0.5,0.2,0.1,00110
78.0,66.0,XX.0,XXX,XX,02,  Kala Para Upazila,26509,1.7,0.2,0.4,0.2,0.8,0.1,0.1,00110
78.0,95.0,XX.0,XXX,XX,02,  Patuakhali Sadar Upazila,65000,1.0,0.2,0.1,0.1,0.4,0.2,0.1,00110
78.0,95.0,XX.0,XXX,XX,02,Patuakhali Paurashava,65000,1.0,0.2,0.1,0.1,0.4,0.2,0.1,00110
6.0,XX.0,XX.0,XXX,XX,02, Barisal Zila,447057,1.1,0.2,0.2,0.1,0.4,0.2,0.1,00110
6.0,7.0,XX.0,XXX,XX,02,  Bakerganj Upazila,15418,1.0,0.1,0.1,0.1,0.5,0.2,0.1,00110
6.0,7.0,XX.0,XXX,XX,02,Bakerganj  Paurashava,15418,1.0,0.1,0.1,0.1,0.5,0.2,0.1,00110
6.0,10.0,XX.0,XXX,XX,02,  Banari Para Upazila,10366,1.3,0.1,0.3,0.1,0.6,0.1,0.1,00110
6.0,10.0,XX.0,XXX,XX,02,Banari Para  Paurashava,10366,1.3,0.1,0.3,0.1,0.6,0.1,0.1,00110
6.0,32.0,XX.0,XXX,XX,02,  Gaurnadi Upazila,42438,1.1,0.2,0.2,0.1,0.4,0.1,0.1,00110
6.0,32.0,XX.0,XXX,XX,02,Gaurnadi  Paurashava,42438,1.1,0.2,0.2,0.1,0.4,0.1,0.1,00110
6.0,51.0,XX.0,XXX,XX,02,  Barisal Sadar Upazila,328278,1.1,0.2,0.2,0.1,0.4,0.2,0.1,00110
6.0,51.0,XX.0,XXX,XX,02,  Barisal City Corporation,328278,1.1,0.2,0.2,0.1,0.4,0.2,0.1,00110
6.0,62.0,XX.0,XXX,XX,02,  Mehendiganj Upazila,30067,1.4,0.2,0.3,0.1,0.6,0.2,0.1,00110
6.0,62.0,XX.0,XXX,XX,02,Mhendiganj  Paurashava,30067,1.4,0.2,0.3,0.1,0.6,0.2,0.1,00110
6.0,69.0,XX.0,XXX,XX,02,  Muladi Upazila,20490,1.4,0.2,0.3,0.1,0.5,0.1,0.1,00110
6.0,69.0,XX.0,XXX,XX,02,Muladi Paurashava,20490,1.4,0.2,0.3,0.1,0.5,0.1,0.1,00110
79.0,XX.0,XX.0,XXX,XX,02, Pirojpur Zila,98450,1.2,0.2,0.1,0.1,0.5,0.2,0.1,00110
79.0,58.0,XX.0,XXX,XX,02,  Mathbaria Upazila,18375,1.2,0.2,0.1,0.1,0.5,0.2,0.3,00110
79.0,58.0,XX.0,XXX,XX,02,Mathbaria  Paurashava,18375,1.2,0.2,0.1,0.1,0.5,0.2,0.3,00110
79.0,80.0,XX.0,XXX,XX,02,  Pirojpur Sadar Upazila,60056,1.3,0.2,0.2,0.1,0.5,0.2,0.1,00110
79.0,80.0,XX.0,XXX,XX,02,Pirojpur  Paurashava,60056,1.3,0.2,0.2,0.1,0.5,0.2,0.1,00110
79.0,87.0,XX.0,XXX,XX,02,  Nesarabad Upazila,20019,0.9,0.1,0.0,0.0,0.4,0.2,0.1,00110
79.0,87.0,XX.0,XXX,XX,02,Swarupkati  Paurashava,20019,0.9,0.1,0.0,0.0,0.4,0.2,0.1,00110
9.0,XX.0,XX.0,XXX,XX,02, Bhola Zila,117432,1.1,0.2,0.2,0.1,0.4,0.2,0.1,00110
9.0,18.0,XX.0,XXX,XX,02,  Bhola Sadar Upazila,47477,1.0,0.1,0.2,0.1,0.4,0.2,0.0,00110
9.0,21.0,XX.0,XXX,XX,02,  Burhanuddin Upazila,13110,1.1,0.3,0.1,0.1,0.3,0.2,0.1,00110
9.0,25.0,XX.0,XXX,XX,02,  Char Fasson Upazila,19595,0.9,0.2,0.1,0.0,0.5,0.1,0.1,00110
9.0,29.0,XX.0,XXX,XX,02,  Daulat Khan Upazila,16728,1.5,0.2,0.4,0.1,0.6,0.1,0.0,00110
9.0,54.0,XX.0,XXX,XX,02,  Lalmohan Upazila,20522,1.1,0.2,0.2,0.1,0.4,0.1,0.0,00110
4.0,XX.0,XX.0,XXX,XX,02, Barguna Zila,76927,1.3,0.2,0.3,0.1,0.5,0.2,0.1,00110
4.0,9.0,XX.0,XXX,XX,02,  Amtali Upazila,17311,1.1,0.2,0.2,0.1,0.4,0.1,0.1,00110
4.0,9.0,XX.0,XXX,XX,02,Amtali  Paurashava,17311,1.1,0.2,0.2,0.1,0.4,0.1,0.1,00110
4.0,28.0,XX.0,XXX,XX,02,  Barguna Sadar Upazila,32235,1.4,0.2,0.3,0.1,0.6,0.2,0.0,00110
4.0,28.0,XX.0,XXX,XX,02,Barguna  Paurashava,32235,1.4,0.2,0.3,0.1,0.6,0.2,0.0,00110
4.0,47.0,XX.0,XXX,XX,02,  Betagi Upazila,10204,1.1,0.2,0.1,0.1,0.5,0.2,0.1,00110
4.0,47.0,XX.0,XXX,XX,02,Betagi  Paurashava,10204,1.1,0.2,0.1,0.1,0.5,0.2,0.1,00110
4.0,85.0,XX.0,XXX,XX,02,  Patharghata Upazila,17177,1.5,0.2,0.4,0.1,0.5,0.1,0.1,00110
4.0,85.0,XX.0,XXX,XX,02,Patharghata  Paurashava,17177,1.5,0.2,0.4,0.1,0.5,0.1,0.1,00110
52.0,XX.0,XX.0,XXX,XX,02, Lalmonirhat Zila,90887,1.7,0.2,0.4,0.2,0.6,0.2,0.1,00110
52.0,55.0,XX.0,XXX,XX,02,  Lalmonirhat Sadar Upazila,60322,1.9,0.2,0.5,0.2,0.7,0.2,0.1,00110
52.0,55.0,XX.0,XXX,XX,02,Lalmonirhat  Paurashava,60322,1.9,0.2,0.5,0.2,0.7,0.2,0.1,00110
52.0,70.0,XX.0,XXX,XX,02,  Patgram Upazila,30565,1.4,0.3,0.3,0.1,0.5,0.2,0.1,00110
52.0,70.0,XX.0,XXX,XX,02,Patgram  Paurashava,30565,1.4,0.3,0.3,0.1,0.5,0.2,0.1,00110
77.0,XX.0,XX.0,XXX,XX,02, Panchagarh Zila,60376,1.3,0.2,0.2,0.1,0.6,0.2,0.1,00110
77.0,25.0,XX.0,XXX,XX,02,  Boda Upazila,14787,0.9,0.1,0.1,0.1,0.4,0.1,0.1,00110
77.0,73.0,XX.0,XXX,XX,02,  Panchagarh Sadar Upazila,45589,1.5,0.2,0.3,0.1,0.6,0.2,0.1,00110
85.0,XX.0,XX.0,XXX,XX,02, Rangpur Zila,387370,1.3,0.1,0.3,0.1,0.5,0.2,0.1,00110
85.0,3.0,XX.0,XXX,XX,02,  Badarganj Upazila,25286,1.3,0.2,0.2,0.1,0.5,0.2,0.1,00110
85.0,3.0,XX.0,XXX,XX,02,Badarganj  Paurashava,25286,1.3,0.2,0.2,0.1,0.5,0.2,0.1,00110
85.0,42.0,XX.0,XXX,XX,02,  Kaunia Upazila,61425,2.3,0.2,0.5,0.2,1.0,0.3,0.1,00110
85.0,42.0,XX.0,XXX,XX,02,Haragachh (Kaunia)  Paurashava,61425,2.3,0.2,0.5,0.2,1.0,0.3,0.1,00110
85.0,49.0,XX.0,XXX,XX,02,  Rangpur Sadar Upazila,300659,1.2,0.1,0.3,0.1,0.4,0.2,0.1,00110
49.0,XX.0,XX.0,XXX,XX,02, Kurigram Zila,185474,1.2,0.1,0.2,0.1,0.5,0.2,0.1,00110
49.0,52.0,XX.0,XXX,XX,02,  Kurigram Sadar Upazila,77252,1.2,0.1,0.2,0.1,0.5,0.2,0.1,00110
49.0,52.0,XX.0,XXX,XX,02,Kurigram  Paurashava,77252,1.2,0.1,0.2,0.1,0.5,0.2,0.1,00110
49.0,61.0,XX.0,XXX,XX,02,  Nageshwari Upazila,62289,1.2,0.1,0.2,0.1,0.4,0.2,0.1,00110
49.0,61.0,XX.0,XXX,XX,02,Nageshwari Paurashava,62289,1.2,0.1,0.2,0.1,0.4,0.2,0.1,00110
49.0,94.0,XX.0,XXX,XX,02,  Ulipur Upazila,45933,1.1,0.1,0.2,0.1,0.5,0.2,0.0,00110
