ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total Male,% Male-Never married,% Male-Married,% Male-Widowed,% Male-Divorced/Separated,Total Female,% Female-Never married,% Female-Married,% Female-Widowed,% Female-Divorced/Separated,check_var
42.0,XX.0,XX.0,XXX,XX,03, Jhalokati Zila,10271,38.0,61.0,0.9,0.1,11089,24.9,65.3,9.3,0.5,00110
42.0,40.0,XX.0,XXX,XX,03,  Jhalokati Sadar Upazila,324,37.3,60.8,1.5,0.3,356,23.3,61.8,14.3,0.6,00110
42.0,40.0,85.0,XXX,XX,03,  Ponabalia Union,324,37.3,60.8,1.5,0.3,356,23.3,61.8,14.3,0.6,00110
42.0,43.0,XX.0,XXX,XX,03,  Kanthalia Upazila,3918,36.7,62.5,0.7,0.1,4150,23.8,65.3,10.3,0.7,00110
42.0,43.0,63.0,XXX,XX,03,  Kanthalia Union,3918,36.7,62.5,0.7,0.1,4150,23.8,65.3,10.3,0.7,00110
42.0,84.0,XX.0,XXX,XX,03,  Rajapur Upazila,6029,38.9,60.0,0.9,0.1,6583,25.7,65.5,8.3,0.4,00110
42.0,84.0,40.0,XXX,XX,03,  Mathbari Union,1150,35.9,62.2,1.8,0.1,1319,24.5,67.1,8.0,0.4,00110
42.0,84.0,54.0,XXX,XX,03,  Rajapur Union,4879,39.7,59.5,0.7,0.1,5264,26.0,65.1,8.4,0.4,00110
78.0,XX.0,XX.0,XXX,XX,03, Patuakhali Zila,29732,36.6,62.7,0.7,0.0,30676,23.4,68.1,8.0,0.4,00110
78.0,38.0,XX.0,XXX,XX,03,  Bauphal Upazila,2028,36.9,62.6,0.5,0.0,2160,23.1,68.6,8.1,0.3,00110
78.0,38.0,29.0,XXX,XX,03,  Bauphal Union,395,40.8,59.0,0.3,0.0,454,24.0,69.4,6.6,0.0,00110
78.0,38.0,35.0,XXX,XX,03,  Daspara Union,1633,35.9,63.4,0.6,0.0,1706,22.8,68.4,8.4,0.4,00110
78.0,52.0,XX.0,XXX,XX,03,  Dashmina Upazila,7163,34.7,64.3,0.9,0.1,7638,22.7,67.8,9.1,0.4,00110
78.0,52.0,31.0,XXX,XX,03,  Banshbaria Union,1564,34.6,64.1,1.3,0.0,1652,22.2,69.9,7.9,0.1,00110
78.0,52.0,52.0,XXX,XX,03,  Dashmina Union,5599,34.7,64.4,0.8,0.1,5986,22.9,67.2,9.4,0.5,00110
78.0,55.0,XX.0,XXX,XX,03,  Dumki Upazila,4815,44.3,55.3,0.4,0.0,4739,26.6,65.2,8.0,0.2,00110
78.0,55.0,93.0,XXX,XX,03,  Sreerampur Union,4815,44.3,55.3,0.4,0.0,4739,26.6,65.2,8.0,0.2,00110
78.0,57.0,XX.0,XXX,XX,03,  Galachipa Upazila,1785,34.7,64.4,0.8,0.1,1828,21.8,68.1,9.8,0.2,00110
78.0,57.0,50.0,XXX,XX,03,  Chiknikandi Union,524,36.5,62.4,1.1,0.0,563,23.6,66.6,9.4,0.4,00110
78.0,57.0,67.0,XXX,XX,03,  Galachipa Union,1261,34.0,65.2,0.7,0.1,1265,21.0,68.8,10.0,0.2,00110
78.0,66.0,XX.0,XXX,XX,03,  Kala Para Upazila,3434,32.6,66.9,0.4,0.1,3394,20.8,71.2,6.9,1.1,00110
78.0,66.0,83.0,XXX,XX,03,  Tiakhali Union,3434,32.6,66.9,0.4,0.1,3394,20.8,71.2,6.9,1.1,00110
78.0,76.0,XX.0,XXX,XX,03,  Mirzaganj Upazila,8693,36.7,62.5,0.8,0.0,8954,24.0,67.8,7.9,0.4,00110
78.0,76.0,13.0,XXX,XX,03,  Amragachhia Union,1066,38.8,60.9,0.3,0.0,1132,26.8,67.2,5.6,0.4,00110
78.0,76.0,27.0,XXX,XX,03,  Deuli Subidkhali Union,4566,37.3,61.9,0.7,0.0,4501,24.4,68.2,7.2,0.3,00110
78.0,76.0,81.0,XXX,XX,03,  Mirzaganj Union,3061,35.1,63.8,1.1,0.0,3321,22.5,67.4,9.6,0.5,00110
