ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,"Population aged 7+, not attending school and employed-Both","Population aged 7+, not attending school and employed-Male","Population aged 7+, not attending school and employed-Female",Field of Activity-Agriculture-Male,Field of Activity-Agriculture-Female,Field of Activity-Industry-Male,Field of Activity-Industry-Female,Field of Activity-Service-Male,Field of Activity-Service-Female,check_var
47,30,88,497,01,01,  Uttar Kalikapur,163,154,9,150,9,1,0,3,0,00000
47,30,88,497,02,01,  Dakshin Kalikapur,153,139,14,123,10,16,4,0,0,00000
47,30,88,497,03,01,  Bosundia Danga,32,30,2,28,1,0,0,2,1,00000
47,30,88,497,04,01,  Dattadanga,39,38,1,38,1,0,0,0,0,00000
47,30,88,497,05,01,  Senpara,331,320,11,316,9,2,1,2,1,00000
47,30,88,896,01,01,  Uttar Sarappur,237,220,17,134,6,43,2,43,9,00000
47,30,88,896,02,01,  Dakshin Sarappur,265,249,16,182,13,29,0,38,3,00000
47,30,88,896,03,01,  Baniakhali,51,46,5,8,0,0,0,38,5,00000
47,30,94,709,01,01,  Mandartala,72,63,9,61,9,1,0,1,0,00000
47,30,94,709,02,01,  Baruikati,58,54,4,51,1,1,0,2,3,00000
47,40,17,142,01,01,  Barakpur,443,405,38,175,17,51,12,179,9,00000
47,40,17,142,02,01,  Gousgati,166,138,28,25,1,46,13,67,14,00000
47,40,57,331,01,01,  Deara,678,608,70,25,4,468,55,115,11,00000
47,40,57,331,02,01,  Farmais Khana,216,183,33,24,5,108,24,51,4,00000
47,40,57,331,03,01,  Sugandhi,29,28,1,4,0,19,1,5,0,00000
47,40,66,023,01,01,  Abalganti,37,37,0,35,0,1,0,1,0,00000
47,40,66,023,02,01,  Ambaria (Hi),91,91,0,88,0,3,0,0,0,00000
47,40,66,402,01,01,  Domra,132,126,6,121,6,3,0,2,0,00000
47,40,66,402,02,01,  Sonakur,143,132,11,45,4,33,4,54,3,00000
47,40,66,497,01,01,  Jungasia,125,119,6,95,2,12,1,12,3,00000
47,40,66,497,02,01,  Gazir Hat,12,10,2,0,0,1,0,9,2,00000
47,40,66,497,03,01,  Baghmara,56,55,1,33,0,7,0,15,1,00000
47,40,66,497,04,01,  Mahishdia,106,101,5,89,0,1,0,11,5,00000
47,40,66,568,01,01,  Ketla,235,220,15,199,10,18,3,3,2,00000
47,40,66,568,02,01,  Mollahdanga,295,289,6,270,5,5,0,14,1,00000
47,40,66,568,03,01,  Islamdanga,45,45,0,43,0,2,0,0,0,00000
47,40,66,734,01,01,  Majhirganti,223,210,13,207,6,2,1,1,6,00000
47,40,66,734,02,01,  Padma Bila,64,59,5,57,5,0,0,2,0,00000
47,40,66,734,03,01,  Muslim Danga,48,47,1,47,0,0,1,0,0,00000
47,40,66,734,04,01,  Ambaria,152,133,19,118,11,4,4,11,4,00000
47,40,85,450,01,01,  Hajigram,978,892,86,164,15,314,20,414,51,00000
47,40,85,450,02,01,  Mominpur,69,67,2,6,1,0,0,61,1,00000
47,48,19,497,01,01,  Gilatala,793,640,153,53,1,392,117,195,35,00000
47,48,19,497,02,01,  Matamdanga,236,185,51,17,0,63,18,105,33,00000
47,48,19,621,01,01,  Masiali,367,306,61,59,4,180,47,67,10,00000
47,48,19,621,02,01,  Gabtala,79,57,22,1,0,26,12,30,10,00000
47,48,19,621,03,01,  Pariadanga,136,120,16,16,0,47,10,57,6,00000
47,48,75,437,01,01,  Jugipole,557,403,154,36,1,122,94,245,59,00000
47,48,75,437,02,01,  Jabdipur,235,171,64,4,2,40,35,127,27,00000
47,48,75,994,01,01,  Teliganti,371,335,36,133,5,66,5,136,26,00000
47,48,75,994,02,01,  Rajapur,32,28,4,24,3,2,0,2,1,00000
47,48,75,994,03,01,  Khanabari,7,2,5,1,2,0,1,1,2,00000
47,53,10,013,01,01,  Jaigir Mahal,83,70,13,50,7,3,0,17,6,00000
47,53,10,013,02,01,  Garamadi,30,28,2,27,2,1,0,0,0,00000
47,53,10,013,03,01,  Katakhali,68,64,4,57,1,6,1,1,2,00000
47,53,10,013,04,01,  Amadi,211,193,18,100,8,90,5,3,5,00000
47,53,10,190,01,01,  Bhandar Pole,301,287,14,270,14,15,0,2,0,00000
47,53,10,190,02,01,  Channir Chak,246,241,5,237,5,4,0,0,0,00000
47,53,10,190,03,01,  Kumarkhali,59,57,2,57,2,0,0,0,0,00000
47,53,10,190,04,01,  Bech Para,61,58,3,58,3,0,0,0,0,00000
47,53,10,190,05,01,  Hadubunia,8,8,0,8,0,0,0,0,0,00000
47,53,10,477,01,01,  Harinagar,99,95,4,93,4,1,0,1,0,00000
47,53,10,477,02,01,  Talbaria,29,27,2,27,1,0,0,0,1,00000
47,53,10,640,01,01,  Khiral,220,200,20,119,4,18,2,63,14,00000
47,53,10,640,02,01,  Patuali,10,9,1,9,1,0,0,0,0,00000
47,53,10,640,03,01,  Dasbaria,8,8,0,7,0,0,0,1,0,00000
47,53,11,136,01,01,  Bamia,339,336,3,328,2,4,1,4,0,00000
47,53,11,136,02,01,  Bairagir Chak,19,19,0,19,0,0,0,0,0,00000
47,53,11,136,03,01,  Thakurer Chak,5,5,0,5,0,0,0,0,0,00000
47,53,11,790,01,01,  Mathabhanga,21,21,0,20,0,1,0,0,0,00000
47,53,11,790,02,01,  Gupirerber,70,57,13,51,13,0,0,6,0,00000
47,53,11,790,03,01,  Gazinagar,11,11,0,10,0,1,0,0,0,00000
47,53,22,313,01,01,  Bara Angtihara,211,208,3,203,2,3,0,2,1,00000
47,53,22,313,02,01,  Jorsing,344,307,37,281,31,2,0,24,6,00000
47,53,22,313,03,01,  Golkhali,190,185,5,181,5,3,0,1,0,00000
47,53,22,313,04,01,  Matiabhanga,192,170,22,165,22,3,0,2,0,00000
47,53,22,313,05,01,  Gharilal,159,156,3,153,3,2,0,1,0,00000
47,53,22,313,06,01,  Choramukha,47,45,2,44,2,1,0,0,0,00000
47,53,22,313,07,01,  Patakhali,120,113,7,106,6,7,0,0,1,00000
47,53,22,313,08,01,  Halbunia,56,53,3,52,0,0,0,1,3,00000
47,53,22,313,09,01,  Binapani,99,87,12,86,12,0,0,1,0,00000
47,53,22,313,10,01,  Chhota Angtihara,115,109,6,105,5,0,0,4,1,00000
47,53,22,313,11,01,  Maider Char,102,101,1,101,1,0,0,0,0,00000
47,53,22,313,12,01,  Dakshin Bedkasi,178,150,28,148,26,0,2,2,0,00000
