ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,All ages,Percentage of population in the age group 0-4,Percentage of population in the age group 5-9,Percentage of population in the age group 10-14,Percentage of population in the age group 15-19,Percentage of population in the age group 20-24,Percentage of population in the age group 25-29,Percentage of population in the age group 30-49,Percentage of population in the age group 50-59,Percentage of population in the age group 60-64,Percentage of population in the age group 65+,check_var
47,40.0,57.0,XXX,XX,XX,  Dighalia Union Total,29518,8.6,10.6,11.6,10.4,9.9,9.1,25.7,6.6,2.9,4.5,00111
47,40.0,66.0,XXX,XX,XX,  Gazir Hat Union Total,19433,10.1,12.1,12.0,8.7,8.3,8.6,24.6,6.9,2.9,5.7,00111
47,40.0,85.0,XXX,XX,XX,  Senhati Union Total,43727,8.7,10.3,12.0,10.1,9.7,9.4,26.5,7.0,2.5,3.8,00111
47,45.0,XX.0,XXX,XX,XX,Khalishpur Thana Total,165299,7.6,9.1,11.0,11.4,10.6,10.2,27.2,6.7,2.3,3.8,00111
47,45.0,7.0,XXX,XX,XX,  Ward No-07 Total,10645,8.4,9.3,10.9,10.0,11.7,11.0,26.3,6.3,2.5,3.7,00111
47,45.0,8.0,XXX,XX,XX,  Ward No-08 Total,9308,6.7,8.6,10.9,10.4,9.4,9.0,32.0,8.8,1.9,2.4,00111
47,45.0,9.0,XXX,XX,XX,  Ward No-09 Total,31882,8.0,10.2,13.0,11.3,9.7,9.1,26.5,5.9,2.2,4.0,00111
47,45.0,10.0,XXX,XX,XX,  Ward No-10 Total,27947,7.5,9.0,11.3,10.4,10.6,10.0,27.3,7.0,2.6,4.4,00111
47,45.0,11.0,XXX,XX,XX,  Ward No-11 Total,12373,6.3,9.1,10.8,10.1,8.9,9.1,32.3,8.7,2.2,2.4,00111
47,45.0,12.0,XXX,XX,XX,  Ward No-12 Total,21208,8.0,9.0,10.5,11.2,10.8,9.8,26.5,7.1,2.5,4.4,00111
47,45.0,13.0,XXX,XX,XX,  Ward No-13 Total,9287,8.3,9.5,10.7,10.1,9.6,10.5,28.7,6.3,2.5,3.8,00111
47,45.0,14.0,XXX,XX,XX,  Ward No-14 Total,26335,7.8,8.4,9.8,11.5,12.2,12.8,24.8,6.2,2.3,4.1,00111
47,45.0,15.0,XXX,XX,XX, Ward No-15 Total,16314,6.9,8.1,9.9,16.1,11.2,9.6,26.7,6.0,2.2,3.3,00111
47,48.0,XX.0,XXX,XX,XX,Khan Jahan Ali Thana Total,81313,8.1,9.4,10.8,10.5,12.0,9.5,26.4,6.8,2.5,4.1,00111
47,48.0,2.0,XXX,XX,XX,  Ward No-02 (Part) Total,5544,4.7,5.2,8.0,19.5,19.4,7.9,19.4,8.8,3.4,3.6,00111
47,48.0,19.0,XXX,XX,XX,  Atra Gilatala Union Total,48107,8.5,10.0,11.1,9.7,9.7,9.6,27.6,6.9,2.5,4.2,00111
47,48.0,75.0,XXX,XX,XX,  Jugipole Union Total,26276,8.1,9.5,10.9,10.3,14.2,9.1,25.2,6.3,2.3,4.2,00111
47,48.0,98.0,XXX,XX,XX,  Gilatala Cantt. Total,1386,6.6,5.6,6.0,2.7,19.8,16.0,40.4,2.0,0.6,0.1,00111
47,51.0,XX.0,XXX,XX,XX,Khulna Sadar Thana Total,224444,7.7,9.2,10.5,9.8,10.9,10.2,28.2,6.8,2.4,4.1,00111
47,51.0,21.0,XXX,XX,XX,  Ward No-21 Total,20220,8.7,9.0,9.9,8.9,10.4,11.0,28.5,7.0,2.5,4.0,00111
