ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total Population,Type of disability (%)-All,Type of disability (%)-Speech,Type of disability (%)-Vision,Type of disability (%)-Hearing,Type of disability (%)-Physical,Type of disability (%)-Mental,Type of disability (%)-Autism,check_var
44.0,19.0,XX.0,XXX,XX,01,  Jhenaidah Sadar Upazila,345391,1.8,0.2,0.3,0.2,0.8,0.2,0.1,00110
44.0,19.0,73.0,XXX,XX,01,  Paglakanai Union,15172,1.1,0.2,0.2,0.1,0.5,0.2,0.1,00110
44.0,33.0,XX.0,XXX,XX,01,  Kaliganj Upazila,237025,1.5,0.2,0.3,0.1,0.7,0.2,0.1,00110
44.0,42.0,XX.0,XXX,XX,01,  Kotchandpur Upazila,108027,1.6,0.2,0.2,0.1,0.8,0.2,0.1,00110
44.0,71.0,XX.0,XXX,XX,01,  Maheshpur Upazila,304844,1.9,0.2,0.5,0.2,0.7,0.2,0.1,00110
44.0,80.0,XX.0,XXX,XX,01,  Shailkupa Upazila,326377,1.3,0.2,0.2,0.1,0.6,0.2,0.1,00110
41.0,XX.0,XX.0,XXX,XX,01, Jessore Zila,2250995,1.4,0.2,0.2,0.1,0.6,0.2,0.1,00110
41.0,4.0,XX.0,XXX,XX,01,  Abhaynagar Upazila,176578,1.4,0.2,0.2,0.1,0.6,0.2,0.1,00110
41.0,9.0,XX.0,XXX,XX,01,  Bagherpara Upazila,208607,1.3,0.2,0.2,0.1,0.5,0.2,0.1,00110
41.0,11.0,XX.0,XXX,XX,01,  Chaugachha Upazila,209948,1.8,0.2,0.3,0.2,0.8,0.2,0.1,00110
41.0,23.0,XX.0,XXX,XX,01,  Jhikargachha Upazila,257469,1.2,0.2,0.2,0.1,0.5,0.2,0.1,00110
41.0,23.0,25.0,XXX,XX,01,  Bankra Union,19436,0.7,0.2,0.1,0.0,0.2,0.1,0.0,00110
41.0,23.0,35.0,XXX,XX,01,  Gadkhali Union,23542,1.1,0.2,0.1,0.1,0.4,0.2,0.0,00110
41.0,23.0,47.0,XXX,XX,01,  Jhikargachha Union,26056,0.9,0.2,0.1,0.1,0.3,0.2,0.1,00110
41.0,23.0,71.0,XXX,XX,01,  Panisara Union,20409,1.8,0.3,0.3,0.2,0.8,0.2,0.1,00110
41.0,38.0,XX.0,XXX,XX,01,  Keshabpur Upazila,219511,1.4,0.2,0.2,0.1,0.6,0.2,0.1,00110
41.0,38.0,28.0,XXX,XX,01,  Keshabpur Union,14681,0.8,0.1,0.1,0.1,0.4,0.1,0.1,00110
41.0,38.0,38.0,XXX,XX,01,  Majidpur Union,22069,1.5,0.2,0.2,0.2,0.7,0.2,0.0,00110
41.0,47.0,XX.0,XXX,XX,01,  Jessore Sadar Upazila,489879,1.2,0.2,0.2,0.1,0.6,0.2,0.1,00110
41.0,47.0,23.0,XXX,XX,01,  Chanchra Union,34448,0.9,0.1,0.1,0.1,0.4,0.1,0.1,00110
41.0,47.0,41.0,XXX,XX,01,  Fathehpur Union,38205,1.0,0.2,0.1,0.0,0.4,0.2,0.0,00110
41.0,61.0,XX.0,XXX,XX,01,  Manirampur Upazila,389283,1.4,0.2,0.2,0.1,0.7,0.2,0.1,00110
41.0,90.0,XX.0,XXX,XX,01,  Sharsha Upazila,299720,1.8,0.2,0.3,0.2,0.8,0.2,0.1,00110
41.0,90.0,86.0,XXX,XX,01,  Sharsha Union,39721,1.8,0.2,0.4,0.1,0.8,0.2,0.1,00110
1.0,XX.0,XX.0,XXX,XX,01, Bagerhat Zila,1280759,1.8,0.2,0.3,0.2,0.8,0.2,0.1,00110
1.0,8.0,XX.0,XXX,XX,01,  Bagerhat Sadar Upazila,217316,1.5,0.2,0.2,0.1,0.7,0.2,0.1,00110
1.0,14.0,XX.0,XXX,XX,01,  Chitalmari Upazila,137538,1.3,0.2,0.3,0.1,0.4,0.2,0.1,00110
1.0,14.0,31.0,XXX,XX,01,  Chitalmari Union,26794,1.3,0.1,0.3,0.1,0.4,0.2,0.1,00110
1.0,34.0,XX.0,XXX,XX,01,  Fakirhat Upazila,110808,1.5,0.2,0.2,0.1,0.5,0.3,0.1,00110
1.0,34.0,10.0,XXX,XX,01,  Bahirdia Mansa Union,4374,1.2,0.3,0.2,0.0,0.3,0.2,0.1,00110
1.0,34.0,31.0,XXX,XX,01,  Fakirhat Union,17689,1.3,0.2,0.1,0.1,0.5,0.2,0.1,00110
1.0,34.0,52.0,XXX,XX,01,  Mulghar Union,9995,1.5,0.1,0.5,0.2,0.4,0.2,0.1,00110
1.0,34.0,63.0,XXX,XX,01,  Naldha Maubhog Union,12188,1.5,0.2,0.3,0.2,0.6,0.2,0.1,00110
1.0,38.0,XX.0,XXX,XX,01,  Kachua Upazila,87538,1.4,0.2,0.2,0.2,0.6,0.2,0.1,00110
1.0,38.0,57.0,XXX,XX,01,  Kachua Union,4795,0.9,0.1,0.1,0.0,0.5,0.2,0.0,00110
1.0,56.0,XX.0,XXX,XX,01,  Mollahat Upazila,118004,1.6,0.2,0.3,0.1,0.6,0.2,0.1,00110
1.0,56.0,95.0,XXX,XX,01,  Udaypur Union,10117,1.8,0.3,0.3,0.3,0.6,0.1,0.2,00110
1.0,58.0,XX.0,XXX,XX,01,  Mongla Upazila,96751,1.6,0.2,0.3,0.1,0.7,0.2,0.0,00110
1.0,60.0,XX.0,XXX,XX,01,  Morrelganj Upazila,267446,2.3,0.3,0.5,0.2,1.1,0.2,0.1,00110
1.0,60.0,23.0,XXX,XX,01,  Baraikhali Union,17480,1.4,0.2,0.2,0.1,0.5,0.2,0.1,00110
1.0,73.0,XX.0,XXX,XX,01,  Rampal Upazila,153245,2.0,0.2,0.4,0.2,1.0,0.2,0.1,00110
1.0,73.0,83.0,XXX,XX,01,  Rampal Union,22556,1.3,0.2,0.2,0.1,0.5,0.2,0.0,00110
1.0,77.0,XX.0,XXX,XX,01,  Sarankhola Upazila,92113,2.2,0.2,0.5,0.2,1.0,0.2,0.1,00110
1.0,77.0,38.0,XXX,XX,01,  Khontakata Union,20322,2.5,0.3,0.7,0.2,0.9,0.3,0.1,00110
1.0,77.0,57.0,XXX,XX,01,  Royenda Union,17261,1.5,0.3,0.3,0.1,0.6,0.2,0.0,00110
55.0,XX.0,XX.0,XXX,XX,01, Magura Zila,798005,1.2,0.2,0.2,0.1,0.5,0.2,0.1,00110
55.0,57.0,XX.0,XXX,XX,01,  Magura Sadar Upazila,281752,1.1,0.2,0.2,0.1,0.5,0.2,0.1,00110
55.0,66.0,XX.0,XXX,XX,01,  Mohammadpur Upazila,197895,1.3,0.2,0.2,0.1,0.5,0.1,0.1,00110
55.0,66.0,52.0,XXX,XX,01,  Mohammadpur Union,17423,1.4,0.1,0.2,0.1,0.7,0.1,0.1,00110
55.0,85.0,XX.0,XXX,XX,01,  Shalikha Upazila,156503,1.1,0.2,0.2,0.1,0.4,0.2,0.1,00110
55.0,85.0,11.0,XXX,XX,01,  Arpara Union,18914,2.2,0.2,0.5,0.2,0.8,0.3,0.2,00110
55.0,85.0,59.0,XXX,XX,01,  Shalikha Union,14256,1.2,0.1,0.2,0.1,0.4,0.2,0.2,00110
55.0,95.0,XX.0,XXX,XX,01,  Sreepur Upazila,161855,1.3,0.2,0.2,0.1,0.5,0.1,0.1,00110
55.0,95.0,84.0,XXX,XX,01,  Sreepur Union,18677,1.8,0.2,0.4,0.1,0.7,0.2,0.1,00110
50.0,XX.0,XX.0,XXX,XX,01, Kushtia Zila,1711312,1.4,0.2,0.2,0.1,0.6,0.2,0.1,00110
50.0,15.0,XX.0,XXX,XX,01,  Bheramara Upazila,169337,1.4,0.2,0.2,0.1,0.6,0.2,0.1,00110
50.0,15.0,27.0,XXX,XX,01,  Bahir Char Union,20378,1.4,0.2,0.2,0.1,0.6,0.2,0.1,00110
50.0,15.0,40.0,XXX,XX,01,  Chandgram Union,12988,1.2,0.2,0.1,0.1,0.6,0.2,0.1,00110
50.0,39.0,XX.0,XXX,XX,01,  Daulatpur Upazila,436926,1.5,0.2,0.2,0.1,0.7,0.2,0.1,00110
50.0,39.0,33.0,XXX,XX,01,  Daulatpur Union,28808,2.0,0.1,0.3,0.1,1.2,0.2,0.1,00110
50.0,39.0,61.0,XXX,XX,01,  Mathurapur Union,27867,2.3,0.2,0.6,0.2,1.0,0.2,0.1,00110
50.0,63.0,XX.0,XXX,XX,01,  Khoksa Upazila,107361,1.3,0.2,0.2,0.1,0.6,0.2,0.0,00110
50.0,63.0,71.0,XXX,XX,01,  Samaspur Union,8508,1.2,0.2,0.2,0.1,0.5,0.1,0.0,00110
50.0,71.0,XX.0,XXX,XX,01,  Kumarkhali Upazila,306543,1.3,0.2,0.2,0.1,0.5,0.2,0.1,00110
50.0,79.0,XX.0,XXX,XX,01,  Kushtia Sadar Upazila,393832,1.4,0.2,0.2,0.1,0.6,0.2,0.1,00110
50.0,79.0,50.0,XXX,XX,01,  Battail Union,40215,1.7,0.1,0.4,0.2,0.7,0.2,0.1,00110
50.0,94.0,XX.0,XXX,XX,01,  Mirpur Upazila,297313,1.3,0.2,0.2,0.1,0.6,0.2,0.1,00110
50.0,94.0,14.0,XXX,XX,01,  Amla Union,23583,1.3,0.2,0.2,0.1,0.6,0.2,0.1,00110
50.0,94.0,80.0,XXX,XX,01,  Poradaha Union,33133,1.5,0.2,0.2,0.1,0.6,0.3,0.1,00110
57.0,XX.0,XX.0,XXX,XX,01, Meherpur Zila,571999,1.8,0.2,0.3,0.2,0.8,0.2,0.1,00110
57.0,47.0,XX.0,XXX,XX,01,  Gangni Upazila,269368,1.7,0.2,0.3,0.1,0.8,0.2,0.1,00110
57.0,47.0,10.0,XXX,XX,01,  Bamandi Union,24269,2.4,0.3,0.5,0.1,1.2,0.3,0.1,00110
57.0,47.0,69.0,XXX,XX,01,  Roypur Union,18433,1.7,0.2,0.3,0.2,0.7,0.2,0.0,00110
57.0,60.0,XX.0,XXX,XX,01,  Mujib Nagar Upazila,89122,1.8,0.2,0.3,0.1,0.9,0.2,0.1,00110
57.0,60.0,28.0,XXX,XX,01,  Bagoan Union,29686,2.3,0.3,0.3,0.2,1.3,0.2,0.1,00110
57.0,87.0,XX.0,XXX,XX,01,  Meherpur Sadar Upazila,213509,1.8,0.2,0.3,0.2,0.7,0.2,0.1,00110
87.0,XX.0,XX.0,XXX,XX,01, Satkhira Zila,1788343,1.8,0.2,0.3,0.2,0.7,0.2,0.1,00110
87.0,4.0,XX.0,XXX,XX,01,  Assasuni Upazila,260169,1.7,0.2,0.4,0.2,0.6,0.2,0.1,00110
87.0,4.0,17.0,XXX,XX,01,  Assasuni Union,15039,0.9,0.2,0.1,0.1,0.4,0.1,0.0,00110
87.0,25.0,XX.0,XXX,XX,01,  Debhata Upazila,122577,1.8,0.2,0.3,0.2,0.7,0.2,0.1,00110
87.0,25.0,15.0,XXX,XX,01,  Debhata Union,13255,1.4,0.2,0.2,0.1,0.6,0.3,0.0,00110
87.0,43.0,XX.0,XXX,XX,01,  Kalaroa Upazila,208709,1.7,0.2,0.3,0.1,0.8,0.2,0.1,00110
87.0,43.0,31.0,XXX,XX,01,  Helatala Union,18254,1.6,0.2,0.1,0.1,0.8,0.3,0.0,00110
87.0,47.0,XX.0,XXX,XX,01,  Kaliganj Upazila,258026,1.7,0.2,0.3,0.2,0.7,0.3,0.1,00110
87.0,47.0,13.0,XXX,XX,01,  Bhara Simla Union,20293,1.3,0.2,0.3,0.1,0.4,0.2,0.1,00110
87.0,47.0,55.0,XXX,XX,01,  Kushlia Union,15894,1.5,0.3,0.2,0.1,0.5,0.4,0.0,00110
87.0,47.0,63.0,XXX,XX,01,  Mathureshpur Union,22791,1.6,0.2,0.3,0.1,0.6,0.3,0.1,00110
87.0,47.0,94.0,XXX,XX,01,  Tarali Union,20205,1.7,0.2,0.3,0.1,0.7,0.3,0.1,00110
87.0,82.0,XX.0,XXX,XX,01,  Satkhira Sadar Upazila,347570,1.6,0.2,0.3,0.2,0.7,0.2,0.1,00110
87.0,86.0,XX.0,XXX,XX,01,  Shyamnagar Upazila,301000,2.0,0.2,0.4,0.2,0.7,0.3,0.1,00110
87.0,86.0,94.0,XXX,XX,01,  Shyamnagar Union,13975,2.3,0.2,0.5,0.4,0.8,0.3,0.1,00110
87.0,90.0,XX.0,XXX,XX,01,  Tala Upazila,290292,1.8,0.2,0.4,0.2,0.8,0.2,0.1,00110
87.0,90.0,87.0,XXX,XX,01,  Tala Union,23499,1.5,0.2,0.3,0.2,0.5,0.1,0.1,00110
42.0,XX.0,XX.0,XXX,XX,01, Jhalokati Zila,570666,2.1,0.3,0.4,0.2,0.9,0.2,0.1,00110
42.0,40.0,XX.0,XXX,XX,01,  Jhalokati Sadar Upazila,161444,2.1,0.3,0.4,0.2,0.9,0.3,0.1,00110
42.0,40.0,85.0,XXX,XX,01,  Ponabalia Union,15485,3.8,0.6,0.7,0.2,1.3,0.9,0.1,00110
42.0,43.0,XX.0,XXX,XX,01,  Kanthalia Upazila,114110,2.2,0.3,0.5,0.2,0.9,0.3,0.1,00110
42.0,43.0,63.0,XXX,XX,01,  Kanthalia Union,9172,2.5,0.4,0.7,0.2,0.9,0.3,0.1,00110
42.0,73.0,XX.0,XXX,XX,01,  Nalchity Upazila,162751,2.0,0.2,0.4,0.2,0.9,0.2,0.1,00110
42.0,84.0,XX.0,XXX,XX,01,  Rajapur Upazila,132361,1.9,0.2,0.3,0.2,0.8,0.2,0.1,00110
42.0,84.0,40.0,XXX,XX,01,  Mathbari Union,19160,2.0,0.3,0.5,0.2,0.7,0.2,0.1,00110
42.0,84.0,54.0,XXX,XX,01,  Rajapur Union,21429,1.9,0.2,0.3,0.2,0.8,0.1,0.2,00110
78.0,XX.0,XX.0,XXX,XX,01, Patuakhali Zila,1333972,1.7,0.2,0.3,0.2,0.7,0.2,0.1,00110
78.0,38.0,XX.0,XXX,XX,01,  Bauphal Upazila,287368,1.5,0.2,0.3,0.1,0.6,0.2,0.1,00110
78.0,38.0,29.0,XXX,XX,01,  Bauphal Union,19952,1.2,0.3,0.2,0.2,0.3,0.1,0.1,00110
78.0,38.0,35.0,XXX,XX,01,  Daspara Union,14713,1.4,0.2,0.2,0.1,0.5,0.1,0.2,00110
78.0,52.0,XX.0,XXX,XX,01,  Dashmina Upazila,104136,1.1,0.2,0.2,0.1,0.4,0.1,0.1,00110
78.0,52.0,31.0,XXX,XX,01,  Banshbaria Union,14108,1.3,0.2,0.2,0.2,0.5,0.1,0.1,00110
78.0,52.0,52.0,XXX,XX,01,  Dashmina Union,12286,1.4,0.3,0.3,0.1,0.5,0.2,0.0,00110
78.0,55.0,XX.0,XXX,XX,01,  Dumki Upazila,58455,1.3,0.2,0.2,0.2,0.5,0.2,0.1,00110
78.0,55.0,93.0,XXX,XX,01,  Sreerampur Union,6027,2.0,0.2,0.5,0.2,0.9,0.1,0.0,00110
78.0,57.0,XX.0,XXX,XX,01,  Galachipa Upazila,335601,1.8,0.3,0.3,0.2,0.8,0.2,0.1,00110
78.0,57.0,50.0,XXX,XX,01,  Chiknikandi Union,14195,1.2,0.1,0.2,0.1,0.5,0.1,0.0,00110
78.0,57.0,67.0,XXX,XX,01,  Galachipa Union,15709,1.5,0.3,0.3,0.2,0.6,0.2,0.0,00110
78.0,66.0,XX.0,XXX,XX,01,  Kala Para Upazila,202477,2.1,0.3,0.5,0.2,0.9,0.2,0.1,00110
78.0,66.0,83.0,XXX,XX,01,  Tiakhali Union,5497,2.0,0.3,0.9,0.1,0.4,0.2,0.1,00110
78.0,76.0,XX.0,XXX,XX,01,  Mirzaganj Upazila,99310,1.4,0.2,0.3,0.1,0.6,0.2,0.1,00110
78.0,76.0,13.0,XXX,XX,01,  Amragachhia Union,19771,1.3,0.1,0.2,0.2,0.5,0.2,0.1,00110
78.0,76.0,27.0,XXX,XX,01,  Deuli Subidkhali Union,10588,0.9,0.2,0.2,0.2,0.2,0.1,0.1,00110
78.0,76.0,81.0,XXX,XX,01,  Mirzaganj Union,14669,1.1,0.1,0.2,0.1,0.4,0.1,0.2,00110
78.0,95.0,XX.0,XXX,XX,01,  Patuakhali Sadar Upazila,246625,1.9,0.3,0.4,0.2,0.8,0.2,0.1,00110
78.0,95.0,27.0,XXX,XX,01,  Jainkati Union,12677,1.8,0.2,0.5,0.3,0.6,0.1,0.0,00110
6.0,XX.0,XX.0,XXX,XX,01, Barisal Zila,1805294,1.4,0.2,0.3,0.1,0.6,0.2,0.1,00110
6.0,2.0,XX.0,XXX,XX,01,  Agailjhara Upazila,138599,1.7,0.2,0.3,0.2,0.8,0.2,0.1,00110
6.0,2.0,15.0,XXX,XX,01,  Bakal Union,22218,1.3,0.2,0.2,0.1,0.5,0.2,0.1,00110
6.0,2.0,47.0,XXX,XX,01,  Gaila Union,24969,1.6,0.2,0.2,0.2,0.8,0.2,0.1,00110
6.0,3.0,XX.0,XXX,XX,01,  Babuganj Upazila,130514,1.2,0.2,0.2,0.1,0.5,0.2,0.1,00110
6.0,3.0,81.0,XXX,XX,01,  Rahmatpur Union,14512,0.8,0.1,0.1,0.0,0.2,0.2,0.1,00110
6.0,7.0,XX.0,XXX,XX,01,  Bakerganj Upazila,294353,1.3,0.2,0.2,0.1,0.5,0.1,0.1,00110
6.0,7.0,12.0,XXX,XX,01,  Bhar Pasha Union,15333,1.4,0.3,0.2,0.1,0.5,0.1,0.1,00110
6.0,7.0,94.0,XXX,XX,01,  Rangasree Union,32190,1.2,0.2,0.2,0.1,0.4,0.2,0.1,00110
6.0,10.0,XX.0,XXX,XX,01,  Banari Para Upazila,131306,1.3,0.2,0.2,0.1,0.6,0.1,0.1,00110
6.0,10.0,42.0,XXX,XX,01,  Chakhar Union,12927,1.4,0.1,0.1,0.1,0.9,0.1,0.1,00110
6.0,10.0,63.0,XXX,XX,01,  Salia Bakpur Union,16158,1.2,0.2,0.1,0.1,0.4,0.1,0.2,00110
6.0,32.0,XX.0,XXX,XX,01,  Gaurnadi Upazila,146148,1.4,0.2,0.2,0.1,0.6,0.2,0.1,00110
6.0,36.0,XX.0,XXX,XX,01,  Hizla Upazila,131893,1.2,0.2,0.3,0.1,0.4,0.1,0.1,00110
6.0,36.0,13.0,XXX,XX,01,  Bara Jalia Union,17459,1.5,0.2,0.4,0.1,0.6,0.1,0.1,00110
6.0,51.0,XX.0,XXX,XX,01,  Barisal Sadar Upazila,187709,1.5,0.2,0.2,0.1,0.6,0.2,0.1,00110
6.0,51.0,34.0,XXX,XX,01,  Char Baria Union,19255,1.2,0.2,0.3,0.1,0.5,0.2,0.0,00110
6.0,51.0,43.0,XXX,XX,01,  Char Kowa Union,22851,1.3,0.2,0.2,0.2,0.5,0.2,0.1,00110
6.0,62.0,XX.0,XXX,XX,01,  Mehendiganj Upazila,267244,1.5,0.2,0.3,0.2,0.5,0.1,0.1,00110
6.0,62.0,87.0,XXX,XX,01,  Mehendiganj Union,11302,1.9,0.3,0.5,0.2,0.7,0.1,0.1,00110
6.0,69.0,XX.0,XXX,XX,01,  Muladi Upazila,154285,1.2,0.2,0.2,0.1,0.5,0.1,0.1,00110
6.0,94.0,XX.0,XXX,XX,01,  Wazirpur Upazila,223243,1.6,0.2,0.3,0.2,0.7,0.2,0.1,00110
6.0,94.0,31.0,XXX,XX,01,  Guthia Union,22542,1.4,0.3,0.3,0.1,0.5,0.2,0.1,00110
6.0,94.0,84.0,XXX,XX,01,  Shikarpur Union,19585,2.0,0.3,0.3,0.2,1.0,0.2,0.1,00110
79.0,XX.0,XX.0,XXX,XX,01, Pirojpur Zila,930626,2.1,0.3,0.4,0.2,0.9,0.2,0.1,00110
79.0,14.0,XX.0,XXX,XX,01,  Bhandaria Upazila,122899,3.3,0.2,0.6,0.3,1.9,0.2,0.1,00110
79.0,14.0,11.0,XXX,XX,01,  Bhandaria Union,5146,2.0,0.2,0.3,0.2,1.0,0.3,0.1,00110
79.0,14.0,71.0,XXX,XX,01,  Nudmulla Union,17731,1.7,0.2,0.4,0.1,0.7,0.2,0.1,00110
79.0,47.0,XX.0,XXX,XX,01,  Kawkhali Upazila,60489,1.9,0.3,0.3,0.1,0.8,0.2,0.1,00110
79.0,47.0,15.0,XXX,XX,01,  Amrajuri Union,5500,1.9,0.4,0.4,0.0,0.7,0.2,0.3,00110
79.0,47.0,47.0,XXX,XX,01,  Kawkhali Union,19153,1.4,0.3,0.2,0.1,0.5,0.2,0.1,00110
79.0,58.0,XX.0,XXX,XX,01,  Mathbaria Upazila,233990,1.9,0.3,0.4,0.2,0.8,0.2,0.1,00110
79.0,58.0,60.0,XXX,XX,01,  Mathbaria Union,11591,3.0,0.3,0.4,0.3,1.6,0.3,0.2,00110
