ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,All ages,Percentage of population in the age group 0-4,Percentage of population in the age group 5-9,Percentage of population in the age group 10-14,Percentage of population in the age group 15-19,Percentage of population in the age group 20-24,Percentage of population in the age group 25-29,Percentage of population in the age group 30-49,Percentage of population in the age group 50-59,Percentage of population in the age group 60-64,Percentage of population in the age group 65+,check_var
01,8.0,XX.0,XXX,XX,01,  Bagerhat Sadar Upazila,217316,8.3,10.5,11.1,8.4,8.3,9.0,27.1,7.5,3.3,6.5,00110
01,14.0,XX.0,XXX,XX,01,  Chitalmari Upazila,137538,10.3,13.4,13.0,8.4,7.5,7.8,23.3,6.8,3.3,6.2,00110
01,14.0,31.0,XXX,XX,01,  Chitalmari Union,26794,9.6,12.5,12.2,8.7,8.1,8.4,24.3,6.8,3.1,6.5,00110
01,34.0,XX.0,XXX,XX,01,  Fakirhat Upazila,110808,8.4,10.1,10.8,8.7,8.6,9.1,27.4,7.4,3.2,6.2,00110
01,34.0,10.0,XXX,XX,01,  Bahirdia Mansa Union,4374,8.0,10.9,10.6,9.7,9.4,9.3,26.6,6.6,3.3,5.6,00110
01,34.0,31.0,XXX,XX,01,  Fakirhat Union,17689,8.5,9.6,10.6,8.7,8.6,9.4,27.6,7.4,3.2,6.3,00110
01,34.0,52.0,XXX,XX,01,  Mulghar Union,9995,7.3,9.6,11.3,8.4,8.4,8.6,28.2,8.0,3.4,6.8,00110
01,34.0,63.0,XXX,XX,01,  Naldha Maubhog Union,12188,9.4,10.2,11.8,9.8,9.3,9.3,25.4,6.5,2.8,5.6,00110
01,38.0,XX.0,XXX,XX,01,  Kachua Upazila,87538,9.0,11.6,11.1,8.0,7.7,8.1,26.1,7.7,3.4,7.2,00110
01,38.0,57.0,XXX,XX,01,  Kachua Union,4795,8.6,11.3,9.4,6.9,8.3,7.9,28.2,8.1,3.8,7.4,00110
01,56.0,XX.0,XXX,XX,01,  Mollahat Upazila,118004,10.4,13.7,13.5,9.0,8.1,7.7,22.1,6.6,3.1,5.8,00110
01,56.0,95.0,XXX,XX,01,  Udaypur Union,10117,10.3,13.4,13.0,9.1,8.5,7.6,22.6,6.5,3.2,5.8,00110
01,58.0,XX.0,XXX,XX,01,  Mongla Upazila,96751,7.7,9.9,11.4,7.4,8.1,9.5,29.0,7.5,3.3,6.2,00110
01,60.0,XX.0,XXX,XX,01,  Morrelganj Upazila,267446,9.8,12.7,12.1,7.3,7.2,7.9,24.9,7.4,3.7,6.9,00110
01,60.0,23.0,XXX,XX,01,  Baraikhali Union,17480,9.4,11.8,11.3,7.7,8.0,9.3,26.4,6.6,3.5,5.9,00110
01,73.0,XX.0,XXX,XX,01,  Rampal Upazila,153245,8.1,10.2,10.9,7.7,8.0,8.9,28.1,7.8,3.3,7.0,00110
01,73.0,83.0,XXX,XX,01,  Rampal Union,22556,8.3,9.4,10.9,8.0,8.5,9.0,28.4,7.6,3.2,6.7,00110
01,77.0,XX.0,XXX,XX,01,  Sarankhola Upazila,92113,9.3,12.1,11.9,7.2,7.9,9.1,26.9,6.6,3.1,5.8,00110
01,77.0,38.0,XXX,XX,01,  Khontakata Union,20322,10.0,12.6,13.3,7.9,7.5,8.4,23.5,7.2,3.4,6.2,00110
01,77.0,57.0,XXX,XX,01,  Royenda Union,17261,10.7,13.9,13.2,7.9,7.4,7.5,22.4,6.7,3.4,6.9,00110
55,XX.0,XX.0,XXX,XX,01, Magura Zila,798005,10.0,12.6,12.0,8.0,8.0,8.8,25.1,7.0,3.0,5.8,00110
55,57.0,XX.0,XXX,XX,01,  Magura Sadar Upazila,281752,10.0,12.5,12.0,7.8,8.1,9.0,25.3,6.9,2.9,5.6,00110
55,66.0,XX.0,XXX,XX,01,  Mohammadpur Upazila,197895,10.8,14.1,12.9,8.1,7.5,8.2,23.3,6.6,2.9,5.5,00110
