ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total,Muslim,Hindu,Christian,Buddhist,Others,check_var
81,34,XX,XXX,XX,02,  Godagari Upazila,56335,52928,1296,1739,1,371,01110
81,53,XX,XXX,XX,02,  Mohanpur Upazila,19645,19279,366,0,0,0,01110
81,72,XX,XXX,XX,02,  Paba Upazila,85732,82013,2977,606,0,136,01110
81,82,XX,XXX,XX,02,  Puthia Upazila,20610,17674,2868,63,0,5,01110
81,94,XX,XXX,XX,02,  Tanore Upazila,53419,45210,5420,1850,4,935,01110
64,28,XX,XXX,XX,02,  Dhamoirhat Upazila,15006,13116,682,410,0,798,01110
64,60,XX,XXX,XX,02,  Naogaon Sadar Upazila,150549,133144,16977,187,2,239,01110
64,75,XX,XXX,XX,02,  Patnitala Upazila,21670,15414,5975,184,0,97,01110
76,05,XX,XXX,XX,02,  Atgharia Upazila,13686,12899,776,7,4,0,01110
76,16,XX,XXX,XX,02,  Bera Upazila,50068,47011,3057,0,0,0,01110
76,19,XX,XXX,XX,02,  Bhangura Upazila,20606,18958,1634,10,0,4,01110
76,22,XX,XXX,XX,02,  Chatmohar Upazila,14443,11554,2879,10,0,0,01110
76,33,XX,XXX,XX,02,  Faridpur Upazila,14010,11888,2118,4,0,0,01110
76,39,XX,XXX,XX,02,  Ishwardi Upazila,66255,63444,2787,24,0,0,01110
76,55,XX,XXX,XX,02,  Pabna Sadar Upazila,144442,136084,8139,198,15,6,01110
76,72,XX,XXX,XX,02,  Santhia Upazila,38704,37657,1031,4,0,12,01110
76,83,XX,XXX,XX,02,  Sujanagar Upazila,25461,23716,1737,7,0,1,01110
70,37,XX,XXX,XX,02,  Gomastapur Upazila,34941,33498,1399,44,0,0,01110
70,56,XX,XXX,XX,02,  Nachole Upazila,17364,16590,716,3,0,55,01110
70,66,XX,XXX,XX,02,  Chapai Nawabganj Sadar Upazila,180731,174371,6321,32,2,5,01110
70,88,XX,XXX,XX,02,  Shibganj Upazila,42693,41061,1632,0,0,0,01110
69,09,XX,XXX,XX,02,  Bagatipara Upazila,9975,9272,700,3,0,0,01110
69,15,XX,XXX,XX,02,  Baraigram Upazila,39523,34540,2869,1845,0,269,01110
69,41,XX,XXX,XX,02,  Gurudaspur Upazila,32807,29693,3106,8,0,0,01110
69,44,XX,XXX,XX,02,  Lalpur Upazila,21042,18771,2170,17,0,84,01110
69,63,XX,XXX,XX,02,  Natore Sadar Upazila,91469,76384,14754,179,1,151,01110
69,91,XX,XXX,XX,02,  Singra Upazila,33192,30489,2658,0,0,45,01110
38,13,XX,XXX,XX,02,  Akkelpur Upazila,24227,21942,2200,0,0,85,01110
38,47,XX,XXX,XX,02,  Joypurhat Sadar Upazila,69033,60434,7746,438,0,415,01110
38,58,XX,XXX,XX,02,  Kalai Upazila,16464,15623,834,7,0,0,01110
38,74,XX,XXX,XX,02,  Panchbibi Upazila,22475,17517,4224,50,0,684,01110
13,22,XX,XXX,XX,02,  Chandpur Sadar Upazila,159021,141395,17375,136,73,42,01110
13,45,XX,XXX,XX,02,  Faridganj Upazila,35090,32872,2216,1,0,1,01110
13,49,XX,XXX,XX,02,  Hajiganj Upazila,63892,57281,6607,1,1,2,01110
13,58,XX,XXX,XX,02,  Kachua Upazila,27024,24318,2697,4,5,0,01110
13,76,XX,XXX,XX,02,  Matlab Upazila,59286,53014,6186,30,0,56,01110
13,79,XX,XXX,XX,02,  Matlab Uttar Upazila,36691,36215,475,0,0,1,01110
13,95,XX,XXX,XX,02,  Shahrasti Upazila,28287,25033,3239,0,3,12,01110
3,04,XX,XXX,XX,02,  Alikadam Upazila,763,744,15,0,4,0,01110
3,14,XX,XXX,XX,02,  Bandarban Sadar Upazila,41434,25181,6083,1328,8745,97,01110
3,51,XX,XXX,XX,02,  Lama Upazila,19014,14771,1281,123,2834,5,01110
3,91,XX,XXX,XX,02,  Ruma Upazila,363,346,14,1,2,0,01110
19,09,XX,XXX,XX,02,  Barura Upazila,49126,43341,5773,2,10,0,01110
19,27,XX,XXX,XX,02,  Chandina Upazila,46823,42766,4016,0,6,35,01110
19,31,XX,XXX,XX,02,  Chauddagram Upazila,38317,36918,1390,0,4,5,01110
19,33,XX,XXX,XX,02,  Comilla Sadar Dakshin Upazila,103710,99287,4069,69,261,24,01110
19,36,XX,XXX,XX,02,  Daudkandi Upazila,46256,41719,4530,3,4,0,01110
19,40,XX,XXX,XX,02,  Debidwar Upazila,61418,58327,3090,0,0,1,01110
19,54,XX,XXX,XX,02,  Homna Upazila,29173,25655,3514,0,4,0,01110
19,67,XX,XXX,XX,02,  Comilla Adarsha Sadar Upazila,235423,209745,25039,185,410,44,01110
19,72,XX,XXX,XX,02,  Laksam Upazila,70632,64154,6391,26,59,2,01110
19,87,XX,XXX,XX,02,  Nangalkot Upazila,26719,26497,219,0,1,2,01110
12,02,XX,XXX,XX,02,  Akhaura Upazila,36262,32936,3323,0,3,0,01110
12,13,XX,XXX,XX,02,  Brahmanbaria Sadar Upazila,172017,150043,21621,257,79,17,01110
12,63,XX,XXX,XX,02,  Kasba Upazila,40416,38545,1870,0,1,0,01110
12,85,XX,XXX,XX,02,  Nabinagar Upazila,53157,42470,10666,1,11,9,01110
51,43,XX,XXX,XX,02,  Lakshmipur Sadar Upazila,83112,75899,7097,24,71,21,01110
51,58,XX,XXX,XX,02,  Roypur Upazila,30756,28646,2082,1,4,23,01110
51,65,XX,XXX,XX,02,  Ramganj Upazila,44775,41419,3355,0,1,0,01110
51,73,XX,XXX,XX,02,  Ramgati Upazila,24016,19918,4090,5,3,0,01110
46,49,XX,XXX,XX,02,  Khagrachhari Sadar Upazila,47278,27555,6372,332,13011,8,01110
46,70,XX,XXX,XX,02,  Matiranga Upazila,23913,20182,2160,34,1498,39,01110
46,80,XX,XXX,XX,02,  Ramgarh Upazila,24854,18006,4332,70,2343,103,01110
22,16,XX,XXX,XX,02,  Chakoria Upazila,72669,65887,5760,0,1006,16,01110
22,24,XX,XXX,XX,02,  Cox's Bazar Sadar Upazila,167477,148883,14655,107,3372,460,01110
22,49,XX,XXX,XX,02,  Maheshkhali Upazila,27321,20474,5786,0,1060,1,01110
22,90,XX,XXX,XX,02,  Teknaf Upazila,25056,24109,685,6,207,49,01110
15,08,XX,XXX,XX,02,  Banshkhali Upazila,36910,27581,7458,8,1857,6,01110
15,18,XX,XXX,XX,02,  Chandanaish  Upazila,35248,30323,4118,4,802,1,01110
15,37,XX,XXX,XX,02,  Hathazari Upazila,60,55,4,0,1,0,01110
15,53,XX,XXX,XX,02,  Mirsharai Upazila,27820,24687,3094,2,35,2,01110
15,61,XX,XXX,XX,02,  Patiya Upazila,55323,47883,6779,31,623,7,01110
15,70,XX,XXX,XX,02,  Rangunia Upazila,32641,25480,4277,17,2863,4,01110
15,74,XX,XXX,XX,02,  Raozan Upazila,59148,45479,11886,3,1770,10,01110
15,78,XX,XXX,XX,02,  Sandwip Upazila,41365,37996,3368,0,0,1,01110
15,82,XX,XXX,XX,02,  Satkania Upazila,45001,41991,2977,1,20,12,01110
15,86,XX,XXX,XX,02,  Sitakunda Upazila,45147,36748,7742,6,634,17,01110
84,07,XX,XXX,XX,02,  Baghaichhari Upazila,13807,10590,795,23,2347,52,01110
84,87,XX,XXX,XX,02,  Rangamati Sadar Upazila,84000,44795,12328,327,26363,187,01110
30,14,XX,XXX,XX,02,  Chhagalnaiya Upazila,45177,44048,1100,0,28,1,01110
30,25,XX,XXX,XX,02,  Daganbhuiyan Upazila,32080,29997,2059,13,9,2,01110
30,29,XX,XXX,XX,02,  Feni Sadar Upazila,156971,143321,13271,96,245,38,01110
30,51,XX,XXX,XX,02,  Parshuram Upazila,29691,26832,2852,1,2,4,01110
30,94,XX,XXX,XX,02,  Sonagazi Upazila,19866,18882,972,0,4,8,01110
75,07,XX,XXX,XX,02,  Begumganj Upazila,80001,70540,9426,10,23,2,01110
75,10,XX,XXX,XX,02,  Chatkhil Upazila,31395,30250,1127,1,17,0,01110
75,21,XX,XXX,XX,02,  Companiganj Upazila,29877,27479,2387,0,10,1,01110
75,36,XX,XXX,XX,02,  Hatiya Upazila,44802,43507,1281,5,9,0,01110
75,47,XX,XXX,XX,02,  Kabirhat Upazila,17448,16927,516,1,4,0,01110
75,80,XX,XXX,XX,02,  Senbagh Upazila,19065,18557,486,0,22,0,01110
75,83,XX,XXX,XX,02,  Sonaimuri Upazila,34218,32844,1255,0,119,0,01110
75,87,XX,XXX,XX,02,  Noakhali Sadar Upazila,107654,98194,8857,414,180,9,01110
29,10,XX,XXX,XX,02,  Bhanga Upazila,34148,30567,3571,10,0,0,01110
29,18,XX,XXX,XX,02,  Boalmari Upazila,27595,23833,3687,4,0,71,01110
29,47,XX,XXX,XX,02,  Faridpur Sadar Upazila,121632,100731,20398,486,8,9,01110
29,62,XX,XXX,XX,02,  Nagarkanda Upazila,11872,9657,2208,7,0,0,01110
72,18,XX,XXX,XX,02,  Durgapur Upazila,24306,17985,4846,1449,5,21,01110
72,47,XX,XXX,XX,02,  Kendua Upazila,22363,20635,1719,9,0,0,01110
72,56,XX,XXX,XX,02,  Madan Upazila,17388,14054,3284,1,0,49,01110
72,63,XX,XXX,XX,02,  Mohanganj Upazila,27193,21410,5724,6,0,53,01110
72,74,XX,XXX,XX,02,  Netrokona Sadar Upazila,91936,72437,19443,15,8,33,01110
39,15,XX,XXX,XX,02,  Dewanganj Upazila,38027,35932,2031,2,1,61,01110
39,29,XX,XXX,XX,02,  Islampur Upazila,38568,35832,2735,0,0,1,01110
39,36,XX,XXX,XX,02,  Jamalpur Sadar Upazila,142764,137782,4935,43,0,4,01110
39,58,XX,XXX,XX,02,  Madarganj Upazila,33169,31276,1889,2,1,1,01110
39,61,XX,XXX,XX,02,  Melandaha Upazila,31320,30250,1065,0,1,4,01110
39,85,XX,XXX,XX,02,  Sarishabari Upazila,52162,48256,3834,43,1,28,01110
59,56,XX,XXX,XX,02,  Munshiganj Sadar Upazila,114819,104347,10439,20,8,5,01110
35,32,XX,XXX,XX,02,  Gopalganj Sadar Upazila,51346,37757,12264,1292,17,16,01110
35,51,XX,XXX,XX,02,  Kotalipara Upazila,5808,4319,1463,26,0,0,01110
35,58,XX,XXX,XX,02,  Muksudpur Upazila,19711,17049,2659,3,0,0,01110
35,91,XX,XXX,XX,02,  Tungipara Upazila,8596,7771,796,21,0,8,01110
82,29,XX,XXX,XX,02,  Goalanda Upazila,18663,16142,2520,0,1,0,01110
82,73,XX,XXX,XX,02,  Pangsha Upazila,29098,23901,5197,0,0,0,01110
82,76,XX,XXX,XX,02,  Rajbari Sadar Upazila,56313,47781,8503,29,0,0,01110
61,13,XX,XXX,XX,02,  Bhaluka Upazila,38774,36025,2666,65,0,18,01110
61,20,XX,XXX,XX,02,  Fulbaria Upazila,31058,29787,1201,67,3,0,01110
61,22,XX,XXX,XX,02,  Gaffargaon Upazila,29325,28081,1244,0,0,0,01110
61,23,XX,XXX,XX,02,  Gauripur Upazila,25570,21961,3546,35,0,28,01110
61,31,XX,XXX,XX,02,  Ishwarganj Upazila,28631,26190,2441,0,0,0,01110
61,52,XX,XXX,XX,02,  Mymensingh Sadar Upazila,258040,222436,34258,1104,32,210,01110
61,65,XX,XXX,XX,02,  Muktagachha Upazila,49915,43187,6679,44,3,2,01110
61,72,XX,XXX,XX,02,  Nandail Upazila,33308,31027,2223,1,0,57,01110
61,81,XX,XXX,XX,02,  Phulpur Upazila,25628,23824,1755,35,0,14,01110
61,94,XX,XXX,XX,02,  Trishal Upazila,34747,33170,1400,20,3,154,01110
67,04,XX,XXX,XX,02,  Sonargaon Upazila,32796,29831,2947,3,15,0,01110
67,06,XX,XXX,XX,02,  Bandar Upazila,166291,156173,10014,69,24,11,01110
67,58,XX,XXX,XX,02,  Narayanganj Sadar Upazila,543090,490917,51768,246,117,42,01110
67,68,XX,XXX,XX,02,  Rupganj Upazila,200177,192022,8004,78,34,39,01110
33,30,XX,XXX,XX,02,  Gazipur Sadar Upazila,689411,664006,22695,2293,334,83,01110
33,32,XX,XXX,XX,02,  Kaliakair Upazila,157162,148460,7360,1005,57,280,01110
33,34,XX,XXX,XX,02,  Kaliganj Upazila,45430,40210,4170,1048,2,0,01110
33,86,XX,XXX,XX,02,  Sreepur Upazila,126249,123776,1991,356,31,95,01110
56,46,XX,XXX,XX,02,  Manikganj Sadar Upazila,71698,61304,10344,49,0,1,01110
56,82,XX,XXX,XX,02,  Singair Upazila,26885,24117,2761,6,0,1,01110
26,14,XX,XXX,XX,02,  Dhamrai Upazila,56777,48761,7783,22,211,0,01110
26,18,XX,XXX,XX,02,  Dohar Upazila,36434,33559,2868,2,0,5,01110
26,72,XX,XXX,XX,02,  Savar Upazila,296851,273971,19450,3235,157,38,01110
86,14,XX,XXX,XX,02,  Bhedarganj Upazila,8169,7762,407,0,0,0,01110
86,25,XX,XXX,XX,02,  Damudya Upazila,14242,13466,769,1,0,6,01110
86,65,XX,XXX,XX,02,  Naria Upazila,22773,20742,2026,5,0,0,01110
86,69,XX,XXX,XX,02,  Shariatpur Sadar Upazila,49535,44835,4651,49,0,0,01110
86,94,XX,XXX,XX,02,  Zanjira Upazila,21251,20464,775,12,0,0,01110
54,40,XX,XXX,XX,02,  Kalkini Upazila,41608,38473,3126,9,0,0,01110
54,54,XX,XXX,XX,02,  Madaripur Sadar Upazila,62690,56156,6461,60,11,2,01110
54,87,XX,XXX,XX,02,  Shib Char Upazila,24154,21113,3038,3,0,0,01110
93,19,XX,XXX,XX,02,  Bhuapur Upazila,28708,27196,1501,4,2,5,01110
93,25,XX,XXX,XX,02,  Dhanbari Upazila,36125,34462,1638,19,0,6,01110
93,28,XX,XXX,XX,02,  Ghatail Upazila,35245,33013,2025,24,16,167,01110
93,38,XX,XXX,XX,02,  Gopalpur Upazila,50160,46380,3767,9,0,4,01110
93,47,XX,XXX,XX,02,  Kalihati Upazila,37038,30484,6545,7,1,1,01110
93,57,XX,XXX,XX,02,  Madhupur Upazila,56342,51708,4521,92,1,20,01110
93,66,XX,XXX,XX,02,  Mirzapur Upazila,28602,20274,8117,179,22,10,01110
93,85,XX,XXX,XX,02,  Sakhipur Upazila,30028,28279,1695,28,9,17,01110
93,95,XX,XXX,XX,02,  Tangail Sadar Upazila,167412,147515,19752,109,25,11,01110
48,06,XX,XXX,XX,02,  Bajitpur Upazila,34898,30894,4003,1,0,0,01110
48,11,XX,XXX,XX,02,  Bhairab Upazila,118992,110875,8082,30,4,1,01110
48,27,XX,XXX,XX,02,  Hossainpur Upazila,23118,21807,1282,27,0,2,01110
48,42,XX,XXX,XX,02,  Karimganj Upazila,26844,24925,1914,4,1,0,01110
48,45,XX,XXX,XX,02,  Katiadi Upazila,40725,36561,4137,9,0,18,01110
48,49,XX,XXX,XX,02,  Kishoreganj Sadar Upazila,103798,88830,14921,43,4,0,01110
48,54,XX,XXX,XX,02,  Kuliar Char Upazila,31781,26444,5325,1,0,11,01110
48,79,XX,XXX,XX,02,  Pakundia Upazila,28606,28081,523,1,0,1,01110
89,67,XX,XXX,XX,02,  Nakla Upazila,33086,32101,971,12,0,2,01110
89,70,XX,XXX,XX,02,  Nalitabari Upazila,27142,24059,3029,47,1,6,01110
89,88,XX,XXX,XX,02,  Sherpur Sadar Upazila,97979,87849,9798,292,27,13,01110
89,90,XX,XXX,XX,02,  Sreebardi Upazila,24169,23614,543,11,0,1,01110
68,52,XX,XXX,XX,02,  Manohardi Upazila,17635,16298,1336,0,1,0,01110
68,60,XX,XXX,XX,02,  Narsingdi Sadar Upazila,195698,168572,27088,14,22,2,01110
68,63,XX,XXX,XX,02,  Palash Upazila,85949,76800,9077,59,8,5,01110
68,64,XX,XXX,XX,02,  Roypura Upazila,34904,30385,4511,8,0,0,01110
68,76,XX,XXX,XX,02,  Shibpur Upazila,20272,19070,1196,2,4,0,01110
33,30,XX,XXX,XX,02,  Gazipur Sadar Upazila,689411,664006,22695,2293,334,83,01110
33,32,XX,XXX,XX,02,  Kaliakair Upazila,157162,148460,7360,1005,57,280,01110
