ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total,Muslim,Hindu,Christian,Buddhist,Others,check_var
47,30,33,458,01,01,  Jelerdanga,193,13,180,0,0,0,00000
47,30,33,458,02,01,  Baradanga,295,55,240,0,0,0,00000
47,30,33,659,01,01,  Khamar Baria,1397,6,1391,0,0,0,00000
47,30,33,659,02,01,  Lata,1152,12,1140,0,0,0,00000
47,30,33,659,03,01,  Paharpur,559,107,452,0,0,0,00000
47,30,40,724,01,01,  Mechhaghuna,1134,1134,0,0,0,0,00000
47,30,40,724,02,01,  Kartik Danga,360,225,135,0,0,0,00000
47,30,47,004,01,01,  Ahladipur,728,16,712,0,0,0,00000
47,30,47,004,02,01,  Purba Patibunia,342,0,342,0,0,0,00000
47,30,47,004,03,01,  Paschim Patibunia,379,1,378,0,0,0,00000
47,30,47,354,01,01,  Hoglabunia,264,3,261,0,0,0,00000
47,30,47,354,02,01,  Gajalia,286,75,211,0,0,0,00000
47,30,47,615,01,01,  Hatalbunia,472,7,462,3,0,0,00000
47,30,47,615,02,01,  Korakata,233,6,227,0,0,0,00000
47,30,47,615,03,01,  Sokarmari,160,1,159,0,0,0,00000
47,30,47,709,01,01,  Amurbunia,403,47,356,0,0,0,00000
47,30,47,709,02,01,  Shakertak,458,282,176,0,0,0,00000
47,30,47,709,03,01,  Barmarber,188,12,176,0,0,0,00000
47,30,47,709,04,01,  Jharjhria,326,0,326,0,0,0,00000
47,30,61,876,01,01,  Sahapur,5180,4531,644,0,5,0,00000
47,30,61,876,02,01,  Bil Patiala,276,275,1,0,0,0,00000
47,30,67,852,01,01,  Rangpur,9032,597,8433,2,0,0,00000
47,30,67,852,02,01,  Sarabhita,497,3,494,0,0,0,00000
47,30,67,852,03,01,  Mujarguta,402,0,402,0,0,0,00000
47,30,67,852,04,01,  Batbera,577,9,567,1,0,0,00000
47,30,67,852,05,01,  Baranashi,376,0,376,0,0,0,00000
47,30,81,881,01,01,  Charabandha,132,67,65,0,0,0,00000
47,30,81,881,02,01,  Dudhir Hula,180,0,180,0,0,0,00000
47,30,81,881,03,01,  Sahas Ghoshgati,1179,983,196,0,0,0,00000
47,30,81,881,04,01,  Kumarghata,1029,784,245,0,0,0,00000
47,30,81,881,05,01,  Madhyapara,439,37,396,6,0,0,00000
47,30,81,881,06,01,  Rajapur,1802,1752,50,0,0,0,00000
47,30,81,881,07,01,  Sahas Joykhali,2077,1657,419,1,0,0,00000
47,30,88,497,01,01,  Uttar Kalikapur,1023,1016,7,0,0,0,00000
47,30,88,497,02,01,  Dakshin Kalikapur,1561,68,1493,0,0,0,00000
47,30,88,497,03,01,  Bosundia Danga,278,159,119,0,0,0,00000
47,30,88,497,04,01,  Dattadanga,228,99,129,0,0,0,00000
47,30,88,497,05,01,  Senpara,2102,1738,364,0,0,0,00000
47,30,88,896,01,01,  Uttar Sarappur,1856,1554,302,0,0,0,00000
47,30,88,896,02,01,  Dakshin Sarappur,1892,1724,168,0,0,0,00000
47,30,88,896,03,01,  Baniakhali,405,375,30,0,0,0,00000
47,30,94,709,01,01,  Mandartala,1033,71,961,1,0,0,00000
47,30,94,709,02,01,  Baruikati,701,16,685,0,0,0,00000
47,40,17,142,01,01,  Barakpur,4360,4081,279,0,0,0,00000
47,40,17,142,02,01,  Gousgati,3027,2640,386,1,0,0,00000
47,40,57,331,01,01,  Deara,7508,7352,145,4,0,7,00000
47,40,57,331,02,01,  Farmais Khana,3291,3140,151,0,0,0,00000
47,40,57,331,03,01,  Sugandhi,714,714,0,0,0,0,00000
47,40,66,023,01,01,  Abalganti,350,72,278,0,0,0,00000
47,40,66,023,02,01,  Ambaria (Hi),471,259,212,0,0,0,00000
47,40,66,402,01,01,  Domra,1488,259,1229,0,0,0,00000
47,40,66,402,02,01,  Sonakur,900,127,773,0,0,0,00000
47,40,66,497,01,01,  Jungasia,1474,610,864,0,0,0,00000
47,40,66,497,02,01,  Gazir Hat,370,188,182,0,0,0,00000
47,40,66,497,03,01,  Baghmara,481,112,369,0,0,0,00000
47,40,66,497,04,01,  Mahishdia,1340,1340,0,0,0,0,00000
47,40,66,568,01,01,  Ketla,2353,610,1743,0,0,0,00000
47,40,66,568,02,01,  Mollahdanga,2260,2260,0,0,0,0,00000
47,40,66,568,03,01,  Islamdanga,372,372,0,0,0,0,00000
47,40,66,734,01,01,  Majhirganti,1498,304,1190,4,0,0,00000
47,40,66,734,02,01,  Padma Bila,1198,1095,103,0,0,0,00000
47,40,66,734,03,01,  Muslim Danga,485,475,10,0,0,0,00000
47,40,66,734,04,01,  Ambaria,1279,1279,0,0,0,0,00000
47,40,85,450,01,01,  Hajigram,6310,6109,201,0,0,0,00000
47,40,85,450,02,01,  Mominpur,504,500,4,0,0,0,00000
47,48,19,497,01,01,  Gilatala,12462,11900,534,28,0,0,00000
47,48,19,497,02,01,  Matamdanga,4819,4725,78,12,4,0,00000
47,48,19,621,01,01,  Masiali,5659,5325,303,31,0,0,00000
47,48,19,621,02,01,  Gabtala,2472,2127,277,68,0,0,00000
47,48,19,621,03,01,  Pariadanga,1762,1761,1,0,0,0,00000
47,48,75,437,01,01,  Jugipole,9839,9690,137,12,0,0,00000
47,48,75,437,02,01,  Jabdipur,4533,4451,81,0,0,1,00000
47,48,75,994,01,01,  Teliganti,5393,4691,702,0,0,0,00000
47,48,75,994,02,01,  Rajapur,380,294,86,0,0,0,00000
47,48,75,994,03,01,  Khanabari,2588,2353,224,10,1,0,00000
47,53,10,013,01,01,  Jaigir Mahal,3614,3337,277,0,0,0,00000
47,53,10,013,02,01,  Garamadi,624,557,62,5,0,0,00000
47,53,10,013,03,01,  Katakhali,565,222,343,0,0,0,00000
47,53,10,013,04,01,  Amadi,3056,1863,1082,111,0,0,00000
47,53,10,190,01,01,  Bhandar Pole,2106,2106,0,0,0,0,00000
47,53,10,190,02,01,  Channir Chak,2833,1623,1210,0,0,0,00000
47,53,10,190,03,01,  Kumarkhali,445,445,0,0,0,0,00000
47,53,10,190,04,01,  Bech Para,807,653,154,0,0,0,00000
47,53,10,190,05,01,  Hadubunia,96,13,83,0,0,0,00000
47,53,10,477,01,01,  Harinagar,1861,1766,95,0,0,0,00000
47,53,10,477,02,01,  Talbaria,518,0,518,0,0,0,00000
47,53,10,640,01,01,  Khiral,1437,1437,0,0,0,0,00000
47,53,10,640,02,01,  Patuali,141,0,141,0,0,0,00000
47,53,10,640,03,01,  Dasbaria,422,422,0,0,0,0,00000
47,53,11,136,01,01,  Bamia,3812,3309,503,0,0,0,00000
47,53,11,136,02,01,  Bairagir Chak,390,46,344,0,0,0,00000
47,53,11,136,03,01,  Thakurer Chak,370,9,361,0,0,0,00000
47,53,11,790,01,01,  Mathabhanga,299,298,1,0,0,0,00000
47,53,11,790,02,01,  Gupirerber,743,743,0,0,0,0,00000
47,53,11,790,03,01,  Gazinagar,434,291,143,0,0,0,00000
47,53,22,313,01,01,  Bara Angtihara,2360,1940,420,0,0,0,00000
47,53,22,313,02,01,  Jorsing,3345,2948,395,0,0,2,00000
47,53,22,313,03,01,  Golkhali,1895,1887,8,0,0,0,00000
47,53,22,313,04,01,  Matiabhanga,1483,1334,149,0,0,0,00000
47,53,22,313,05,01,  Gharilal,1396,1190,206,0,0,0,00000
47,53,22,313,06,01,  Choramukha,762,329,433,0,0,0,00000
47,53,22,313,07,01,  Patakhali,844,844,0,0,0,0,00000
47,53,22,313,08,01,  Halbunia,361,327,34,0,0,0,00000
47,53,22,313,09,01,  Binapani,1435,586,849,0,0,0,00000
47,53,22,313,10,01,  Chhota Angtihara,724,724,0,0,0,0,00000
47,53,22,313,11,01,  Maider Char,653,491,162,0,0,0,00000
47,53,22,313,12,01,  Dakshin Bedkasi,1497,1240,257,0,0,0,00000
47,53,55,667,01,01,  1 No. Koyra,3714,3219,490,4,0,1,00000
47,53,55,667,02,01,  2 No. Koyra,5702,5135,464,15,0,88,00000
47,53,55,667,03,01,  3 No. Koyra,1999,1667,332,0,0,0,00000
47,53,55,667,04,01,  4 No. Koyra,4961,4886,73,2,0,0,00000
47,53,55,667,05,01,  5 No. Koyra,2592,2545,27,20,0,0,00000
47,53,55,667,06,01,  6 No. Koyra,2668,1274,1241,0,0,153,00000
47,53,55,722,01,03,  Dhakin Madinabad,4069,3349,714,6,0,0,00000
47,53,55,722,02,03,  Uttar Madinabad,3595,3592,3,0,0,0,00000
47,53,55,722,03,03,  Gobra,2799,2799,0,0,0,0,00000
47,53,55,722,04,03,  Ghatakhali,654,654,0,0,0,0,00000
47,53,55,722,05,03,  Harin Khola,477,477,0,0,0,0,00000
47,53,72,327,01,01,  Dakshin Deara,2918,2878,40,0,0,0,00000
47,53,72,327,02,01,  Madarbaria,1754,1754,0,0,0,0,00000
47,53,72,327,04,01,  Kolukhali,532,395,137,0,0,0,00000
47,53,72,327,05,01,  Shyamkhali,547,431,116,0,0,0,00000
47,53,72,613,01,01,  Moraler Chak,463,463,0,0,0,0,00000
47,53,72,613,03,01,  Sutirkona,747,743,4,0,0,0,00000
47,53,72,613,04,01,  Sutirdhar,755,555,200,0,0,0,00000
47,53,72,613,05,01,  Marder Chak,1055,1047,8,0,0,0,00000
47,53,72,613,06,01,  Moterdanga,1190,895,295,0,0,0,00000
47,53,72,613,07,01,  South Motbari,919,919,0,0,0,0,00000
47,53,72,613,08,01,  Purbo Matbari,1296,191,1090,15,0,0,00000
47,53,72,736,01,01,  Purba Maharajpur,3318,3318,0,0,0,0,00000
47,53,72,736,02,01,  Paschim Maharajpur,2091,2091,0,0,0,0,00000
47,53,78,749,01,01,  Maheswaripur,6123,3174,2949,0,0,0,00000
47,53,78,749,02,01,  Amtali,825,736,89,0,0,0,00000
47,53,78,749,03,01,  Singher Chak,584,103,481,0,0,0,00000
47,53,78,749,04,01,  Gilabari,427,397,2,28,0,0,00000
47,53,78,967,01,01,  Babura Bade,951,951,0,0,0,0,00000
47,53,78,967,02,01,  Tentultalar Char,2447,2369,67,0,0,11,00000
47,53,94,994,01,01,  Seikh Sardar Para,1632,1399,233,0,0,0,00000
47,53,94,994,02,01,  Bedkashi,2267,1964,303,0,0,0,00000
47,53,94,994,03,01,  Katmar Char,2151,2020,131,0,0,0,00000
47,53,94,994,04,01,  Barabari,2231,981,1250,0,0,0,00000
47,53,94,994,05,01,  Botul Bazar,1155,930,225,0,0,0,00000
47,53,94,994,06,01,  Patharkhali,1094,760,334,0,0,0,00000
47,53,94,994,07,01,  Gazi Para,1001,847,154,0,0,0,00000
47,53,94,994,08,01,  Padma Pukur,1262,695,567,0,0,0,00000
47,53,94,994,09,01,  Gatir Ghereu,463,20,443,0,0,0,00000
47,53,94,994,10,01,  Hariharpur,480,34,443,3,0,0,00000
47,53,94,994,11,01,  Hazatkhali,1004,524,480,0,0,0,00000
47,53,94,994,12,01,  Shakbaria,340,15,325,0,0,0,00000
47,53,94,994,13,01,  Gubbunia,145,0,145,0,0,0,00000
47,64,16,553,01,01,  Kamalapur,2132,2128,4,0,0,0,00000
47,64,16,553,02,01,  Uttar Garerabad,1025,1008,0,17,0,0,00000
47,64,16,553,03,01,  Dakshin Garerabad,1059,1059,0,0,0,0,00000
47,64,16,639,01,01,  Krishnanagar,2487,1545,941,1,0,0,00000
47,64,16,639,02,01,  Dhoha Kula,401,55,346,0,0,0,00000
47,64,27,140,01,01,  Bigardana,778,190,588,0,0,0,00000
47,64,27,140,02,01,  Durgapur,390,1,389,0,0,0,00000
47,64,27,532,01,01,  Kalinagar,807,2,805,0,0,0,00000
47,64,27,532,02,01,  Naldanga,222,0,222,0,0,0,00000
47,64,27,677,01,01,  Madhukhali,411,194,217,0,0,0,00000
47,64,27,677,02,01,  Jokarhula,326,41,285,0,0,0,00000
47,64,27,883,01,01,  Senerbil,152,4,148,0,0,0,00000
47,64,27,883,02,01,  Khejurtala,147,0,147,0,0,0,00000
47,64,39,272,01,01,  Dakshin Bainbari,1118,18,1100,0,0,0,00000
47,64,39,272,02,01,  Paschim Bainbari,966,21,902,43,0,0,00000
47,64,39,375,01,01,  Garuikhali,2953,2901,21,31,0,0,00000
47,64,39,375,02,01,  Fakirabad,2538,2306,57,175,0,0,00000
47,64,39,375,03,01,  Shanta,1381,1376,5,0,0,0,00000
47,64,39,648,01,01,  Uttar Kumkhali,1994,577,1417,0,0,0,00000
47,64,39,648,02,01,  Dakshin Kumkhali,1195,0,1195,0,0,0,00000
47,64,39,648,03,01,  Purba Kumkhali,1187,96,1091,0,0,0,00000
47,64,39,763,01,01,  Dakshin Amirpur,1156,44,1112,0,0,0,00000
47,64,39,763,02,01,  Patrabunia,1645,1273,372,0,0,0,00000
47,64,39,763,03,01,  Basha Khali,1502,1443,59,0,0,0,00000
47,64,39,763,04,01,  Bogra Chak,359,117,242,0,0,0,00000
47,64,39,763,05,01,  Uttar Amirpur,1116,1116,0,0,0,0,00000
47,64,39,763,06,01,  Kanakhali,891,319,572,0,0,0,00000
47,64,44,838,01,01,  Ramnathpur,904,485,419,0,0,0,00000
47,64,44,838,02,01,  Habibnagar,339,339,0,0,0,0,00000
47,64,44,838,03,01,  Dargah Mahal,537,523,14,0,0,0,00000
47,64,44,838,04,01,  Par Ramnathpur,98,92,6,0,0,0,00000
47,64,50,264,01,01,  Chinamala,237,0,237,0,0,0,00000
47,64,50,264,02,01,  Sreephaltala,250,69,181,0,0,0,00000
47,64,50,829,01,01,  Partapkati,1944,1944,0,0,0,0,00000
47,64,50,829,02,01,  Naba,858,369,489,0,0,0,00000
47,64,50,829,03,01,  Salua,743,432,311,0,0,0,00000
47,64,50,829,04,01,  Kazimucha,2073,1861,212,0,0,0,00000
47,64,50,829,05,01,  Gucchagram,130,123,7,0,0,0,00000
47,64,50,904,01,01,  Silemanpur,1671,1609,62,0,0,0,00000
47,64,50,904,02,01,  Agraghata,578,513,62,3,0,0,00000
47,64,61,611,01,01,  Kharia Dhemsakhali,772,127,645,0,0,0,00000
