ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Literate (can write a letter)-Both-Yes,Literate (can write a letter)-Both-No,Literate (can write a letter)-Male-Yes,Literate (can write a letter)-Male-No,Literate (can write a letter)-Female-Yes,Literate (can write a letter)-Female-No,Literacy Rate (%)-Both,Literacy Rate (%)-Male,Literacy Rate (%)-Female,check_var
10.0,33.0,XX.0,XXX,XX,02,  Dhupchanchia Upazila,12021,7500,6432,3531,5589,3969,61.6,64.6,58.5,00110
10.0,40.0,XX.0,XXX,XX,02,  Gabtali Upazila,11094,7297,5594,3453,5500,3844,60.3,61.8,58.9,00110
10.0,54.0,XX.0,XXX,XX,02,  Kahaloo Upazila,7421,4595,3859,2146,3562,2449,61.8,64.3,59.3,00110
10.0,67.0,XX.0,XXX,XX,02,  Nandigram Upazila,9086,7061,4913,3327,4173,3734,56.3,59.6,52.8,00110
10.0,81.0,XX.0,XXX,XX,02,  Sariakandi Upazila,7995,7827,4299,3689,3696,4138,50.5,53.8,47.2,00110
10.0,85.0,XX.0,XXX,XX,02,  Shajahanpur Upazila,40288,14451,24233,7049,16055,7402,73.6,77.5,68.4,00110
10.0,88.0,XX.0,XXX,XX,02,  Sherpur Upazila,16673,5720,8759,2401,7914,3319,74.5,78.5,70.5,00110
10.0,94.0,XX.0,XXX,XX,02,  Shibganj Upazila,8329,10356,4510,4884,3819,5472,44.6,48.0,41.1,00110
10.0,95.0,XX.0,XXX,XX,02,  Sonatola Upazila,10412,10571,5527,4799,4885,5772,49.6,53.5,45.8,00110
88.0,XX.0,XX.0,XXX,XX,02, Sirajganj Zila,189193,133955,100604,63216,88589,70739,58.5,61.4,55.6,00110
88.0,11.0,XX.0,XXX,XX,02,  Belkuchi Upazila,31480,31929,17208,15848,14272,16081,49.6,52.1,47.0,00110
88.0,50.0,XX.0,XXX,XX,02,  Kazipur Upazila,5012,5683,2558,2480,2454,3203,46.9,50.8,43.4,00110
88.0,61.0,XX.0,XXX,XX,02,  Royganj Upazila,9120,5766,4724,2662,4396,3104,61.3,64.0,58.6,00110
88.0,67.0,XX.0,XXX,XX,02,  Shahjadpur Upazila,30907,24197,16437,11624,14470,12573,56.1,58.6,53.5,00110
88.0,78.0,XX.0,XXX,XX,02,  Sirajganj Sadar Upazila,87358,50827,46138,23493,41220,27334,63.2,66.3,60.1,00110
88.0,94.0,XX.0,XXX,XX,02,  Ullah Para Upazila,25316,15553,13539,7109,11777,8444,61.9,65.6,58.2,00110
81.0,XX.0,XX.0,XXX,XX,02, Rajshahi Zila,481875,254777,258357,119023,223518,135754,65.4,68.5,62.2,00110
81.0,10.0,XX.0,XXX,XX,02,  Bagha Upazila,21263,17690,11174,8382,10089,9308,54.6,57.1,52.0,00110
81.0,12.0,XX.0,XXX,XX,02,  Baghmara Upazila,17036,14816,9478,6597,7558,8219,53.5,59.0,47.9,00110
81.0,25.0,XX.0,XXX,XX,02,  Charghat Upazila,21119,12865,11791,5854,9328,7011,62.1,66.8,57.1,00110
81.0,25.0,XX.0,XXX,XX,02,  Charghat Upazila,21119,12865,11791,5854,9328,7011,62.1,66.8,57.1,00110
81.0,31.0,XX.0,XXX,XX,02,  Durgapur Upazila,12994,10630,7008,4804,5986,5826,55.0,59.3,50.7,00110
81.0,34.0,XX.0,XXX,XX,02,  Godagari Upazila,24225,23637,12349,11676,11876,11961,50.6,51.4,49.8,00110
81.0,53.0,XX.0,XXX,XX,02,  Mohanpur Upazila,9273,7917,4946,3630,4327,4287,53.9,57.7,50.2,00110
81.0,72.0,XX.0,XXX,XX,02,  Paba Upazila,43076,31640,22847,15205,20229,16435,57.7,60.0,55.2,00110
81.0,82.0,XX.0,XXX,XX,02,  Puthia Upazila,10687,7361,5628,3421,5059,3940,59.2,62.2,56.2,00110
81.0,94.0,XX.0,XXX,XX,02,  Tanore Upazila,23030,23284,11943,10929,11087,12355,49.7,52.2,47.3,00110
64.0,XX.0,XX.0,XXX,XX,02, Naogaon Zila,107000,57924,57630,27157,49370,30767,64.9,68.0,61.6,00110
64.0,28.0,XX.0,XXX,XX,02,  Dhamoirhat Upazila,7251,5805,3896,2872,3355,2933,55.5,57.6,53.4,00110
64.0,60.0,XX.0,XXX,XX,02,  Naogaon Sadar Upazila,86423,46290,46525,21578,39898,24712,65.1,68.3,61.8,00110
64.0,75.0,XX.0,XXX,XX,02,  Patnitala Upazila,13326,5829,7209,2707,6117,3122,69.6,72.7,66.2,00110
76.0,XX.0,XX.0,XXX,XX,02, Pabna Zila,215667,120712,112097,58047,103570,62665,64.1,65.9,62.3,00110
76.0,5.0,XX.0,XXX,XX,02,  Atgharia Upazila,6774,5167,3356,2507,3418,2660,56.7,57.2,56.2,00110
76.0,16.0,XX.0,XXX,XX,02,  Bera Upazila,21875,20058,11352,9699,10523,10359,52.2,53.9,50.4,00110
76.0,19.0,XX.0,XXX,XX,02,  Bhangura Upazila,9969,7634,5110,3606,4859,4028,56.6,58.6,54.7,00110
76.0,22.0,XX.0,XXX,XX,02,  Chatmohar Upazila,9672,3001,5019,1341,4653,1660,76.3,78.9,73.7,00110
76.0,33.0,XX.0,XXX,XX,02,  Faridpur Upazila,6730,5287,3431,2462,3299,2825,56.0,58.2,53.9,00110
76.0,39.0,XX.0,XXX,XX,02,  Ishwardi Upazila,37933,20282,19416,9760,18517,10522,65.2,66.5,63.8,00110
76.0,55.0,XX.0,XXX,XX,02,  Pabna Sadar Upazila,97495,30410,51208,14497,46287,15913,76.2,77.9,74.4,00110
76.0,72.0,XX.0,XXX,XX,02,  Santhia Upazila,15676,17021,8312,8375,7364,8646,47.9,49.8,46.0,00110
76.0,83.0,XX.0,XXX,XX,02,  Sujanagar Upazila,9543,11852,4893,5800,4650,6052,44.6,45.8,43.4,00110
70.0,XX.0,XX.0,XXX,XX,02, Chapai Nawabganj Zila,139461,98600,66417,47783,73044,50817,58.6,58.2,59.0,00110
70.0,37.0,XX.0,XXX,XX,02,  Gomastapur Upazila,17057,13139,8541,6430,8516,6709,56.5,57.1,55.9,00110
70.0,56.0,XX.0,XXX,XX,02,  Nachole Upazila,8295,6622,4122,3190,4173,3432,55.6,56.4,54.9,00110
70.0,66.0,XX.0,XXX,XX,02,  Chapai Nawabganj Sadar Upazila,95008,61158,44557,29002,50451,32156,60.8,60.6,61.1,00110
70.0,88.0,XX.0,XXX,XX,02,  Shibganj Upazila,19101,17681,9197,9161,9904,8520,51.9,50.1,53.8,00110
69.0,XX.0,XX.0,XXX,XX,02, Natore Zila,128436,72237,67629,33211,60807,39026,64.0,67.1,60.9,00110
69.0,9.0,XX.0,XXX,XX,02,  Bagatipara Upazila,5494,3346,2826,1441,2668,1905,62.1,66.2,58.3,00110
69.0,15.0,XX.0,XXX,XX,02,  Baraigram Upazila,20374,14097,10496,6551,9878,7546,59.1,61.6,56.7,00110
69.0,41.0,XX.0,XXX,XX,02,  Gurudaspur Upazila,15611,12960,8347,6148,7264,6812,54.6,57.6,51.6,00110
69.0,44.0,XX.0,XXX,XX,02,  Lalpur Upazila,11109,7300,5728,3530,5381,3770,60.3,61.9,58.8,00110
69.0,63.0,XX.0,XXX,XX,02,  Natore Sadar Upazila,59374,22015,31366,9803,28008,12212,73.0,76.2,69.6,00110
69.0,91.0,XX.0,XXX,XX,02,  Singra Upazila,16474,12519,8866,5738,7608,6781,56.8,60.7,52.9,00110
38.0,XX.0,XX.0,XXX,XX,02, Joypurhat Zila,82686,34035,44123,14931,38563,19104,70.8,74.7,66.9,00110
38.0,13.0,XX.0,XXX,XX,02,  Akkelpur Upazila,13383,7779,7067,3478,6316,4301,63.2,67.0,59.5,00110
38.0,47.0,XX.0,XXX,XX,02,  Joypurhat Sadar Upazila,47760,13536,25606,5800,22154,7736,77.9,81.5,74.1,00110
38.0,58.0,XX.0,XXX,XX,02,  Kalai Upazila,7784,6643,4217,2932,3567,3711,54.0,59.0,49.0,00110
38.0,74.0,XX.0,XXX,XX,02,  Panchbibi Upazila,13759,6077,7233,2721,6526,3356,69.4,72.7,66.0,00110
13.0,XX.0,XX.0,XXX,XX,02, Chandpur Zila,225519,121859,111048,58663,114471,63196,64.9,65.4,64.4,00110
13.0,22.0,XX.0,XXX,XX,02,  Chandpur Sadar Upazila,91356,44173,46054,21677,45302,22496,67.4,68.0,66.8,00110
13.0,45.0,XX.0,XXX,XX,02,  Faridganj Upazila,17773,11790,8296,5544,9477,6246,60.1,59.9,60.3,00110
13.0,49.0,XX.0,XXX,XX,02,  Hajiganj Upazila,35743,18268,17704,9048,18039,9220,66.2,66.2,66.2,00110
13.0,58.0,XX.0,XXX,XX,02,  Kachua Upazila,14257,8280,7076,4043,7181,4237,63.3,63.6,62.9,00110
13.0,76.0,XX.0,XXX,XX,02,  Matlab Upazila,31647,18564,14888,8420,16759,10144,63.0,63.9,62.3,00110
13.0,79.0,XX.0,XXX,XX,02,  Matlab Uttar Upazila,18681,12879,9400,6058,9281,6821,59.2,60.8,57.6,00110
13.0,95.0,XX.0,XXX,XX,02,  Shahrasti Upazila,16062,7905,7630,3873,8432,4032,67.0,66.3,67.7,00110
3.0,XX.0,XX.0,XXX,XX,02, Bandarban Zila,33117,19706,19872,9667,13245,10039,62.7,67.3,56.9,00110
3.0,4.0,XX.0,XXX,XX,02,  Alikadam Upazila,728,5,680,1,48,4,99.3,99.9,92.3,00110
3.0,4.0,31.0,XXX,XX,02,  Alikadam Union,728,5,680,1,48,4,99.3,99.9,92.3,00110
3.0,14.0,XX.0,XXX,XX,02,  Bandarban Sadar Upazila,24013,11766,14402,5830,9611,5936,67.1,71.2,61.8,00110
3.0,51.0,XX.0,XXX,XX,02,  Lama Upazila,8022,7934,4447,3835,3575,4099,50.3,53.7,46.6,00110
3.0,91.0,XX.0,XXX,XX,02,  Ruma Upazila,354,1,343,1,11,0,99.7,99.7,100.0,00110
3.0,91.0,76.0,XXX,XX,02,  Ruma Union,354,1,343,1,11,0,99.7,99.7,100.0,00110
19.0,XX.0,XX.0,XXX,XX,02, Comilla Zila,392950,207135,204202,98803,188748,108332,65.5,67.4,63.5,00110
19.0,9.0,XX.0,XXX,XX,02,  Barura Upazila,22014,19654,10768,9726,11246,9928,52.8,52.5,53.1,00110
19.0,27.0,XX.0,XXX,XX,02,  Chandina Upazila,22961,15776,11388,7220,11573,8556,59.3,61.2,57.5,00110
19.0,31.0,XX.0,XXX,XX,02,  Chauddagram Upazila,20185,11832,9955,5670,10230,6162,63.0,63.7,62.4,00110
19.0,33.0,XX.0,XXX,XX,02,  Comilla Sadar Dakshin Upazila,61046,27072,32989,13197,28057,13875,69.3,71.4,66.9,00110
19.0,36.0,XX.0,XXX,XX,02,  Daudkandi Upazila,21983,16316,11172,7662,10811,8654,57.4,59.3,55.5,00110
19.0,40.0,XX.0,XXX,XX,02,  Debidwar Upazila,30490,19830,14588,9070,15902,10760,60.6,61.7,59.6,00110
19.0,54.0,XX.0,XXX,XX,02,  Homna Upazila,11126,12871,5689,5975,5437,6896,46.4,48.8,44.1,00110
19.0,67.0,XX.0,XXX,XX,02,  Comilla Adarsha Sadar Upazila,155589,49651,84059,23815,71530,25836,75.8,77.9,73.5,00110
19.0,72.0,XX.0,XXX,XX,02,  Laksam Upazila,35927,23641,18126,11345,17801,12296,60.3,61.5,59.1,00110
19.0,87.0,XX.0,XXX,XX,02,  Nangalkot Upazila,11629,10492,5468,5123,6161,5369,52.6,51.6,53.4,00110
12.0,XX.0,XX.0,XXX,XX,02, Brahmanbaria Zila,153386,95607,75779,45489,77607,50118,61.6,62.5,60.8,00110
12.0,2.0,XX.0,XXX,XX,02,  Akhaura Upazila,18613,11506,9255,5427,9358,6079,61.8,63.0,60.6,00110
12.0,13.0,XX.0,XXX,XX,02,  Brahmanbaria Sadar Upazila,94231,48504,47114,23292,47117,25212,66.0,66.9,65.1,00110
12.0,63.0,XX.0,XXX,XX,02,  Kasba Upazila,18417,14483,8852,6973,9565,7510,56.0,55.9,56.0,00110
