ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,"Population aged 7+, not attending school and employed-Both","Population aged 7+, not attending school and employed-Male","Population aged 7+, not attending school and employed-Female",Field of Activity-Agriculture-Male,Field of Activity-Agriculture-Female,Field of Activity-Industry-Male,Field of Activity-Industry-Female,Field of Activity-Service-Male,Field of Activity-Service-Female,check_var
6,94,84,XXX,XX,03,  Shikarpur Union,183,156,27,79,0,17,14,60,13,00110
79,14,11,XXX,XX,03,  Bhandaria Union,611,554,57,111,2,28,7,415,48,00110
79,14,71,XXX,XX,03,  Nudmulla Union,151,141,10,54,0,14,2,73,8,00110
79,47,15,XXX,XX,03,  Amrajuri Union,139,127,12,25,4,3,0,99,8,00110
79,47,47,XXX,XX,03,  Kawkhali Union,150,113,37,40,12,3,1,70,24,00110
79,58,60,XXX,XX,03,  Mathbaria Union,215,203,12,111,0,8,0,84,12,00110
79,76,52,XXX,XX,03,  Nazirpur Union,225,214,11,104,1,12,0,98,10,00110
79,87,76,XXX,XX,03,  Sohagdal Union,146,125,21,44,12,32,4,49,5,00110
79,87,85,XXX,XX,03,  Sutiakati Union,317,283,34,74,7,69,12,140,15,00110
79,87,95,XXX,XX,03,  Nesarabad (Swarupkati) Union,64,61,3,13,1,15,0,33,2,00110
79,90,51,XXX,XX,03,  Pattashi Union,228,210,18,127,6,9,0,74,12,00110
9,18,12,XXX,XX,03,  Alinagar Union,78,76,2,51,0,3,0,22,2,00110
9,18,14,XXX,XX,03,  Bapta Union,2518,2421,97,691,13,63,2,1667,82,00110
9,18,36,XXX,XX,03,  Dhania Union,699,675,24,95,0,43,0,537,24,00110
9,21,16,XXX,XX,03,  Bara Manika Union,1030,998,32,803,19,34,6,161,7,00110
9,21,57,XXX,XX,03,  Kutba Union,1390,1337,53,924,30,87,11,326,12,00110
9,25,66,XXX,XX,03,  Jinnaghar Union,2400,2302,98,1648,56,195,16,459,26,00110
9,54,57,XXX,XX,03,  Lalmohan Union,1874,1784,90,1459,48,46,8,279,34,00110
9,65,23,XXX,XX,03,  Hajirhat Union,154,146,8,135,5,9,2,2,1,00110
9,91,57,XXX,XX,03,  Chandpur Union,2875,2747,128,1743,66,644,36,360,26,00110
4,09,13,XXX,XX,03,  Amtali Union,434,409,25,348,7,18,10,43,8,00110
4,19,23,XXX,XX,03,  Bamna Union,296,272,24,146,13,15,2,111,9,00110
4,47,11,XXX,XX,03,  Betagi Union,209,199,10,168,8,23,0,8,2,00110
4,85,23,XXX,XX,03,  Kakchira Union,91,86,5,71,4,12,0,3,1,00110
4,85,35,XXX,XX,03,  Kalmegha Union,186,183,3,143,2,1,0,39,1,00110
4,85,71,XXX,XX,03,  Patharghata Union,25,25,0,25,0,0,0,0,0,00110
52,02,10,XXX,XX,03,  Bhadai Union,2154,1980,174,1814,140,54,5,112,29,00110
52,39,95,XXX,XX,03,  Tushbhandar Union,1895,1661,234,1414,177,167,11,80,46,00110
77,04,67,XXX,XX,03,  Radhanagar Union,647,496,151,180,15,1,0,315,136,00110
77,04,81,XXX,XX,03,  Taria Union,40,39,1,37,1,0,0,2,0,00110
77,25,73,XXX,XX,03,  Maidan Dighi Union,225,187,38,66,7,0,0,121,31,00110
77,34,47,XXX,XX,03,  Debiganj Union,1405,1207,198,458,37,33,1,716,160,00110
77,73,36,XXX,XX,03,  Dhakkamara Union,40,39,1,14,0,1,0,24,1,00110
77,90,81,XXX,XX,03,  Tentulia Union,275,231,44,115,9,93,28,23,7,00110
85,27,31,XXX,XX,03,  Gangachara Union,1571,1364,207,845,99,46,3,473,105,00110
85,58,49,XXX,XX,03,  Durgapur Union,626,532,94,256,36,13,0,263,58,00110
85,73,76,XXX,XX,03,  Pirgachha Union,1320,1227,93,967,45,121,11,139,37,00110
85,76,69,XXX,XX,03,  Pirganj Union,1315,1187,128,618,18,29,11,540,99,00110
85,76,75,XXX,XX,03,  Roypur Union,221,216,5,164,1,3,0,49,4,00110
85,92,71,XXX,XX,03,  Kursha Union,755,695,60,536,16,4,0,155,44,00110
49,06,19,XXX,XX,03,  Bhurungamari Union,3199,2941,258,2090,59,194,13,657,186,00110
49,08,19,XXX,XX,03,  Char Rajibpur Union,2160,2064,96,1787,54,64,4,213,38,00110
49,09,59,XXX,XX,03,  Ramna Union,4118,3695,423,2641,151,73,10,981,262,00110
49,09,83,XXX,XX,03,  Thanahat Union,1797,1716,81,932,29,55,1,729,51,00110
49,18,40,XXX,XX,03,  Phulbari Union,2025,1774,251,1354,124,114,16,306,111,00110
49,52,17,XXX,XX,03,  Belgachha Union,301,234,67,62,16,7,0,165,51,00110
49,77,21,XXX,XX,03,  Chakirpashar Union,640,538,102,289,25,4,1,245,76,00110
49,77,73,XXX,XX,03,  Rajarhat Union,378,343,35,142,4,57,3,144,28,00110
49,79,71,XXX,XX,03,  Raumari Union,3527,3059,468,2478,362,201,13,380,93,00110
32,21,47,XXX,XX,03,  Gazaria Union,960,868,92,302,6,13,7,553,79,00110
32,24,14,XXX,XX,03,  Ballamjhar Union,1017,926,91,480,7,40,4,406,80,00110
32,24,21,XXX,XX,03,  Boali Union,25,17,8,13,6,3,0,1,2,00110
32,24,58,XXX,XX,03,  Kholahati Union,2177,2012,165,670,39,121,2,1221,124,00110
32,24,85,XXX,XX,03,  Mollar Char Union,242,240,2,240,0,0,1,0,1,00110
32,67,85,XXX,XX,03,  Palashbari Union,1757,1594,163,696,48,135,19,763,96,00110
32,82,13,XXX,XX,03,  Banagram Union,1259,1181,78,741,12,9,3,431,63,00110
32,82,60,XXX,XX,03,  Jamalpur Union,502,483,19,396,6,6,1,81,12,00110
32,88,19,XXX,XX,03,  Bonar Para Union,812,735,77,320,8,48,1,367,68,00110
32,88,85,XXX,XX,03,  Saghata Union,914,826,88,450,20,28,0,348,68,00110
32,91,31,XXX,XX,03,  Dahabanda Union,491,480,11,477,9,2,0,1,2,00110
73,12,19,XXX,XX,03,  Dimla Union,2301,2133,168,1558,62,225,12,350,94,00110
73,15,19,XXX,XX,03,  Bhogdabari Union,1070,930,140,717,42,18,0,195,98,00110
73,15,28,XXX,XX,03,  Boragari Union,514,487,27,363,13,60,4,64,10,00110
73,15,38,XXX,XX,03,  Domar Union,1140,1056,84,753,61,85,7,218,16,00110
73,45,51,XXX,XX,03,  Kishoreganj Union,1047,899,148,728,122,91,3,80,23,00110
73,85,23,XXX,XX,03,  Bangalipur Union,287,285,2,253,0,5,0,27,2,00110
94,08,21,XXX,XX,03,  Barabari Union,917,822,95,653,35,8,1,161,59,00110
94,08,73,XXX,XX,03,  Duosuo Union,617,563,54,502,46,46,4,15,4,00110
94,51,81,XXX,XX,03,  Haripur Union,903,839,64,687,38,46,4,106,22,00110
94,94,52,XXX,XX,03,  Jamalpur Union,825,676,149,280,12,3,2,393,135,00110
94,94,58,XXX,XX,03,  Mohammadpur Union,127,119,8,69,5,47,2,3,1,00110
94,94,68,XXX,XX,03,  Rahimanpur Union,208,196,12,32,3,2,1,162,8,00110
27,10,71,XXX,XX,03,  Khanpur Union,60,60,0,41,0,0,0,19,0,00110
27,10,83,XXX,XX,03,  Pali Prayagpur Union,171,159,12,78,1,16,2,65,9,00110
27,17,28,XXX,XX,03,  Biral Union,877,795,82,311,27,46,10,438,45,00110
27,30,13,XXX,XX,03,  Abdulpur Union,810,754,56,565,13,18,0,171,43,00110
27,43,38,XXX,XX,03,  Ghoraghat Union,153,87,66,73,64,2,0,12,2,00110
27,56,31,XXX,XX,03,  Mukundapur Union,780,720,60,443,26,112,11,165,23,00110
27,60,15,XXX,XX,03,  Alokjhari Union,1012,943,69,589,31,35,0,319,38,00110
27,64,69,XXX,XX,03,  Shashara Union,216,202,14,23,0,0,0,179,14,00110
27,64,77,XXX,XX,03,  Sekhpura Union,203,133,70,2,0,0,0,131,70,00110
27,69,17,XXX,XX,03,  Binodnagar Union,544,437,107,185,54,57,20,195,33,00110
27,69,43,XXX,XX,03,  Golapganj Union,223,194,29,126,1,36,25,32,3,00110
27,77,86,XXX,XX,03,  Rampur Union,993,914,79,165,3,13,1,736,75,00110
10,06,13,XXX,XX,03,  Adam Dighi Union,926,838,88,398,9,82,5,358,74,00110
10,27,38,XXX,XX,03,  Dhunat Union,1656,1491,165,992,13,216,117,283,35,00110
10,88,28,XXX,XX,03,  Garidaha Union,1351,1216,135,649,49,418,56,149,30,00110
10,88,57,XXX,XX,03,  Kusumbi Union,201,180,21,77,5,6,2,97,14,00110
10,88,77,XXX,XX,03,  Shah-Bandegi Union,2418,1977,441,255,2,539,33,1183,406,00110
88,27,27,XXX,XX,03,  Khas Kaulia Union,2637,2515,122,2145,74,128,8,242,40,00110
88,27,47,XXX,XX,03,  Sadia Chandpur Union,319,296,23,51,3,170,4,75,16,00110
88,44,38,XXX,XX,03,  Jamtail Union,1298,1209,89,381,2,194,13,634,74,00110
88,50,25,XXX,XX,03,  Gandail Union,51,48,3,42,3,4,0,2,0,00110
88,50,77,XXX,XX,03,  Sonamukhi Union,590,578,12,511,4,7,0,60,8,00110
88,61,38,XXX,XX,03,  Dhangara Union,186,171,15,111,1,11,3,49,11,00110
88,67,14,XXX,XX,03,  Gala Union,1151,1108,43,967,20,73,4,68,19,00110
88,78,16,XXX,XX,03,  Baghbati Union,1224,1205,19,352,0,658,8,195,11,00110
88,89,84,XXX,XX,03,  Tarash Union,839,763,76,486,25,89,3,188,48,00110
81,12,50,XXX,XX,03,  Ganipur Union,273,270,3,253,2,7,0,10,1,00110
81,31,11,XXX,XX,03,  Deluabari Union,438,296,142,283,3,8,0,5,139,00110
81,34,57,XXX,XX,03,  Matikata Union,463,442,21,388,15,23,2,31,4,00110
81,53,13,XXX,XX,03,  Bakshimail Union,800,775,25,636,7,22,1,117,17,00110
81,53,81,XXX,XX,03,  Royghati Union,67,66,1,64,1,0,0,2,0,00110
81,82,13,XXX,XX,03,  Baneshwar Union,387,343,44,37,2,2,2,304,40,00110
81,82,81,XXX,XX,03,  Silmaria Union,312,310,2,288,0,0,0,22,2,00110
64,03,10,XXX,XX,03,  Ahsanganj Union,363,292,71,167,19,0,0,125,52,00110
64,03,21,XXX,XX,03,  Bhopara Union,580,524,56,138,6,0,0,386,50,00110
64,03,73,XXX,XX,03,  Panchupur Union,573,510,63,122,14,32,0,356,49,00110
64,06,21,XXX,XX,03,  Badalgachhi Union,511,464,47,273,6,34,3,157,38,00110
64,28,63,XXX,XX,03,  Jahanpur Union,483,411,72,273,47,24,1,114,24,00110
64,47,54,XXX,XX,03,  Kusumba Union,751,694,57,478,9,38,8,178,40,00110
64,47,67,XXX,XX,03,  Manda Union,360,325,35,216,10,35,2,74,23,00110
64,47,88,XXX,XX,03,  Prasadpur Union,128,125,3,103,1,16,0,6,2,00110
64,50,57,XXX,XX,03,  Khajur Union,201,172,29,78,1,68,18,26,10,00110
64,50,66,XXX,XX,03,  Mahadebpur Union,845,686,159,367,22,135,50,184,87,00110
64,69,52,XXX,XX,03,  Niamatpur Union,467,323,144,147,14,9,1,167,129,00110
64,79,55,XXX,XX,03,  Nithpur Union,1839,1791,48,1621,36,143,9,27,3,00110
64,85,84,XXX,XX,03,  Raninagar Union,848,750,98,324,20,22,12,404,66,00110
64,86,71,XXX,XX,03,  Sapahar Union,853,760,93,314,28,24,6,422,59,00110
64,86,79,XXX,XX,03,  Shiranti Union,77,75,2,75,1,0,1,0,0,00110
70,18,18,XXX,XX,03,  Bholahat Union,1349,1284,65,865,13,33,12,386,40,00110
70,37,42,XXX,XX,03,  Chowdala Union,1771,1691,80,1245,18,120,20,326,42,00110
70,37,52,XXX,XX,03,  Gomastapur Union,1670,1552,118,992,16,33,4,527,98,00110
70,88,41,XXX,XX,03,  Kansat Union,870,828,42,342,1,134,2,352,39,00110
38,61,47,XXX,XX,03,  Khetlal Union,1424,1370,54,898,5,15,2,457,47,00110
13,22,94,XXX,XX,03,  Tarpur Chandi Union,864,838,26,334,3,71,4,433,19,00110
13,47,23,XXX,XX,03,  Dakshin Algi Durgapur Union,626,604,22,480,7,25,0,99,15,00110
13,49,35,XXX,XX,03,  Hajiganj Union,232,229,3,181,2,9,0,39,1,00110
3,04,31,XXX,XX,03,  Alikadam Union,1609,1370,239,968,172,83,6,319,61,00110
3,73,76,XXX,XX,03,  Naikhongchhari Union,2496,2264,232,1831,175,142,24,291,33,00110
3,89,57,XXX,XX,03,  Rowangchhari Union,902,653,249,608,232,8,0,37,17,00110
3,95,57,XXX,XX,03,  Thanchi Union,706,450,256,368,248,4,6,78,2,00110
19,15,18,XXX,XX,03,  Brahman Para Union,473,410,63,247,17,7,3,156,43,00110
19,18,31,XXX,XX,03,  Burichang Union,775,706,69,323,3,114,26,269,40,00110
19,27,20,XXX,XX,03,  Mahichal Union,90,88,2,77,1,0,0,11,1,00110
19,33,35,XXX,XX,03,  Bijoypur Union,1104,1068,36,891,15,70,4,107,17,00110
19,67,68,XXX,XX,03,  Kalir Bazar Union,358,348,10,267,1,18,1,63,8,00110
19,67,90,XXX,XX,03,  Panchthubi Union,80,80,0,44,0,12,0,24,0,00110
19,67,94,XXX,XX,03,  Uttar Durgapur Union,4211,3781,430,908,30,442,54,2431,346,00110
19,74,13,XXX,XX,03,  Baishgaon Union,38,37,1,33,0,2,0,2,1,00110
19,75,43,XXX,XX,03,  Gobindapur Union,659,591,68,349,7,41,0,201,61,00110
19,81,54,XXX,XX,03,  Muradnagar Union,1545,1400,145,845,70,109,0,446,75,00110
19,81,63,XXX,XX,03,  Paschim Nabipur Union,1489,1375,114,453,16,87,5,835,93,00110
19,94,67,XXX,XX,03,  Karikandi Union,282,268,14,139,4,27,2,102,8,00110
12,04,94,XXX,XX,03,  Banchharampur Union,1909,1772,137,574,13,242,15,956,109,00110
12,07,32,XXX,XX,03,  Chandura Union,860,817,43,615,16,50,0,152,27,00110
12,07,91,XXX,XX,03,  Uttar Ichhapur Union,187,166,21,131,3,0,0,35,18,00110
12,13,50,XXX,XX,03,  Shuhilpur Union,1054,979,75,183,0,41,0,755,75,00110
12,13,93,XXX,XX,03,  Uttar Natai Union,973,878,95,122,7,42,6,714,82,00110
12,33,12,XXX,XX,03,  Araisidha Union,246,244,2,54,0,97,0,93,2,00110
12,33,14,XXX,XX,03,  Ashugang Union,3168,2385,783,440,10,854,436,1091,337,00110
12,33,38,XXX,XX,03,  Durgapur Union,1142,865,277,166,0,281,238,418,39,00110
12,90,87,XXX,XX,03,  Nasirnagar Union,1567,1427,140,878,40,122,31,427,69,00110
12,94,76,XXX,XX,03,  Sarail Union,4452,4098,354,1593,118,143,16,2362,220,00110
51,33,47,XXX,XX,03,  Char Falcon Union,1378,1256,122,1039,57,83,24,134,41,00110
