ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Area in Acres,Total Households,Population-Total,Population-In Households,check_var
18,31,71,XXX,XX,XX,  Kuralgachhi Union Total,7983,7335,29643,29642,00111
18,31,83,XXX,XX,XX,  Natipota Union Total,11302,8832,37057,37057,00111
18,55,01,XXX,XX,XX,  Ward No-01 Total,0,328,1365,1365,00111
18,55,02,XXX,XX,XX,  Ward No-02 Total,0,680,2755,2755,00111
18,55,03,XXX,XX,XX,  Ward No-03 Total,0,778,3019,3019,00111
18,55,04,XXX,XX,XX,  Ward No-04 Total,0,733,2848,2848,00111
18,55,05,XXX,XX,XX,  Ward No-05 Total,0,743,2731,2731,00111
18,55,06,XXX,XX,XX,  Ward No-06 Total,0,753,2472,2472,00111
18,55,07,XXX,XX,XX,  Ward No-07 Total,0,667,2616,2616,00111
18,55,08,XXX,XX,XX,  Ward No-08 Total,0,1169,4475,4454,00111
18,55,09,XXX,XX,XX,  Ward No-09 Total,0,848,3237,3237,00111
18,55,19,XXX,XX,XX,  Andulbaria Union Total,8914,6667,27397,27397,00111
18,55,38,XXX,XX,XX,Banka Union Total,15970,11772,48391,48391,00111
18,55,57,XXX,XX,XX,  Simanta Union Total,9263,7203,29268,29268,00111
18,55,76,XXX,XX,XX,Uthali Union Total,13605,11844,49007,49006,00111
65,28,01,XXX,XX,XX,  Ward No-01 Total,492,1906,1906,0,00111
65,28,02,XXX,XX,XX,  Ward No-02 Total,738,3020,3014,6,00111
65,28,03,XXX,XX,XX,  Ward No-03 Total,516,2267,2267,0,00111
65,28,04,XXX,XX,XX,  Ward No-04 Total,435,1842,1842,0,00111
65,28,05,XXX,XX,XX,  Ward No-05 Total,434,2077,2077,0,00111
65,28,06,XXX,XX,XX,  Ward No-06 Total,424,1859,1859,0,00111
65,28,07,XXX,XX,XX,  Ward No-07 Total,416,1962,1962,0,00111
65,28,08,XXX,XX,XX,  Ward No-08 Total,519,2329,2326,3,00111
65,28,09,XXX,XX,XX,  Ward No-09 Total,511,2416,2412,4,00111
65,28,13,XXX,XX,XX,  Babra Hachla Union Total,3402,2506,10329,10323,00111
65,28,14,XXX,XX,XX,Boranal Eliasabad Union Total,3280,1489,6381,6381,00111
65,28,15,XXX,XX,XX,  Bauisena Union Total,6868,4234,18961,18961,00111
65,28,23,XXX,XX,XX,  Hamidpur Union Total,6638,3317,15074,15074,00111
65,28,31,XXX,XX,XX,  Chanchari Union Total,5146,3238,15317,15317,00111
65,28,39,XXX,XX,XX,  Joynagar Union Total,5635,3151,14092,14092,00111
65,28,47,XXX,XX,XX,  Kalabaria Union Total,6190,3562,16066,16066,00111
65,28,63,XXX,XX,XX,  Khasial Union Total,4662,3206,14006,14006,00111
65,28,71,XXX,XX,XX,Mauli Union Total,4799,3659,16449,16449,00111
65,28,79,XXX,XX,XX,  Pahardanga Union Total,3943,2715,12653,12644,00111
65,28,87,XXX,XX,XX,Peruli Union Total,8175,5994,28297,28295,00111
65,28,94,XXX,XX,XX,  Purulia Union Total,6716,4411,20431,20430,00111
65,28,95,XXX,XX,XX,Salamabad Union Total,4621,2612,12468,12455,00111
65,52,01,XXX,XX,XX,  Ward No-01 Total,572,2467,2467,0,00111
65,52,02,XXX,XX,XX,  Ward No-02 Total,763,3133,3133,0,00111
65,52,03,XXX,XX,XX,  Ward No-03 Total,590,2486,2486,0,00111
65,52,04,XXX,XX,XX,  Ward No-04 Total,850,3595,3595,0,00111
65,52,05,XXX,XX,XX,  Ward No-05 Total,587,2587,2587,0,00111
65,52,06,XXX,XX,XX,  Ward No-06 Total,660,2925,2916,9,00111
65,52,07,XXX,XX,XX,  Ward No-07 Total,752,3174,3174,0,00111
65,52,08,XXX,XX,XX,  Ward No-08 Total,686,2961,2961,0,00111
65,52,09,XXX,XX,XX,  Ward No-09 Total,459,1962,1962,0,00111
65,52,15,XXX,XX,XX,  Dighalia Union Total,6907,5026,22460,22460,00111
65,52,18,XXX,XX,XX,  Itna Union Total,7386,4983,22276,22276,00111
65,52,23,XXX,XX,XX,  Joypur Union Total,4799,4513,20119,20119,00111
65,52,31,XXX,XX,XX,  Kashipur Union Total,4807,3128,13841,13836,00111
65,52,39,XXX,XX,XX,  Kotakul Union Total,4125,2690,12141,12141,00111
65,52,47,XXX,XX,XX,  Lahuria Union Total,7116,5359,25044,24993,00111
65,52,55,XXX,XX,XX,  Lakshmipasha Union Total,3746,2096,9164,9164,00111
65,52,63,XXX,XX,XX,  Lohagara Union Total,1415,1780,7571,7571,00111
65,52,71,XXX,XX,XX,  Mallikpur Union Total,4354,3491,15288,15288,00111
65,52,79,XXX,XX,XX,  Naldi Union Total,9853,4544,20760,20760,00111
65,52,87,XXX,XX,XX,  Noagram Union Total,6250,3638,16704,16694,00111
