ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 3-5 years-Attending school-Male,Population aged 3-5 years-Attending school-Female,Population aged 3-5 years-Not attending school-Male,Population aged 3-5 years-Not attending school-Female,Population aged 6-10 years-Attending school-Male,Population aged 6-10 years-Attending school-Female,Population aged 6-10 years-Not attending school-Male,Population aged 6-10 years-Not attending school-Female,Population aged 11-14 years-Attending school-Male,Population aged 11-14 years-Attending school-Female,Population aged 11-14 years-Not attending school-Male,Population aged 11-14 years-Not attending school-Female,check_var
32,82,13,XXX,XX,03,  Banagram Union,27,33,293,286,452,442,190,164,306,311,107,55,00110
32,82,60,XXX,XX,03,  Jamalpur Union,3,4,96,89,140,135,42,25,83,72,32,23,00110
32,88,19,XXX,XX,03,  Bonar Para Union,33,35,297,303,522,469,119,155,366,395,66,40,00110
32,88,85,XXX,XX,03,  Saghata Union,11,18,230,174,307,298,104,67,236,202,49,23,00110
32,91,31,XXX,XX,03,  Dahabanda Union,22,14,128,108,171,159,66,76,118,111,30,34,00110
73,12,19,XXX,XX,03,  Dimla Union,44,60,729,684,1170,1048,272,218,680,746,199,121,00110
73,15,19,XXX,XX,03,  Bhogdabari Union,29,9,361,332,533,572,158,111,313,331,107,67,00110
73,15,28,XXX,XX,03,  Boragari Union,17,23,233,221,321,297,110,99,201,237,72,28,00110
73,15,38,XXX,XX,03,  Domar Union,36,34,326,336,487,504,93,76,286,293,85,45,00110
73,45,51,XXX,XX,03,  Kishoreganj Union,32,34,307,302,427,395,157,125,290,295,71,56,00110
73,85,23,XXX,XX,03,  Bangalipur Union,4,9,106,79,185,173,30,24,114,101,19,12,00110
94,08,21,XXX,XX,03,  Barabari Union,20,19,292,278,353,325,167,148,281,260,43,42,00110
94,08,73,XXX,XX,03,  Duosuo Union,5,12,272,267,432,343,113,95,265,245,44,40,00110
94,51,81,XXX,XX,03,  Haripur Union,13,7,241,240,412,366,99,86,291,293,64,30,00110
94,94,52,XXX,XX,03,  Jamalpur Union,27,19,319,269,413,388,105,112,366,346,45,38,00110
94,94,58,XXX,XX,03,  Mohammadpur Union,3,4,43,51,62,67,11,11,35,45,7,12,00110
94,94,68,XXX,XX,03,  Rahimanpur Union,32,31,81,62,146,140,35,23,112,121,17,9,00110
27,10,71,XXX,XX,03,  Khanpur Union,1,0,19,24,45,35,7,3,22,17,2,1,00110
27,10,83,XXX,XX,03,  Pali Prayagpur Union,11,7,42,32,74,69,17,20,25,46,16,6,00110
27,17,28,XXX,XX,03,  Biral Union,43,44,262,247,455,462,90,89,306,323,85,42,00110
27,30,13,XXX,XX,03,  Abdulpur Union,51,28,205,264,484,412,58,68,570,368,61,31,00110
27,43,38,XXX,XX,03,  Ghoraghat Union,9,6,22,21,71,54,3,6,44,38,6,2,00110
