ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Households-Total,Households-General,Households-Institutional,Households-Others,Population-Both,Population-Male,Population-Female,Sex Ratio,check_var
47,53,22,XXX,XX,XX,  Dakshin Bedkashi Union Total,3881,3875,1,5,16755,8370,8385.0,100.0,00111
47,53,55,XXX,XX,XX,Koyra Union Total,7788,7761,2,25,33230,16327,16903.0,97.0,00111
47,53,72,XXX,XX,XX,  Maharajpur Union Total,7156,7148,0,8,31068,14994,16074.0,93.0,00111
47,53,78,XXX,XX,XX,  Maheshwaripur Union Total,6911,6904,0,7,29992,14998,14994.0,100.0,00111
47,53,94,XXX,XX,XX,  Uttar Bedkashi Union Total,3673,3663,1,9,15225,7512,7713.0,97.0,00111
47,64,01,XXX,XX,XX,  Ward No-01 Total,254,254,0,0,1099,553,546.0,101.0,00111
47,64,02,XXX,XX,XX,  Ward No-02 Total,265,265,0,0,1060,554,506.0,109.0,00111
47,64,03,XXX,XX,XX,  Ward No-03 Total,310,309,0,1,1290,644,646.0,100.0,00111
47,64,04,XXX,XX,XX,  Ward No-04 Total,612,610,0,2,2661,1373,1288.0,107.0,00111
47,64,05,XXX,XX,XX,  Ward No-05 Total,686,682,1,3,2856,1432,1424.0,101.0,00111
47,64,06,XXX,XX,XX,  Ward No-06 Total,495,480,0,15,1989,1015,974.0,104.0,00111
47,64,07,XXX,XX,XX,  Ward No-07 Total,409,407,1,1,1796,889,907.0,98.0,00111
47,64,08,XXX,XX,XX,  Ward No-08 Total,268,260,4,4,1134,641,493.0,130.0,00111
47,64,09,XXX,XX,XX,  Ward No-09 Total,489,477,5,7,2132,1103,1029.0,107.0,00111
47,64,16,XXX,XX,XX,  Chandkhali Union Total,8963,8939,9,15,37734,18612,19122.0,97.0,00111
47,64,27,XXX,XX,XX,  Deluti Union Total,3817,3799,1,17,15554,7746,7808.0,99.0,00111
47,64,33,XXX,XX,XX,  Gadaipur Union Total,4802,4798,3,1,19669,9788,9881.0,99.0,00111
47,64,39,XXX,XX,XX,  Garuikhali Union Total,5620,5606,2,12,22805,11281,11524.0,98.0,00111
47,64,44,XXX,XX,XX,  Haridhali Union Total,5855,5852,1,2,23415,11730,11685.0,100.0,00111
47,64,50,XXX,XX,XX,  Kapilmuni Union Total,8230,8219,2,9,33011,16354,16657.0,98.0,00111
47,64,61,XXX,XX,XX,  Laskar Union Total,4590,4577,1,12,20463,10314,10149.0,102.0,00111
47,64,67,XXX,XX,XX,  Lata Union Total,2636,2617,1,18,10856,5643,5213.0,108.0,00111
47,64,83,XXX,XX,XX,  Raruli Union Total,6500,6492,2,6,26152,13059,13093.0,100.0,00111
