ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,All ages,Percentage of population in the age group 0-4,Percentage of population in the age group 5-9,Percentage of population in the age group 10-14,Percentage of population in the age group 15-19,Percentage of population in the age group 20-24,Percentage of population in the age group 25-29,Percentage of population in the age group 30-49,Percentage of population in the age group 50-59,Percentage of population in the age group 60-64,Percentage of population in the age group 65+,check_var
41,XX.0,XX.0,XXX,XX,03, Jessore Zila,56982,8.4,10.3,10.8,9.4,9.4,10.1,27.9,6.6,2.6,4.5,00110
41,23.0,XX.0,XXX,XX,03,  Jhikargachha Upazila,8665,8.5,10.5,10.1,9.0,8.7,10.0,28.5,6.7,2.9,5.1,00110
41,23.0,25.0,XXX,XX,03,  Bankra Union,2329,7.6,11.9,9.8,9.2,8.2,11.1,29.6,6.1,2.6,4.0,00110
41,23.0,35.0,XXX,XX,03,  Gadkhali Union,3350,8.7,10.6,10.2,9.0,8.6,9.0,27.8,7.7,3.3,5.2,00110
41,23.0,47.0,XXX,XX,03,  Jhikargachha Union,1567,9.6,9.7,9.8,8.2,10.1,9.1,28.6,6.1,3.5,5.2,00110
41,23.0,71.0,XXX,XX,03,  Panisara Union,1419,8.5,8.9,10.6,9.4,8.2,11.6,28.2,6.1,2.0,6.5,00110
41,38.0,XX.0,XXX,XX,03,  Keshabpur Upazila,7551,8.9,11.6,10.9,7.8,8.7,9.1,27.4,6.6,2.9,6.1,00110
41,38.0,28.0,XXX,XX,03,  Keshabpur Union,5839,9.0,11.8,10.7,8.0,8.4,9.3,27.2,6.5,2.8,6.3,00110
41,38.0,38.0,XXX,XX,03,  Majidpur Union,1712,8.5,10.9,11.6,7.1,9.7,8.5,28.0,7.0,3.2,5.5,00110
41,47.0,XX.0,XXX,XX,03,  Jessore Sadar Upazila,35682,8.4,10.0,11.0,9.7,9.7,10.3,27.8,6.5,2.5,4.1,00110
41,47.0,23.0,XXX,XX,03,  Chanchra Union,9791,9.0,9.8,10.8,9.1,9.8,10.6,26.9,6.7,2.7,4.5,00110
41,47.0,41.0,XXX,XX,03,  Fathehpur Union,9345,9.3,10.8,11.8,8.6,10.1,11.3,27.6,5.3,1.9,3.3,00110
41,90.0,XX.0,XXX,XX,03,  Sharsha Upazila,5084,8.2,9.7,10.8,9.9,9.6,10.4,28.3,6.6,2.2,4.3,00110
41,90.0,86.0,XXX,XX,03,  Sharsha Union,5084,8.2,9.7,10.8,9.9,9.6,10.4,28.3,6.6,2.2,4.3,00110
01,XX.0,XX.0,XXX,XX,03, Bagerhat Zila,84680,9.5,11.7,11.9,8.8,8.2,8.9,25.7,6.9,3.0,5.4,00110
01,14.0,XX.0,XXX,XX,03,  Chitalmari Upazila,1272,10.1,12.6,10.9,7.3,7.4,9.2,30.2,5.7,2.8,3.9,00110
01,14.0,31.0,XXX,XX,03,  Chitalmari Union,1272,10.1,12.6,10.9,7.3,7.4,9.2,30.2,5.7,2.8,3.9,00110
01,34.0,XX.0,XXX,XX,03,  Fakirhat Upazila,26981,8.9,10.4,10.8,8.6,8.7,9.6,27.8,7.2,2.9,5.1,00110
01,34.0,10.0,XXX,XX,03,  Bahirdia Mansa Union,10299,9.1,10.2,10.5,8.1,8.5,9.9,27.4,7.6,3.2,5.4,00110
01,34.0,31.0,XXX,XX,03,  Fakirhat Union,7387,8.9,10.4,10.4,9.0,9.4,9.9,28.9,6.3,2.4,4.4,00110
01,34.0,52.0,XXX,XX,03,  Mulghar Union,4924,8.4,11.5,11.5,8.9,8.2,8.7,28.5,6.5,3.1,4.8,00110
01,34.0,63.0,XXX,XX,03,  Naldha Maubhog Union,4371,8.6,9.4,11.7,8.6,8.1,9.3,26.2,8.9,3.0,6.2,00110
01,38.0,XX.0,XXX,XX,03,  Kachua Upazila,9473,8.9,11.2,11.1,8.8,8.2,9.0,26.3,7.6,3.0,5.8,00110
01,38.0,57.0,XXX,XX,03,  Kachua Union,9473,8.9,11.2,11.1,8.8,8.2,9.0,26.3,7.6,3.0,5.8,00110
01,56.0,XX.0,XXX,XX,03,  Mollahat Upazila,12874,10.7,13.1,14.1,10.3,8.2,7.5,22.6,5.9,2.6,4.9,00110
01,56.0,95.0,XXX,XX,03,  Udaypur Union,12874,10.7,13.1,14.1,10.3,8.2,7.5,22.6,5.9,2.6,4.9,00110
01,60.0,XX.0,XXX,XX,03,  Morrelganj Upazila,5389,10.0,11.5,11.9,7.7,7.9,9.4,24.7,7.1,3.5,6.3,00110
01,60.0,23.0,XXX,XX,03,  Baraikhali Union,5389,10.0,11.5,11.9,7.7,7.9,9.4,24.7,7.1,3.5,6.3,00110
01,73.0,XX.0,XXX,XX,03,  Rampal Upazila,1720,7.4,9.0,11.6,6.7,7.0,10.4,31.5,7.4,3.0,6.0,00110
01,73.0,83.0,XXX,XX,03,  Rampal Union,1720,7.4,9.0,11.6,6.7,7.0,10.4,31.5,7.4,3.0,6.0,00110
01,77.0,XX.0,XXX,XX,03,  Sarankhola Upazila,26971,9.8,12.8,12.2,8.7,7.8,8.7,24.5,6.8,3.1,5.7,00110
01,77.0,38.0,XXX,XX,03,  Khontakata Union,11628,9.7,13.9,12.0,8.3,7.3,8.1,23.7,7.2,3.5,6.3,00110
01,77.0,57.0,XXX,XX,03,  Royenda Union,15343,9.9,11.9,12.3,8.9,8.2,9.2,25.1,6.5,2.8,5.1,00110
55,XX.0,XX.0,XXX,XX,03, Magura Zila,22059,9.5,11.7,12.1,9.2,8.1,8.6,26.5,7.0,2.6,4.7,00110
55,66.0,XX.0,XXX,XX,03,  Mohammadpur Upazila,10010,10.0,12.6,12.9,9.5,8.1,8.2,25.0,6.5,2.7,4.6,00110
55,66.0,52.0,XXX,XX,03,  Mohammadpur Union,10010,10.0,12.6,12.9,9.5,8.1,8.2,25.0,6.5,2.7,4.6,00110
55,85.0,XX.0,XXX,XX,03,  Shalikha Upazila,7155,9.3,10.5,12.1,9.1,8.1,9.3,27.6,7.2,2.3,4.6,00110
55,85.0,11.0,XXX,XX,03,  Arpara Union,6878,9.4,10.6,12.1,9.1,8.2,9.3,27.5,7.0,2.3,4.4,00110
55,85.0,59.0,XXX,XX,03,  Shalikha Union,277,6.9,7.2,12.6,7.2,5.1,7.9,29.6,12.6,2.2,8.7,00110
55,95.0,XX.0,XXX,XX,03,  Sreepur Upazila,4894,9.1,11.5,10.5,8.9,8.0,8.3,27.8,7.8,2.9,5.3,00110
55,95.0,84.0,XXX,XX,03,  Sreepur Union,4894,9.1,11.5,10.5,8.9,8.0,8.3,27.8,7.8,2.9,5.3,00110
50,XX.0,XX.0,XXX,XX,03, Kushtia Zila,48476,8.8,10.3,10.6,8.7,9.0,9.7,27.7,7.3,3.1,4.8,00110
50,15.0,XX.0,XXX,XX,03,  Bheramara Upazila,8623,9.0,11.0,10.7,8.7,9.3,9.8,26.2,7.5,2.8,5.0,00110
50,15.0,27.0,XXX,XX,03,  Bahir Char Union,4537,8.6,11.2,10.7,9.1,8.8,10.1,25.9,8.1,2.4,5.2,00110
50,15.0,40.0,XXX,XX,03,  Chandgram Union,4086,9.5,10.7,10.7,8.2,9.9,9.4,26.6,6.9,3.3,4.8,00110
50,39.0,XX.0,XXX,XX,03,  Daulatpur Upazila,19446,8.7,10.2,10.9,8.5,9.0,9.5,27.5,7.2,3.5,4.9,00110
50,39.0,33.0,XXX,XX,03,  Daulatpur Union,7638,9.4,9.8,9.9,7.9,9.1,9.8,28.3,7.0,3.2,5.6,00110
50,39.0,61.0,XXX,XX,03,  Mathurapur Union,11808,8.3,10.5,11.6,8.9,9.0,9.3,27.0,7.3,3.7,4.4,00110
