ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Area in Acres,Total Households,Population-Total,Population-In Households,check_var
32,82,XX,XXX,XX,01,  Sadullapur Upazila,72103,275135,275134,1,01110
32,88,XX,XXX,XX,01,  Saghata Upazila,65037,251936,251935,1,01110
32,91,XX,XXX,XX,01,  Sundarganj Upazila,116940,441134,441091,43,01110
73,12,XX,XXX,XX,01,  Dimla Upazila,59102,263719,263719,0,01110
73,15,XX,XXX,XX,01,  Domar Upazila,48789,209256,209254,2,01110
73,36,XX,XXX,XX,01,  Jaldhaka Upazila,68787,294461,294449,12,01110
73,45,XX,XXX,XX,01,  Kishoreganj Upazila,63456,252625,252620,5,01110
73,64,XX,XXX,XX,01,  Nilphamari Sadar Upazila,87640,389776,389768,8,01110
73,85,XX,XXX,XX,01,  Saidpur Upazila,31151,134420,134410,10,01110
94,08,XX,XXX,XX,01,  Baliadangi Upazila,41757,179703,179693,10,01110
94,51,XX,XXX,XX,01,  Haripur Upazila,30930,140659,140645,14,01110
94,82,XX,XXX,XX,01,  Pirganj Upazila,51758,215835,215835,0,01110
94,86,XX,XXX,XX,01,  Ranisankail Upazila,47175,204522,204457,65,01110
94,94,XX,XXX,XX,01,  Thakurgaon Sadar Upazila,112389,488014,487985,29,01110
27,10,XX,XXX,XX,01,  Birampur Upazila,30777,123267,123257,10,01110
27,12,XX,XXX,XX,01,  Birganj Upazila,69360,297786,297778,8,01110
27,17,XX,XXX,XX,01,  Biral Upazila,59245,248866,248724,142,01110
27,21,XX,XXX,XX,01,  Bochaganj Upazila,32118,132714,132660,54,01110
27,30,XX,XXX,XX,01,  Chirirbandar Upazila,66508,283817,283776,41,01110
27,38,XX,XXX,XX,01,  Fulbari Upazila,34967,141237,141131,106,01110
27,43,XX,XXX,XX,01,  Ghoraghat Upazila,24298,94186,94098,88,01110
27,47,XX,XXX,XX,01,  Hakimpur Upazila,16216,64188,64177,11,01110
27,56,XX,XXX,XX,01,  Kaharole Upazila,35027,147077,147077,0,01110
27,60,XX,XXX,XX,01,  Khansama Upazila,37320,162791,162783,8,01110
27,64,XX,XXX,XX,01,  Dinajpur Sadar Upazila,69745,293268,293262,6,01110
27,69,XX,XXX,XX,01,  Nawabganj Upazila,56084,222112,222044,68,01110
27,77,XX,XXX,XX,01,  Parbatipur Upazila,78794,325120,325036,84,01110
10,06,XX,XXX,XX,01,  Adamdighi Upazila,39482,155240,155226,14,01110
10,20,XX,XXX,XX,01,  Bogra Sadar Upazila,50611,204617,204252,365,01110
10,27,XX,XXX,XX,01,  Dhunat Upazila,69291,269731,269731,0,01110
10,33,XX,XXX,XX,01,  Dhupchanchia Upazila,39989,154272,154242,30,01110
10,40,XX,XXX,XX,01,  Gabtali Upazila,77918,298133,298121,12,01110
10,54,XX,XXX,XX,01,  Kahaloo Upazila,54625,208489,208482,7,01110
10,67,XX,XXX,XX,01,  Nandigram Upazila,41325,162306,162295,11,01110
10,81,XX,XXX,XX,01,  Sariakandi Upazila,70545,252176,252171,5,01110
10,85,XX,XXX,XX,01,  Shajahanpur Upazila,59231,227664,227600,64,01110
10,88,XX,XXX,XX,01,  Sherpur Upazila,69280,278743,278671,72,01110
10,94,XX,XXX,XX,01,  Shibganj Upazila,93666,357057,356940,117,01110
10,95,XX,XXX,XX,01,  Sonatola Upazila,42055,162058,162015,43,01110
88,11,XX,XXX,XX,01,  Belkuchi Upazila,58221,277471,277407,64,01110
88,27,XX,XXX,XX,01,  Chauhali Upazila,34329,138895,138895,0,01110
88,44,XX,XXX,XX,01,  Kamarkhanda Upazila,29590,128732,128648,84,01110
88,50,XX,XXX,XX,01,  Kazipur Upazila,65322,258139,258036,103,01110
88,61,XX,XXX,XX,01,  Royganj Upazila,72396,298776,298759,17,01110
88,67,XX,XXX,XX,01,  Shahjadpur Upazila,107713,489709,489558,151,01110
88,78,XX,XXX,XX,01,  Sirajganj Sadar Upazila,88043,387955,387934,21,01110
88,89,XX,XXX,XX,01,  Tarash Upazila,46845,188772,188697,75,01110
88,94,XX,XXX,XX,01,  Ullah Para Upazila,113338,492463,492193,270,01110
81,10,XX,XXX,XX,01,  Bagha Upazila,35608,140010,140006,4,01110
81,12,XX,XXX,XX,01,  Baghmara Upazila,84447,316450,316420,30,01110
81,25,XX,XXX,XX,01,  Charghat Upazila,42678,168379,168367,12,01110
81,31,XX,XXX,XX,01,  Durgapur Upazila,41077,157726,157718,8,01110
81,34,XX,XXX,XX,01,  Godagari Upazila,59077,269748,269656,92,01110
81,53,XX,XXX,XX,01,  Mohanpur Upazila,36213,140161,140161,0,01110
81,72,XX,XXX,XX,01,  Paba Upazila,55624,228464,228455,9,01110
81,82,XX,XXX,XX,01,  Puthia Upazila,46412,181729,181653,76,01110
81,94,XX,XXX,XX,01,  Tanore Upazila,34561,137911,137884,27,01110
64,03,XX,XXX,XX,01,  Atrai Upazila,42528,180054,180054,0,01110
64,06,XX,XXX,XX,01,  Badalgachhi Upazila,52296,194985,194965,20,01110
64,28,XX,XXX,XX,01,  Dhamoirhat Upazila,44511,166961,166951,10,01110
64,47,XX,XXX,XX,01,  Manda Upazila,93965,351387,351351,36,01110
64,50,XX,XXX,XX,01,  Mahadebpur Upazila,72219,277233,277205,28,01110
64,60,XX,XXX,XX,01,  Naogaon Sadar Upazila,64944,254599,254595,4,01110
64,69,XX,XXX,XX,01,  Niamatpur Upazila,60276,242398,242371,27,01110
64,75,XX,XXX,XX,01,  Patnitala Upazila,53346,210230,210195,35,01110
64,79,XX,XXX,XX,01,  Porsha Upazila,28250,119677,119663,14,01110
64,85,XX,XXX,XX,01,  Raninagar Upazila,43905,177970,177953,17,01110
64,86,XX,XXX,XX,01,  Sapahar Upazila,33308,149096,149076,20,01110
76,05,XX,XXX,XX,01,  Atgharia Upazila,35045,143568,143562,6,01110
76,16,XX,XXX,XX,01,  Bera Upazila,46424,206725,206718,7,01110
76,19,XX,XXX,XX,01,  Bhangura Upazila,24141,103827,103826,1,01110
76,22,XX,XXX,XX,01,  Chatmohar Upazila,66883,276678,276651,27,01110
76,33,XX,XXX,XX,01,  Faridpur Upazila,27642,116325,116311,14,01110
76,39,XX,XXX,XX,01,  Ishwardi Upazila,58041,247677,247612,65,01110
76,55,XX,XXX,XX,01,  Pabna Sadar Upazila,105622,446472,446448,24,01110
76,72,XX,XXX,XX,01,  Santhia Upazila,79713,341597,341503,94,01110
76,83,XX,XXX,XX,01,  Sujanagar Upazila,57843,252635,252605,30,01110
70,18,XX,XXX,XX,01,  Bholahat Upazila,21206,89575,89572,3,01110
70,37,XX,XXX,XX,01,  Gomastapur Upazila,49939,217199,217177,22,01110
70,56,XX,XXX,XX,01,  Nachole Upazila,29142,129263,129259,4,01110
70,66,XX,XXX,XX,01,  Chapai Nawabganj Sadar Upazila,73326,349861,349826,35,01110
70,88,XX,XXX,XX,01,  Shibganj Upazila,114282,541345,541310,35,01110
69,09,XX,XXX,XX,01,  Bagatipara Upazila,30826,121029,121027,2,01110
69,15,XX,XXX,XX,01,  Baraigram Upazila,60048,240149,240107,42,01110
69,41,XX,XXX,XX,01,  Gurudaspur Upazila,46690,181981,181962,19,01110
69,44,XX,XXX,XX,01,  Lalpur Upazila,61098,253363,253298,65,01110
69,63,XX,XXX,XX,01,  Natore Sadar Upazila,88714,350953,350743,210,01110
69,91,XX,XXX,XX,01,  Singra Upazila,80836,331190,331156,34,01110
38,13,XX,XXX,XX,01,  Akkelpur Upazila,30357,113392,113387,5,01110
38,47,XX,XXX,XX,01,  Joypurhat Sadar Upazila,59542,220025,219486,539,01110
38,58,XX,XXX,XX,01,  Kalai Upazila,34334,126733,126733,0,01110
38,61,XX,XXX,XX,01,  Khetlal Upazila,26655,96615,96605,10,01110
38,74,XX,XXX,XX,01,  Panchbibi Upazila,55473,213093,212820,273,01110
13,22,XX,XXX,XX,01,  Chandpur Sadar Upazila,62296,294854,294613,241,01110
13,45,XX,XXX,XX,01,  Faridganj Upazila,78126,361593,361577,16,01110
13,47,XX,XXX,XX,01,  Haim Char Upazila,22628,100728,100658,70,01110
13,49,XX,XXX,XX,01,  Hajiganj Upazila,51922,261043,261043,0,01110
13,58,XX,XXX,XX,01,  Kachua Upazila,71517,355115,355104,11,01110
13,76,XX,XXX,XX,01,  Matlab Upazila,31887,150764,150759,5,01110
