ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Literate (can write a letter)-Both-Yes,Literate (can write a letter)-Both-No,Literate (can write a letter)-Male-Yes,Literate (can write a letter)-Male-No,Literate (can write a letter)-Female-Yes,Literate (can write a letter)-Female-No,Literacy Rate (%)-Both,Literacy Rate (%)-Male,Literacy Rate (%)-Female,check_var
78.0,76.0,81.0,XXX,XX,03,  Mirzaganj Union,3788,3249,1890,1543,1898,1706,53.8,55.1,52.7,00110
78.0,95.0,XX.0,XXX,XX,03,  Patuakhali Sadar Upazila,2059,2099,1088,932,971,1167,49.5,53.9,45.4,00110
78.0,95.0,27.0,XXX,XX,03,  Jainkati Union,2059,2099,1088,932,971,1167,49.5,53.9,45.4,00110
6.0,XX.0,XX.0,XXX,XX,03, Barisal Zila,42278,19670,21059,9269,21219,10401,68.2,69.4,67.1,00110
6.0,2.0,XX.0,XXX,XX,03,  Agailjhara Upazila,6759,2623,3490,1140,3269,1483,72.0,75.4,68.8,00110
6.0,2.0,15.0,XXX,XX,03,  Bakal Union,2235,734,1194,336,1041,398,75.3,78.0,72.3,00110
6.0,2.0,47.0,XXX,XX,03,  Gaila Union,4524,1889,2296,804,2228,1085,70.5,74.1,67.3,00110
6.0,3.0,XX.0,XXX,XX,03,  Babuganj Upazila,6508,2036,3283,969,3225,1067,76.2,77.2,75.1,00110
6.0,3.0,81.0,XXX,XX,03,  Rahmatpur Union,6508,2036,3283,969,3225,1067,76.2,77.2,75.1,00110
6.0,7.0,XX.0,XXX,XX,03,  Bakerganj Upazila,2456,1032,1225,493,1231,539,70.4,71.3,69.5,00110
6.0,7.0,12.0,XXX,XX,03,  Bhar Pasha Union,1986,942,988,456,998,486,67.8,68.4,67.3,00110
6.0,7.0,94.0,XXX,XX,03,  Rangasree Union,470,90,237,37,233,53,83.9,86.5,81.5,00110
6.0,10.0,XX.0,XXX,XX,03,  Banari Para Upazila,4275,1366,2054,629,2221,737,75.8,76.6,75.1,00110
6.0,10.0,42.0,XXX,XX,03,  Chakhar Union,1741,963,844,453,897,510,64.4,65.1,63.8,00110
6.0,10.0,63.0,XXX,XX,03,  Salia Bakpur Union,2534,403,1210,176,1324,227,86.3,87.3,85.4,00110
6.0,36.0,XX.0,XXX,XX,03,  Hizla Upazila,6697,5180,3337,2481,3360,2699,56.4,57.4,55.5,00110
6.0,36.0,13.0,XXX,XX,03,  Bara Jalia Union,6697,5180,3337,2481,3360,2699,56.4,57.4,55.5,00110
6.0,51.0,XX.0,XXX,XX,03,  Barisal Sadar Upazila,5770,3796,2891,1884,2879,1912,60.3,60.5,60.1,00110
6.0,51.0,34.0,XXX,XX,03,  Char Baria Union,1972,1186,976,614,996,572,62.4,61.4,63.5,00110
6.0,51.0,43.0,XXX,XX,03,  Char Kowa Union,3798,2610,1915,1270,1883,1340,59.3,60.1,58.4,00110
6.0,62.0,XX.0,XXX,XX,03,  Mehendiganj Upazila,1767,1414,801,650,966,764,55.5,55.2,55.8,00110
6.0,62.0,87.0,XXX,XX,03,  Mehendiganj Union,1767,1414,801,650,966,764,55.5,55.2,55.8,00110
6.0,94.0,XX.0,XXX,XX,03,  Wazirpur Upazila,8046,2223,3978,1023,4068,1200,78.4,79.5,77.2,00110
6.0,94.0,31.0,XXX,XX,03,  Guthia Union,1423,607,709,302,714,305,70.1,70.1,70.1,00110
6.0,94.0,84.0,XXX,XX,03,  Shikarpur Union,6623,1616,3269,721,3354,895,80.4,81.9,78.9,00110
79.0,XX.0,XX.0,XXX,XX,03, Pirojpur Zila,52489,20282,26045,9837,26444,10445,72.1,72.6,71.7,00110
79.0,14.0,XX.0,XXX,XX,03,  Bhandaria Upazila,16767,4949,8487,2330,8280,2619,77.2,78.5,76.0,00110
79.0,14.0,11.0,XXX,XX,03,  Bhandaria Union,14181,3536,7156,1667,7025,1869,80.0,81.1,79.0,00110
79.0,14.0,71.0,XXX,XX,03,  Nudmulla Union,2586,1413,1331,663,1255,750,64.7,66.8,62.6,00110
79.0,47.0,XX.0,XXX,XX,03,  Kawkhali Upazila,6142,2372,3011,1162,3131,1210,72.1,72.2,72.1,00110
79.0,47.0,15.0,XXX,XX,03,  Amrajuri Union,1505,1147,752,600,753,547,56.7,55.6,57.9,00110
79.0,47.0,47.0,XXX,XX,03,  Kawkhali Union,4637,1225,2259,562,2378,663,79.1,80.1,78.2,00110
79.0,58.0,XX.0,XXX,XX,03,  Mathbaria Upazila,5509,3498,2700,1749,2809,1749,61.2,60.7,61.6,00110
79.0,58.0,60.0,XXX,XX,03,  Mathbaria Union,5509,3498,2700,1749,2809,1749,61.2,60.7,61.6,00110
79.0,76.0,XX.0,XXX,XX,03,  Nazirpur Upazila,2861,1248,1517,613,1344,635,69.6,71.2,67.9,00110
79.0,76.0,52.0,XXX,XX,03,  Nazirpur Union,2861,1248,1517,613,1344,635,69.6,71.2,67.9,00110
79.0,87.0,XX.0,XXX,XX,03,  Nesarabad Upazila,17719,6578,8601,3171,9118,3407,72.9,73.1,72.8,00110
79.0,87.0,76.0,XXX,XX,03,  Sohagdal Union,6977,2728,3357,1310,3620,1418,71.9,71.9,71.9,00110
79.0,87.0,85.0,XXX,XX,03,  Sutiakati Union,8844,3194,4361,1548,4483,1646,73.5,73.8,73.1,00110
79.0,87.0,95.0,XXX,XX,03,  Nesarabad (Swarupkati) Union,1898,656,883,313,1015,343,74.3,73.8,74.7,00110
79.0,90.0,XX.0,XXX,XX,03,  Zianagar Upazila,3491,1637,1729,812,1762,825,68.1,68.0,68.1,00110
79.0,90.0,51.0,XXX,XX,03,  Pattashi Union,3491,1637,1729,812,1762,825,68.1,68.0,68.1,00110
9.0,XX.0,XX.0,XXX,XX,03, Bhola Zila,51960,52932,26146,25514,25814,27418,49.5,50.6,48.5,00110
9.0,18.0,XX.0,XXX,XX,03,  Bhola Sadar Upazila,17421,15965,8711,7558,8710,8407,52.2,53.5,50.9,00110
