ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Literate (can write a letter)-Both-Yes,Literate (can write a letter)-Both-No,Literate (can write a letter)-Male-Yes,Literate (can write a letter)-Male-No,Literate (can write a letter)-Female-Yes,Literate (can write a letter)-Female-No,Literacy Rate (%)-Both,Literacy Rate (%)-Male,Literacy Rate (%)-Female,check_var
3.0,73.0,XX.0,XXX,XX,01,  Naikhongchhari Upazila,9833,24209,5394,11861,4439,12348,28.9,31.3,26.4,00110
3.0,73.0,76.0,XXX,XX,01,  Naikhongchhari Union,772,2853,497,1359,275,1494,21.3,26.8,15.5,00110
3.0,89.0,XX.0,XXX,XX,01,  Rowangchhari Upazila,5108,13164,3220,6253,1888,6911,28.0,34.0,21.5,00110
3.0,89.0,57.0,XXX,XX,01,  Rowangchhari Union,1080,1919,666,875,414,1044,36.0,43.2,28.4,00110
3.0,91.0,XX.0,XXX,XX,01,  Ruma Upazila,6427,16684,4039,8088,2388,8596,27.8,33.3,21.7,00110
3.0,91.0,76.0,XXX,XX,01,  Ruma Union,3748,6458,2325,3254,1423,3204,36.7,41.7,30.8,00110
3.0,95.0,XX.0,XXX,XX,01,  Thanchi Upazila,4551,12104,2999,5768,1552,6336,27.3,34.2,19.7,00110
3.0,95.0,57.0,XXX,XX,01,  Thanchi Union,1728,2854,1121,1412,607,1442,37.7,44.3,29.6,00110
19.0,XX.0,XX.0,XXX,XX,01, Comilla Zila,1924043,1828470,903120,845298,1020923,983172,51.3,51.7,50.9,00110
19.0,9.0,XX.0,XXX,XX,01,  Barura Upazila,153814,142106,68877,66519,84937,75587,52.0,50.9,52.9,00110
19.0,15.0,XX.0,XXX,XX,01,  Brahmanpara Upazila,87792,73118,42110,33177,45682,39941,54.6,55.9,53.4,00110
19.0,15.0,18.0,XXX,XX,01,  Brahman Para Union,7823,7712,3861,3515,3962,4197,50.4,52.3,48.6,00110
19.0,18.0,XX.0,XXX,XX,01,  Burichang Upazila,136125,103979,66442,48152,69683,55827,56.7,58.0,55.5,00110
19.0,18.0,31.0,XXX,XX,01,  Burichang Union,12254,9153,6036,4121,6218,5032,57.2,59.4,55.3,00110
19.0,27.0,XX.0,XXX,XX,01,  Chandina Upazila,123094,124749,57459,57775,65635,66974,49.7,49.9,49.5,00110
19.0,27.0,20.0,XXX,XX,01,  Mahichal Union,8587,8631,4040,3955,4547,4676,49.9,50.5,49.3,00110
19.0,31.0,XX.0,XXX,XX,01,  Chauddagram Upazila,190167,147419,87377,67582,102790,79837,56.3,56.4,56.3,00110
19.0,33.0,XX.0,XXX,XX,01,  Comilla Sadar Dakshin Upazila,135185,128420,62895,60609,72290,67811,51.3,50.9,51.6,00110
19.0,33.0,35.0,XXX,XX,01,  Bijoypur Union,6538,5551,3120,2666,3418,2885,54.1,53.9,54.2,00110
19.0,36.0,XX.0,XXX,XX,01,  Daudkandi Upazila,125483,127115,61408,58800,64075,68315,49.7,51.1,48.4,00110
19.0,40.0,XX.0,XXX,XX,01,  Debidwar Upazila,155161,145941,74445,65446,80716,80495,51.5,53.2,50.1,00110
19.0,54.0,XX.0,XXX,XX,01,  Homna Upazila,56207,89524,28508,41456,27699,48068,38.6,40.7,36.6,00110
19.0,67.0,XX.0,XXX,XX,01,  Comilla Adarsha Sadar Upazila,113268,86223,55697,41901,57571,44322,56.8,57.1,56.5,00110
19.0,67.0,68.0,XXX,XX,01,  Kalir Bazar Union,19005,15835,8895,7503,10110,8332,54.5,54.2,54.8,00110
19.0,67.0,90.0,XXX,XX,01,  Panchthubi Union,23946,16202,11511,7825,12435,8377,59.6,59.5,59.7,00110
19.0,72.0,XX.0,XXX,XX,01,  Laksam Upazila,93533,91807,42563,43433,50970,48374,50.5,49.5,51.3,00110
19.0,74.0,XX.0,XXX,XX,01,  Manoharganj Upazila,111324,88131,48167,41074,63157,47057,55.8,54.0,57.3,00110
