ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 7+ and not attending school-Both,Population aged 7+ and not attending school-Male,Population aged 7+ and not attending school-Female,Employment Status-Employed-Male,Employment Status-Employed-Female,Employment Status-Looking for work-Male,Employment Status-Looking for work-Female,Employment Status-Household work-Male,Employment Status-Household work-Female,Employment Status-Do not work-Male,Employment Status-Do not work-Female,check_var
42,84,54,XXX,XX,01,  Rajapur Union,1945,836,1109,543,32,3,3,84,787.0,206,287,00110
78,38,29,XXX,XX,01,  Bauphal Union,4184,1704,2480,1347,68,22,11,41,1949.0,294,452,00110
78,38,35,XXX,XX,01,  Daspara Union,3783,1664,2119,1329,97,12,2,9,1615.0,314,405,00110
78,52,31,XXX,XX,01,  Banshbaria Union,3988,1761,2227,1402,72,14,1,58,1733.0,287,421,00110
78,52,52,XXX,XX,01,  Dashmina Union,3956,1795,2161,1450,52,14,8,27,1680.0,304,421,00110
78,55,93,XXX,XX,01,  Sreerampur Union,629,243,386,188,11,4,1,4,297.0,47,77,00110
78,57,50,XXX,XX,01,  Chiknikandi Union,2758,1173,1585,946,47,16,8,18,1246.0,193,284,00110
78,57,67,XXX,XX,01,  Galachipa Union,4890,2348,2542,1895,191,13,9,12,1796.0,428,546,00110
78,66,83,XXX,XX,01,  Tiakhali Union,1232,581,651,530,16,0,1,6,563.0,45,71,00110
78,76,13,XXX,XX,01,  Amragachhia Union,3235,1351,1884,1047,120,10,14,82,1482.0,212,268,00110
78,76,27,XXX,XX,01,  Deuli Subidkhali Union,2086,863,1223,683,16,1,2,45,995.0,134,210,00110
78,76,81,XXX,XX,01,  Mirzaganj Union,2214,925,1289,728,80,6,0,18,953.0,173,256,00110
78,95,27,XXX,XX,01,  Jainkati Union,3021,1291,1730,1040,32,13,6,28,1426.0,210,266,00110
6,02,15,XXX,XX,01,  Bakal Union,3681,1464,2217,1094,125,6,3,57,1468.0,307,621,00110
6,02,47,XXX,XX,01,  Gaila Union,3767,1524,2243,1150,140,6,3,17,1516.0,351,584,00110
6,03,81,XXX,XX,01,  Rahmatpur Union,1708,764,944,591,48,7,2,12,649.0,154,245,00110
6,07,12,XXX,XX,01,  Bhar Pasha Union,3061,1305,1756,948,60,21,4,20,1290.0,316,402,00110
6,07,94,XXX,XX,01,  Rangasree Union,4764,2112,2652,1573,65,40,3,56,1999.0,443,585,00110
6,10,42,XXX,XX,01,  Chakhar Union,1712,698,1014,492,7,7,3,53,840.0,146,164,00110
6,10,63,XXX,XX,01,  Salia Bakpur Union,2005,832,1173,658,44,24,5,9,868.0,141,256,00110
6,36,13,XXX,XX,01,  Bara Jalia Union,4370,2222,2148,1836,113,35,10,27,1666.0,324,359,00110
6,51,34,XXX,XX,01,  Char Baria Union,2284,1022,1262,763,69,20,5,50,891.0,189,297,00110
6,51,43,XXX,XX,01,  Char Kowa Union,3653,1697,1956,1306,85,20,3,18,1277.0,353,591,00110
6,62,87,XXX,XX,01,  Mehendiganj Union,2668,1372,1296,1040,40,20,3,14,928.0,298,325,00110
6,94,31,XXX,XX,01,  Guthia Union,2750,1168,1582,841,18,7,3,16,1129.0,304,432,00110
6,94,84,XXX,XX,01,  Shikarpur Union,2348,1067,1281,802,54,9,1,15,849.0,241,377,00110
79,14,11,XXX,XX,01,  Bhandaria Union,519,239,280,188,7,2,0,3,178.0,46,95,00110
79,14,71,XXX,XX,01,  Nudmulla Union,2721,1320,1401,915,25,37,6,143,1041.0,225,329,00110
