ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Households-Total,Households-General,Households-Institutional,Households-Others,Population-Both,Population-Male,Population-Female,Sex Ratio,check_var
41,23,XX,XXX,XX,02,  Jhikargachha Upazila,7890,7873,6,11,32774,16045,16729.0,96.0,01110
41,38,XX,XXX,XX,02,  Keshabpur Upazila,6330,6293,4,33,26229,13141,13088.0,100.0,01110
41,47,XX,XXX,XX,02,  Jessore Sadar Upazila,48214,46608,125,1481,217337,115634,101703.0,114.0,01110
41,61,XX,XXX,XX,02,  Manirampur Upazila,7017,6956,7,54,28138,14215,13923.0,102.0,01110
41,90,XX,XXX,XX,02,  Sharsha Upazila,8563,8529,9,25,36524,18477,18047.0,102.0,01110
1,08,XX,XXX,XX,02,  Bagerhat Sadar Upazila,11982,11820,48,114,49073,24601,24472.0,101.0,01110
1,58,XX,XXX,XX,02,  Mongla Upazila,8927,8615,18,294,39837,21607,18230.0,119.0,01110
1,60,XX,XXX,XX,02,  Morrelganj Upazila,5070,5008,9,53,21741,10855,10886.0,100.0,01110
55,57,XX,XXX,XX,02,  Magura Sadar Upazila,22105,21920,46,139,98355,49065,49290.0,100.0,01110
50,15,XX,XXX,XX,02,  Bheramara Upazila,5274,5204,8,62,22124,10940,11184.0,98.0,01110
50,63,XX,XXX,XX,02,  Khoksa Upazila,4086,4075,7,4,17607,8849,8758.0,101.0,01110
50,71,XX,XXX,XX,02,  Kumarkhali Upazila,5276,5251,6,19,21914,10824,11090.0,98.0,01110
50,79,XX,XXX,XX,02,  Kushtia Sadar Upazila,23037,22338,68,631,102988,52887,50101.0,106.0,01110
50,94,XX,XXX,XX,02,  Mirpur Upazila,5507,5476,12,19,22417,11470,10947.0,105.0,01110
57,47,XX,XXX,XX,02,  Gangni Upazila,6488,6441,9,38,25500,12721,12779.0,100.0,01110
57,87,XX,XXX,XX,02,  Meherpur Sadar Upazila,10418,10263,8,147,43133,21784,21349.0,102.0,01110
87,43,XX,XXX,XX,02,  Kalaroa Upazila,6570,6537,8,25,27250,13510,13740.0,98.0,01110
87,82,XX,XXX,XX,02,  Satkhira Sadar Upazila,26896,26556,29,311,113322,57616,55706.0,103.0,01110
42,40,XX,XXX,XX,02,  Jhalokati Sadar Upazila,12399,12234,53,112,54029,27528,26501.0,104.0,01110
42,73,XX,XXX,XX,02,  Nalchity Upazila,7053,7026,3,24,30805,14706,16099.0,91.0,01110
78,38,XX,XXX,XX,02,  Bauphal Upazila,2538,2509,1,28,11435,5653,5782.0,98.0,01110
78,57,XX,XXX,XX,02,  Galachipa Upazila,4967,4928,3,36,21200,10888,10312.0,106.0,01110
78,66,XX,XXX,XX,02,  Kala Para Upazila,6412,6319,8,85,26509,13930,12579.0,111.0,01110
78,95,XX,XXX,XX,02,  Patuakhali Sadar Upazila,13994,13502,41,451,65000,33630,31370.0,107.0,01110
6,07,XX,XXX,XX,02,  Bakerganj Upazila,3395,3383,3,9,15418,7644,7774.0,98.0,01110
6,10,XX,XXX,XX,02,  Banari Para Upazila,2373,2342,8,23,10366,5365,5001.0,107.0,01110
6,32,XX,XXX,XX,02,  Gaurnadi Upazila,9417,9273,16,128,42438,21205,21233.0,100.0,01110
6,51,XX,XXX,XX,02,  Barisal Sadar Upazila,72709,70798,207,1704,328278,169475,158803.0,107.0,01110
6,62,XX,XXX,XX,02,  Mehendiganj Upazila,6329,6310,4,15,30067,14535,15532.0,94.0,01110
6,69,XX,XXX,XX,02,  Muladi Upazila,4528,4476,5,47,20490,10215,10275.0,99.0,01110
79,58,XX,XXX,XX,02,  Mathbaria Upazila,4330,4254,5,71,18375,9124,9251.0,99.0,01110
79,80,XX,XXX,XX,02,  Pirojpur Sadar Upazila,13646,13507,34,105,60056,30048,30008.0,100.0,01110
79,87,XX,XXX,XX,02,  Nesarabad Upazila,3985,3934,8,43,20019,10865,9154.0,119.0,01110
9,18,XX,XXX,XX,02,  Bhola Sadar Upazila,9635,9445,32,158,47477,24493,22984.0,107.0,01110
