ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Number of Households,Type of Structure (%)-Pucka,Type of Structure (%)-Semi-pucka,Type of Structure (%)-Kutcha,Type of Structure (%)-Jhupri,Toilet Facility (%)-Sanitary (water-sealed),Toilet Facility (%)-Sanitary (non water-sealed),Toilet Facility (%)-Non-sanitary,Toilet Facility (%)-None,check_var
1.0,77.0,57.0,XXX,XX,01,  Royenda Union,3958,1.4,2.6,94.8,1.2,22.2,46.4,30.6,0.8,00110
55.0,XX.0,XX.0,XXX,XX,01, Magura Zila,178593,3.0,23.5,71.9,1.6,41.3,35.4,19.9,3.5,00110
55.0,57.0,XX.0,XXX,XX,01,  Magura Sadar Upazila,63968,2.8,24.7,70.5,1.9,21.7,46.0,27.8,4.5,00110
55.0,66.0,XX.0,XXX,XX,01,  Mohammadpur Upazila,42619,2.8,25.3,71.0,1.0,44.3,35.9,17.2,2.6,00110
55.0,66.0,52.0,XXX,XX,01,  Mohammadpur Union,3760,3.1,33.6,61.3,1.9,48.5,37.0,10.5,4.0,00110
55.0,85.0,XX.0,XXX,XX,01,  Shalikha Upazila,35225,3.0,25.6,71.1,0.4,63.3,22.5,12.1,2.1,00110
55.0,85.0,11.0,XXX,XX,01,  Arpara Union,4096,4.1,22.0,73.7,0.2,85.2,7.6,5.3,1.9,00110
55.0,85.0,59.0,XXX,XX,01,  Shalikha Union,3270,1.9,22.6,75.4,0.1,25.3,51.0,21.2,2.5,00110
55.0,95.0,XX.0,XXX,XX,01,  Sreepur Upazila,36781,3.4,17.4,76.3,3.0,50.7,28.6,16.7,4.0,00110
55.0,95.0,84.0,XXX,XX,01,  Sreepur Union,4230,5.0,26.2,68.2,0.6,50.7,28.6,17.8,2.9,00110
50.0,XX.0,XX.0,XXX,XX,01, Kushtia Zila,421496,5.1,30.8,63.1,1.0,23.0,33.8,38.4,4.8,00110
50.0,15.0,XX.0,XXX,XX,01,  Bheramara Upazila,40165,3.4,45.3,50.5,0.8,30.4,35.7,31.4,2.5,00110
