ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total Population,Type of disability (%)-All,Type of disability (%)-Speech,Type of disability (%)-Vision,Type of disability (%)-Hearing,Type of disability (%)-Physical,Type of disability (%)-Mental,Type of disability (%)-Autism
47,17,97,-9,-9,-9,  Khulna Range Union Total,451,0.2,0.0,0.0,0.2,0.0,0.0,0.0
47,21,-9,-9,-9,-9,Daulatpur Thana Total,112442,1.6,0.1,0.4,0.1,0.7,0.2,0.0
47,21,-9,-9,-9,1,  Daulatpur Thana,12126,0.9,0.2,0.1,0.0,0.4,0.1,0.1
47,21,-9,-9,-9,2,  Daulatpur Thana,100316,1.7,0.1,0.5,0.1,0.7,0.2,0.0
47,21,01,-9,-9,-9,  Ward No-01 Total,18900,0.9,0.2,0.1,0.1,0.4,0.1,0.0
47,21,02,-9,-9,-9,  Ward No-02 (Part) Total,8246,1.1,0.1,0.4,0.1,0.4,0.1,0.0
47,21,03,-9,-9,-9,  Ward No-03 Total,21821,0.8,0.1,0.1,0.1,0.5,0.1,0.0
47,21,04,-9,-9,-9,  Ward No-04 Total,15780,3.1,0.2,1.1,0.3,1.2,0.2,0.1
47,21,05,-9,-9,-9,  Ward No-05 Total,14835,2.9,0.1,1.2,0.1,1.3,0.2,0.0
47,21,06,-9,-9,-9,  Ward No-06 Total,20734,1.4,0.2,0.3,0.1,0.7,0.1,0.1
47,21,10,-9,-9,-9,  Aranghata Union Total,12126,0.9,0.2,0.1,0.0,0.4,0.1,0.1
47,30,-9,-9,-9,-9,Dumuria Upazila Total,305675,1.7,0.2,0.3,0.2,0.7,0.2,0.1
47,30,-9,-9,-9,1,  Dumuria Upazila,285847,1.7,0.2,0.3,0.2,0.7,0.2,0.1
47,30,-9,-9,-9,3,  Dumuria Upazila,19828,2.0,0.2,0.6,0.3,0.8,0.1,0.1
47,30,11,-9,-9,-9,  Atlia Union Total,32236,1.4,0.2,0.2,0.1,0.6,0.2,0.1
47,30,13,-9,-9,-9,  Bhandar Para Union Total,16749,1.4,0.2,0.2,0.2,0.5,0.2,0.1
47,30,20,-9,-9,-9,  Dhamalia Union Total,22240,1.0,0.1,0.1,0.2,0.4,0.1,0.0
47,30,27,-9,-9,-9,Dumuria Union Total,29242,1.9,0.2,0.5,0.2,0.7,0.2,0.1
47,30,27,-9,-9,1,  Dumuria Union,9414,1.6,0.3,0.2,0.2,0.6,0.2,0.1
47,30,27,-9,-9,3,  Dumuria Union,19828,2.0,0.2,0.6,0.3,0.8,0.1,0.1
47,30,33,-9,-9,-9,  Gutudia Union Total,26143,2.4,0.2,0.5,0.3,1.2,0.2,0.1
47,30,40,-9,-9,-9,  Kharnia Union Total,20585,1.6,0.3,0.3,0.2,0.6,0.2,0.1
47,30,47,-9,-9,-9,  Magurkhali Union Total,13891,1.3,0.1,0.2,0.2,0.5,0.2,0.1
47,30,54,-9,-9,-9,  Maguraghona Union Total,23115,1.7,0.2,0.4,0.2,0.6,0.2,0.1
47,30,61,-9,-9,-9,  Raghunathpur Union Total,25817,1.5,0.2,0.2,0.2,0.6,0.2,0.0
47,30,67,-9,-9,-9,  Rangpur Union Total,18053,1.4,0.2,0.3,0.2,0.5,0.1,0.1
47,30,74,-9,-9,-9,  Rudaghara Union Total,23148,1.0,0.1,0.1,0.0,0.5,0.1,0.0
47,30,81,-9,-9,-9,  Sahas Union Total,18647,4.2,0.2,1.0,0.3,2.2,0.3,0.2
47,30,88,-9,-9,-9,  Sarappur Union Total,16101,1.2,0.1,0.2,0.1,0.5,0.2,0.0
47,30,94,-9,-9,-9,  Sovna Union Total,19708,1.5,0.2,0.3,0.2,0.7,0.2,0.1
47,40,-9,-9,-9,-9,Dighalia Upazila Total,115585,1.3,0.2,0.2,0.1,0.5,0.2,0.1
47,40,-9,-9,-9,1,  Dighalia Upazila,115585,1.3,0.2,0.2,0.1,0.5,0.2,0.1
47,40,17,-9,-9,-9,  Barakpur Union Total,22907,1.6,0.2,0.3,0.2,0.6,0.2,0.1
47,40,57,-9,-9,-9,  Dighalia Union Total,29518,1.3,0.2,0.3,0.1,0.5,0.2,0.1
47,40,66,-9,-9,-9,  Gazir Hat Union Total,19433,1.7,0.2,0.4,0.2,0.6,0.2,0.1
47,40,85,-9,-9,-9,  Senhati Union Total,43727,1.0,0.2,0.1,0.1,0.4,0.2,0.1
47,45,-9,-9,-9,-9,Khalishpur Thana Total,165299,1.8,0.2,0.4,0.1,0.7,0.2,0.1
47,45,-9,-9,-9,2,  Khalishpur Thana,165299,1.8,0.2,0.4,0.1,0.7,0.2,0.1
47,45,07,-9,-9,-9,  Ward No-07 Total,10645,1.3,0.2,0.3,0.1,0.5,0.2,0.0
47,45,08,-9,-9,-9,  Ward No-08 Total,9308,1.2,0.1,0.2,0.1,0.6,0.2,0.0
47,45,09,-9,-9,-9,  Ward No-09 Total,31882,2.2,0.2,0.8,0.2,0.6,0.2,0.1
47,45,10,-9,-9,-9,  Ward No-10 Total,27947,1.4,0.1,0.3,0.1,0.6,0.3,0.1
47,45,11,-9,-9,-9,  Ward No-11 Total,12373,1.4,0.1,0.2,0.2,0.6,0.2,0.0
47,45,12,-9,-9,-9,  Ward No-12 Total,21208,1.3,0.2,0.2,0.1,0.6,0.2,0.1
47,45,13,-9,-9,-9,  Ward No-13 Total,9287,2.0,0.2,0.3,0.2,0.7,0.6,0.0
47,45,14,-9,-9,-9,  Ward No-14 Total,26335,2.7,0.1,0.9,0.2,1.3,0.2,0.1
47,45,15,-9,-9,-9, Ward No-15 Total,16314,1.4,0.2,0.2,0.1,0.6,0.2,0.1
47,48,-9,-9,-9,-9,Khan Jahan Ali Thana Total,81313,1.8,0.2,0.4,0.1,0.9,0.2,0.1
47,48,-9,-9,-9,1,  Khan Jahan Ali Thana,74383,2.0,0.2,0.4,0.2,0.9,0.2,0.1
47,48,-9,-9,-9,2,  Khan Jahan Ali Thana,6930,0.5,0.0,0.1,0.1,0.2,0.1,0.1
47,48,02,-9,-9,-9,  Ward No-02 (Part) Total,5544,0.6,0.1,0.1,0.1,0.2,0.1,0.1
47,48,19,-9,-9,-9,  Atra Gilatala Union Total,48107,2.3,0.2,0.5,0.2,1.2,0.2,0.1
47,48,75,-9,-9,-9,  Jugipole Union Total,26276,1.3,0.1,0.2,0.1,0.5,0.2,0.1
47,48,98,-9,-9,-9,  Gilatala Cantt. Total,1386,0.1,0.0,0.0,0.0,0.1,0.0,0.0
47,51,-9,-9,-9,-9,Khulna Sadar Thana Total,224444,1.4,0.1,0.2,0.1,0.6,0.2,0.1
47,51,-9,-9,-9,2,  Khulna Sadar Thana,224444,1.4,0.1,0.2,0.1,0.6,0.2,0.1
47,51,21,-9,-9,-9,  Ward No-21 Total,20220,1.6,0.2,0.3,0.1,0.6,0.3,0.0
47,51,22,-9,-9,-9,  Ward No-22 Total,17239,1.5,0.2,0.2,0.1,0.7,0.2,0.1
47,51,23,-9,-9,-9,  Ward No-23 Total,13793,1.1,0.1,0.2,0.1,0.4,0.3,0.1
47,51,24,-9,-9,-9,  Ward No-24 Total,37889,1.3,0.2,0.4,0.1,0.5,0.2,0.1
47,51,27,-9,-9,-9,  Ward No-27 Total,30265,1.3,0.1,0.3,0.1,0.6,0.2,0.1
47,51,28,-9,-9,-9,  Ward No-28 Total,20148,1.7,0.1,0.3,0.1,0.8,0.2,0.2
47,51,29,-9,-9,-9,  Ward No-29 Total,17763,0.8,0.1,0.1,0.0,0.4,0.2,0.1
47,51,30,-9,-9,-9,  Ward No-30 Total,33283,1.4,0.1,0.3,0.1,0.7,0.2,0.1
47,51,31,-9,-9,-9,  Ward No-31 Total,33844,1.3,0.1,0.2,0.1,0.6,0.2,0.1
47,53,-9,-9,-9,-9,Koyra Upazila Total,193931,2.2,0.3,0.5,0.2,0.9,0.2,0.1
47,53,-9,-9,-9,1,  Koyra Upazila,182337,2.2,0.3,0.5,0.2,0.9,0.2,0.1
47,53,-9,-9,-9,3,  Koyra Upazila,11594,2.9,0.1,0.5,0.3,1.5,0.3,0.3
47,53,10,-9,-9,-9,  Amadi Union Total,33184,1.3,0.2,0.2,0.1,0.5,0.1,0.1
