DistrictCode,DistrictName,DivisionCode,DivisionName,FuzzRatio,Geo,Survey.Units,BCG_Children12M,OPV1_Children12M,DPT1_Children12M,HB1_Children12M,OPV2_Children12M,DPT2_Children12M,HB2_Children12M,OPV3_Children12M,DPT3_Children12M,HB3_Children12M,Measles_Children12M,Fully_Children12M,BCG_Children23M,OPV1_Children23M,DPT1_Children23M,HB1_Children23M,OPV2_Children23M,DPT2_Children23M,HB2_Children23M,OPV3_Children23M,DPT3_Children23M,HB3_Children23M,Measles_Children23M,Fully_Children23M,TT1_Mother0-11MChildren,TT2_Mother0-11MChildren,TT3_Mother0-11MChildren,TT4_Mother0-11MChildren,TT5_Mother0-11MChildren,TT1_Woman18-49Y,TT2_Woman18-49Y,TT3_Woman18-49Y,TT4_Woman18-49Y,TT5_Woman18-49Y,PAB_Mother0-11MChildren,OPVCoverage_18NID_Children0-5M,OPVCoverage_MeaslesCampaign_Children0-5M,OPVCoverage_Both_Children0-5M,VitACoverage_PostPartum,VitACoverage_Children12-59M,VitACoverage_Infants9-11M,AnthelminticCoverage_Children24-59M,MeaslesCoverage_Children9-59M,Year
27,Dinajpur ,55,Rangpur,94,Dinajpur,Dinajpur,100.0,100.0,100.0,100.0,99.0,99.0,99.0,95.6,88.3,88.3,89.4,81.8,100.0,100.0,100.0,100.0,99.5,99.5,99.5,98.4,88.8,88.8,94.1,84.2,99.5,98.6,89.0,71.4,46.7,91.9,91.0,76.7,61.4,38.1,97.1,97.1,94.8,92.4,49.5,96.2,97.6,88.6,91.9,2010
29,Faridpur ,30,Dhaka,94,Faridpur,Faridpur,99.0,99.0,99.0,99.0,99.0,99.0,99.0,94.2,84.7,84.7,85.2,74.7,99.0,99.0,99.0,99.0,99.0,99.0,99.0,94.2,84.7,84.7,90.0,79.4,95.7,91.4,82.9,61.4,30.5,93.8,93.3,79.0,50.0,28.6,90.5,97.6,95.2,95.2,13.8,97.1,94.8,96.2,95.2,2010
30,Feni ,20,Chittagong,89,Feni,Feni,99.0,99.0,99.0,99.0,99.0,99.0,99.0,94.2,91.7,91.7,86.3,83.7,99.0,99.0,99.0,99.0,99.0,99.0,99.0,94.8,92.4,92.4,90.8,88.2,99.0,97.6,91.9,75.7,47.6,90.5,89.0,77.1,51.0,24.3,97.1,95.7,90.5,87.1,35.7,94.3,93.3,89.0,82.9,2010
32,Gaibandha ,55,Rangpur,95,Gaibandha,Gaibandha,99.5,99.5,99.5,99.5,98.4,98.4,98.4,95.2,93.5,93.5,79.9,78.1,100.0,100.0,100.0,100.0,99.5,99.5,99.5,96.8,94.6,94.6,90.9,88.5,92.9,92.4,79.0,61.4,41.4,94.3,92.9,80.5,66.7,46.7,89.0,96.2,97.1,95.2,33.8,96.2,93.3,90.0,96.2,2010
33,Gazipur ,30,Dhaka,93,Gazipur,Gazipur,100.0,99.5,99.5,99.5,98.3,98.3,98.3,93.3,81.3,81.3,90.7,77.1,100.0,99.5,99.5,99.5,99.0,98.3,98.3,94.9,82.1,82.1,93.4,78.0,99.0,98.1,83.8,64.3,35.7,95.2,91.9,75.2,45.2,22.4,96.2,96.7,95.7,95.7,75.2,96.7,95.2,93.3,95.2,2010
35,Gopalganj ,30,Dhaka,95,Gopalganj,Gopalganj,98.6,98.6,98.6,98.6,97.4,96.7,96.7,95.3,91.0,91.0,83.6,78.0,98.6,98.6,98.6,98.6,98.1,97.4,97.4,96.0,91.7,91.7,89.2,83.6,97.6,94.3,76.7,56.7,39.5,97.1,93.3,78.6,47.6,28.6,92.4,96.2,91.9,89.0,31.4,95.7,94.8,94.8,89.0,2010
36,Habiganj ,60,Sylhet,94,Habiganj,Habiganj,98.6,98.6,98.6,98.6,96.5,96.5,96.5,93.1,88.6,88.6,83.3,78.5,98.6,98.6,98.6,98.6,96.5,96.5,96.5,93.8,89.2,89.2,92.2,87.4,98.1,96.2,89.5,77.1,56.7,97.1,96.7,90.0,69.5,46.7,89.5,98.6,91.0,90.5,20.0,98.1,92.9,95.2,90.0,2010
39,Jamalpur ,30,Dhaka,94,Jamalpur,Jamalpur,99.3,98.4,98.4,98.4,96.8,96.8,96.8,93.2,89.9,89.9,80.5,77.2,100.0,99.0,99.0,99.0,98.1,98.1,98.1,93.8,90.6,90.6,85.2,81.9,99.0,96.7,82.9,62.9,36.2,97.1,93.8,76.2,54.8,35.7,95.2,96.2,95.7,92.9,43.3,93.8,88.6,86.7,88.6,2010
41,Jessore ,40,Khulna,93,Jessore,Jessore,99.0,98.5,98.5,98.5,97.5,97.5,97.5,94.6,91.7,91.7,88.8,85.6,99.0,98.5,98.5,98.5,98.1,98.1,98.1,95.8,92.3,92.3,93.2,89.4,98.6,98.1,85.2,66.2,45.7,91.4,87.6,68.6,41.9,23.3,96.2,95.2,92.9,91.0,48.1,95.2,95.7,93.8,86.2,2010
42,Jhalokati ,10,Barisal,95,Jhalokati,Jhalokati,99.3,99.3,99.3,99.3,98.3,98.3,98.3,97.4,89.1,89.1,88.2,80.3,100.0,100.0,100.0,100.0,99.0,99.0,99.0,98.1,89.7,89.7,92.6,83.9,95.2,92.9,80.5,60.5,38.6,91.9,89.0,77.6,56.2,36.2,91.9,97.6,96.7,94.8,27.1,96.2,97.6,81.9,84.8,2010
44,Jhenaidah ,40,Khulna,95,Jhenaidah,Jhenaidah,100.0,100.0,100.0,100.0,97.0,96.3,96.3,92.2,85.1,85.1,85.3,76.9,100.0,100.0,100.0,100.0,98.2,97.6,97.6,94.1,87.1,87.1,90.9,82.5,98.1,95.2,81.4,67.1,46.7,91.0,86.2,70.0,46.7,25.2,96.7,98.1,94.3,92.4,37.1,93.3,97.1,88.1,81.0,2010
38,Joypurhat ,50,Rajshahi,95,Joypurhat,Joypurhat,100.0,100.0,100.0,100.0,98.5,98.5,98.5,95.4,92.4,92.4,89.0,85.8,100.0,100.0,100.0,100.0,99.5,99.5,99.5,97.5,93.4,93.4,93.2,89.0,99.5,99.5,91.0,66.7,44.8,100.0,100.0,95.7,82.4,51.0,98.1,100.0,100.0,100.0,75.7,98.6,99.5,98.1,100.0,2010
47,Khulna ,40,Khulna,20,KCC,KCC,97.9,97.4,97.4,97.4,94.8,94.8,94.8,91.7,89.5,89.5,80.8,78.7,98.6,98.1,98.1,98.1,96.2,96.2,96.2,93.8,91.0,91.0,88.8,85.9,98.6,95.7,79.5,48.6,30.0,99.0,97.1,84.3,63.8,47.6,89.0,96.2,95.7,94.8,49.0,95.7,91.0,94.8,85.2,2010
46,Khagrachhari ,20,Chittagong,92,Khagrachari,Khagrachari,91.9,91.9,91.9,91.9,88.6,88.6,88.6,86.5,82.2,82.2,77.8,73.2,91.9,91.9,91.9,91.9,88.6,88.6,88.6,87.1,82.2,82.2,81.1,75.8,87.6,84.3,71.9,50.5,30.0,85.7,82.9,69.0,46.7,26.7,80.5,91.0,90.0,90.0,47.6,91.0,83.8,91.0,90.0,2010
47,Khulna ,40,Khulna,92,Khulna,Khulna,99.5,99.5,99.5,99.5,98.9,98.9,98.9,96.7,94.1,94.1,89.0,86.2,99.5,99.5,99.5,99.5,99.5,99.5,99.5,97.3,94.7,94.7,93.9,91.1,97.1,97.1,88.1,75.2,50.5,95.7,92.9,82.4,61.0,43.3,96.2,99.0,98.1,98.1,47.1,99.0,98.1,97.6,96.7,2010
47,Khulna ,40,Khulna,64,Khulna Division,Khulna Division,,,,,,,,,,,,,99.5,99.3,99.3,99.3,98.1,97.8,97.8,95.3,91.0,91.0,90.3,85.4,97.6,96.1,83.4,62.0,39.3,93.5,89.9,73.9,50.5,30.3,93.2,97.4,94.0,92.8,36.2,96.4,94.9,93.2,88.5,2010
48,Kishoreganj ,30,Dhaka,96,Kishoreganj,Kishoreganj,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.4,91.7,91.7,89.9,82.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,92.2,92.2,92.2,85.2,97.6,96.7,82.9,63.3,43.8,96.7,93.8,87.1,71.9,51.0,93.3,95.2,90.5,88.1,35.2,94.3,95.7,88.6,82.9,2010
49,Kurigram ,55,Rangpur,94,Kurigram,Kurigram,99.3,99.3,99.3,99.3,99.3,99.3,99.3,97.9,87.9,87.9,91.4,81.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.3,88.7,88.7,94.2,83.5,100.0,99.0,89.0,51.0,17.1,100.0,100.0,89.5,57.6,32.4,96.2,93.3,85.7,82.4,96.7,92.9,100.0,90.5,85.7,2010
50,Kushtia ,40,Khulna,93,Kushtia,Kushtia,100.0,100.0,100.0,100.0,98.2,97.4,97.4,93.5,88.4,88.4,89.4,83.0,100.0,100.0,100.0,100.0,98.2,97.4,97.4,94.3,88.4,88.4,92.1,84.8,98.6,97.1,85.2,65.7,41.9,94.3,89.5,76.2,54.8,34.3,96.7,98.1,86.7,85.7,20.0,97.6,96.7,96.7,79.5,2010
