DistrictCode,DistrictName,DivisionCode,DivisionName,FuzzRatio,Geo,Survey.Units,BCG_Children12M,OPV1_Children12M,PENTA1_Children12M,OPV2_Children12M,PENTA2_Children12M,OPV3_Children12M,PENTA3_Children12M,Measles_Children12M,Fully_Children12M,BCG_Children23M,OPV1_Children23M,PENTA1_Children23M,OPV2_Children23M,PENTA2_Children23M,OPV3_Children23M,PENTA3_Children23M,Measles_Children23M,Fully_Children23M,InvalidPENTA1_Infant12M,InvalidPENTA2_Infant12M,InvalidPENTA3_Infant12M,InvalidMeasles_Infant12M,DropoutPENTA1-PENTA3_Children23M,DropoutPENTA1-Measles_Children23M,TT1_Mother0-11MChildren,TT2_Mother0-11MChildren,TT3_Mother0-11MChildren,TT4_Mother0-11MChildren,TT5_Mother0-11MChildren,TT1_Woman18-49Y,TT2_Woman18-49Y,TT3_Woman18-49Y,TT4_Woman18-49Y,TT5_Woman18-49Y,PAB_Mother0-11MChildren,OPVCoverage_1stRound_Children59M,OPVCoverage_2stRound_Children59M,OPVCoverage_All_Children59M,VitACoverage_Infants6-11M,VitACoverage_Children12-59M,VitACoverage_PostPartum,AnthelminticCoverage_Children24-59M,Year
85,Rangpur ,55,Rangpur,67,Rangpur Division,Rangpur Division,99.7,95.3,90.8,95.0,93.8,92.3,92.7,86.4,81.5,99.7,95.3,90.8,95.0,93.8,93.1,93.1,90.2,84.8,4.8,6.0,7.4,3.7,1.6,5.3,99.1,97.0,83.4,64.2,43.5,93.4,89.5,72.4,52.8,32.6,95.3,98.5,98.3,97.6,84.4,93.9,45.6,92.6,2013
82,Rajbari ,30,Dhaka,18,RCC,RCC,100.0,98.3,94.9,97.4,97.4,95.2,95.2,93.7,90.8,,,,,,,,,,3.4,3.4,3.5,1.8,1.4,2.9,98.6,97.6,93.3,77.6,60.5,97.1,94.8,86.2,72.4,52.4,96.2,100.0,100.0,100.0,72.4,98.6,50.5,90.0,2013
55,Magura ,40,Khulna,50,Rural,Rural,99.3,95.4,91.1,94.5,93.1,92.2,92.5,86.4,81.2,,,,,,,,,,4.5,6.1,7.6,3.8,2.0,6.1,97.8,95.8,83.6,64.3,43.9,91.6,88.6,73.6,52.2,32.0,90.6,95.7,94.4,93.7,83.0,92.1,35.3,89.5,2013
87,Satkhira ,40,Khulna,94,Satkhira,Satkhira,100.0,97.3,95.1,96.7,95.6,95.2,95.8,89.0,86.7,100.0,97.3,95.1,96.7,95.6,95.2,95.8,91.3,89.0,2.2,3.8,3.9,3.6,1.0,4.8,98.6,97.1,89.5,74.8,56.7,95.7,91.0,67.6,41.0,21.9,86.7,96.7,97.1,96.2,76.7,95.2,21.9,94.8,2013
91,Sylhet ,60,Sylhet,20,SCC,SCC,99.0,97.7,97.0,96.6,95.9,94.2,94.2,85.7,85.2,,,,,,,,,,0.7,1.4,1.4,3.0,2.9,5.3,93.8,91.4,74.3,47.1,35.2,80.5,75.7,61.0,44.8,29.5,79.5,99.5,98.6,98.6,96.2,97.1,31.4,87.1,2013
88,Sirajganj ,50,Rajshahi,84,Serajganj,Serajganj,100.0,97.0,88.2,96.4,95.1,93.8,98.2,88.0,82.7,100.0,97.0,88.2,96.4,95.1,94.4,98.2,90.6,84.7,8.9,10.3,10.3,6.8,0.0,1.9,99.0,98.1,82.9,49.5,33.3,98.6,95.2,75.7,43.3,28.6,95.7,98.6,98.6,98.1,97.1,97.1,56.7,96.2,2013
86,Shariatpur ,30,Dhaka,95,Shariatpur,Shariatpur,99.5,97.4,92.3,95.3,91.0,92.7,93.4,80.4,73.0,99.5,97.4,92.3,95.3,91.0,93.4,93.4,85.4,77.3,5.1,9.4,11.7,9.4,1.9,4.3,98.1,93.3,78.6,65.2,47.1,91.9,89.5,79.5,57.1,41.0,90.5,93.8,85.7,85.7,81.4,89.0,28.1,82.4,2013
89,Sherpur ,30,Dhaka,93,Sherpur,Sherpur,99.5,89.6,85.0,89.8,88.5,88.6,87.9,87.7,81.1,99.5,90.3,85.0,90.5,89.1,89.2,88.6,89.9,82.6,5.3,6.8,8.9,5.4,1.0,3.8,98.6,96.7,82.4,59.5,35.2,84.3,83.3,74.8,55.2,37.1,91.4,97.1,91.9,91.9,90.5,95.2,41.9,92.4,2013
90,Sunamganj ,60,Sylhet,95,Sunamganj,Sunamganj,97.6,91.9,88.5,91.0,89.8,87.9,87.3,83.6,78.3,97.6,91.9,88.5,91.0,89.8,87.9,87.3,85.9,80.6,3.5,4.7,7.1,7.2,2.4,5.4,97.6,94.3,81.0,60.0,45.2,94.3,90.0,76.7,61.4,40.0,81.9,92.9,85.7,85.2,83.8,88.1,41.0,89.5,2013
91,Sylhet ,60,Sylhet,92,Sylhet,Sylhet,95.7,95.2,89.6,93.3,91.3,87.3,89.9,82.4,76.8,95.7,95.2,89.6,93.3,91.3,87.9,89.9,84.5,78.8,6.4,8.7,10.1,4.7,4.5,7.5,97.6,95.7,82.9,62.4,41.4,85.2,83.3,73.8,59.5,41.4,92.4,99.0,99.0,99.0,98.1,98.1,39.5,98.1,2013
91,Sylhet ,60,Sylhet,88,Sylhet CC,Sylhet CC,,,,,,,,,,99.0,97.7,97.0,96.6,95.9,94.2,94.2,90.4,89.9,,,,,,,,,,,,,,,,,,,,,,,,,2013
91,Sylhet ,60,Sylhet,64,Sylhet Division,Sylhet Division,97.9,94.8,91.3,94.2,92.9,90.7,91.3,84.7,80.7,97.9,94.8,91.3,94.2,92.9,91.2,91.5,87.4,83.4,3.7,5.1,6.6,4.8,2.5,5.6,95.4,92.1,78.7,60.0,43.6,87.4,84.1,70.1,53.9,35.0,95.8,95.3,92.8,92.4,91.7,92.2,38.3,89.5,2013
93,Tangail ,30,Dhaka,93,Tangail,Tangail,98.6,93.2,88.4,92.2,91.0,88.3,90.0,86.7,82.3,98.6,93.2,88.4,92.2,91.0,88.9,90.6,91.1,86.7,5.5,7.3,8.0,3.5,1.4,4.3,95.7,92.9,80.0,58.6,37.6,85.7,81.0,60.0,45.2,28.6,88.6,90.5,84.3,81.9,79.0,84.3,39.5,78.6,2013
94,Thakurgaon ,55,Rangpur,95,Thakurgaon,Thakurgaon,99.5,91.4,88.5,91.9,90.2,89.7,87.9,89.1,82.8,99.5,91.4,88.5,91.9,90.2,91.4,88.5,93.4,85.9,3.5,5.3,8.4,1.4,0.5,4.3,100.0,96.2,86.2,68.1,44.3,96.7,94.3,72.9,54.8,31.9,93.3,99.0,97.6,97.1,88.6,93.8,15.2,92.9,2013
03,Bandarban ,20,Chittagong,53,Urban,Urban,99.3,94.6,90.9,93.6,92.4,90.8,91.1,84.3,80.4,99.3,94.6,90.9,93.7,92.5,91.5,91.4,88.6,84.1,3.9,5.0,6.6,3.9,2.3,6.2,98.5,97.3,83.8,62.6,43.3,91.9,89.1,73.8,52.4,33.2,92.7,96.7,95.8,95.2,87.3,94.3,37.2,89.7,2013
