DistrictCode,DistrictName,DivisionCode,DivisionName,FuzzRatio,Geo,Survey.Units,BCG_Children23M,OPV1_Children23M,PENTA1_Children23M,OPV2_Children23M,PENTA2_Children23M,OPV3_Children23M,PENTA3_Children23M,Measles_Children23M,Fully_Children23M,BCG_Children12M,OPV1_Children12M,PENTA1_Children12M,OPV2_Children12M,PENTA2_Children12M,OPV3_Children12M,PENTA3_Children12M,Measles_Children12M,Fully_Children12M,DropoutPENTA1-PENTA3_Male23M,DropoutPENTA1-PENTA3_Female23M,DropoutPENTA1-PENTA3_Children23M,DropoutPENTA1-Measles_Male23M,DropoutPENTA1-Measles_Female23M,DropoutPENTA1-Measles_Children23M,InvalidPENTA1_Infant12M,InvalidPENTA2_Infant12M,InvalidPENTA3_Infant12M,InvalidMeasles_Infant12M,Measles2ndDoseCrude,Measles2ndDose_Children18M,Measles2ndDose_Children23M,TT1_Mother0-11MChildren,TT2_Mother0-11MChildren,TT3_Mother0-11MChildren,TT4_Mother0-11MChildren,TT5_Mother0-11MChildren,TetanusAtBirth_Mother0-11MChildren,TT1_Woman18-49Y,TT2_Woman18-49Y,TT3_Woman18-49Y,TT4_Woman18-49Y,TT5_Woman18-49Y,Year
26,Dhaka ,30,Dhaka,60,Dhaka Division,Dhaka Division,99.5,93.4,93.4,94.0,94.0,93.1,93.1,91.0,85.4,99.4,93.3,93.3,93.7,93.7,92.6,92.6,86.1,81.1,2.0,3.2,2.6,5.6,6.7,6.2,3.2,4.7,6.2,2.6,83.0,72.3,78.2,96.2,94.8,81.9,64.8,45.1,89.3,93.1,90.3,77.5,61.0,42.2,2015
26,Dhaka ,30,Dhaka,60,Dhaka North CC,Dhaka North CC,100.0,93.1,93.1,93.0,93.0,90.0,90.0,81.7,75.6,100.0,93.1,93.1,92.3,92.3,88.5,88.5,71.1,67.2,3.7,8.8,6.2,13.0,14.7,13.8,4.6,6.2,7.3,6.0,73.8,62.8,67.8,91.9,90.5,70.0,46.7,29.5,85.2,93.3,91.0,71.4,56.2,38.6,2015
26,Dhaka ,30,Dhaka,60,Dhaka South CC,Dhaka South CC,100.0,90.0,90.0,91.8,91.8,94.3,94.3,90.7,86.3,100.0,90.0,90.0,90.6,90.6,90.6,90.6,84.6,81.3,2.8,4.0,3.3,5.5,5.9,5.7,5.6,7.1,9.0,4.1,86.2,62.8,71.6,84.3,83.8,72.9,62.4,50.0,83.8,86.7,85.7,73.8,60.5,40.0,2015
27,Dinajpur ,55,Rangpur,94,Dinajpur,Dinajpur,99.5,96.9,96.9,95.4,95.4,96.5,96.5,95.1,88.3,99.5,96.9,96.9,95.4,95.4,96.5,96.5,90.9,84.2,0.0,1.0,0.5,0.9,3.1,1.9,2.6,5.7,7.8,2.7,92.9,85.7,89.0,98.1,97.6,88.6,69.5,50.0,89.0,99.0,96.7,89.0,72.9,56.2,2015
29,Faridpur ,30,Dhaka,94,Faridpur,Faridpur,100.0,92.7,92.7,92.7,92.7,92.9,92.9,88.5,84.3,100.0,92.7,92.7,92.7,92.7,92.9,92.9,86.8,82.5,4.6,4.9,4.8,8.3,7.8,8.1,3.4,4.0,4.8,3.8,81.4,71.2,78.7,99.0,96.7,84.8,71.0,49.5,91.4,97.6,96.2,84.3,68.1,43.3,2015
30,Feni ,20,Chittagong,89,Feni,Feni,100.0,96.6,96.6,95.6,95.6,95.7,95.7,93.4,89.9,100.0,96.6,96.6,95.6,95.6,95.7,95.7,92.3,88.8,1.8,1.0,1.4,4.5,4.0,4.3,1.7,3.4,4.6,2.4,88.1,82.1,83.9,99.0,97.6,91.4,81.9,62.4,90.5,94.8,94.3,83.8,69.5,53.8,2015
32,Gaibandha ,55,Rangpur,95,Gaibandha,Gaibandha,99.5,93.5,93.5,95.2,95.2,92.8,92.8,90.6,87.1,99.5,93.5,93.5,95.2,95.2,92.8,92.8,87.7,84.7,4.6,1.0,2.9,6.4,6.1,6.3,2.8,3.4,4.7,2.6,80.0,74.9,78.3,99.0,98.1,87.1,66.7,40.0,91.9,98.6,98.1,91.0,64.8,46.2,2015
33,Gazipur ,30,Dhaka,93,Gazipur,Gazipur,99.5,92.7,92.7,93.0,93.0,93.7,93.7,93.0,88.9,99.5,92.7,92.7,93.0,93.0,92.6,92.6,83.1,78.9,1.8,3.2,2.4,5.3,4.2,4.8,2.9,4.6,5.3,2.1,80.0,64.3,74.3,96.7,93.8,81.0,70.0,51.4,87.6,91.0,87.1,74.8,58.6,40.0,2015
33,Gazipur ,30,Dhaka,89,Gazipur CC,Gazipur CC,99.0,94.1,94.1,94.6,94.6,91.7,91.7,91.2,84.8,99.0,94.1,94.1,94.6,94.6,91.7,91.7,82.6,77.5,2.8,2.0,2.4,7.3,7.1,7.2,2.1,3.6,6.6,0.9,77.6,72.1,76.7,97.6,96.2,80.5,59.0,35.7,94.3,94.8,92.9,75.2,59.5,40.0,2015
35,Gopalganj ,30,Dhaka,95,Gopalganj,Gopalganj,99.5,91.1,91.1,94.8,94.8,93.9,93.9,91.2,86.2,99.0,90.5,90.5,94.3,94.3,93.4,93.4,83.6,78.5,1.7,1.1,1.4,5.2,6.5,5.8,5.4,6.5,6.5,2.5,91.4,76.0,84.9,96.2,94.3,77.1,57.1,37.1,87.1,98.1,97.6,88.1,65.2,41.0,2015
