DistrictCode,DistrictName,DivisionCode,DivisionName,FuzzRatio,Geo,Survey.Units,BCG_Children12M,DPT1_Children12M,DPT2_Children12M,DPT3_Children12M,OPV1_Children12M,OPV2_Children12M,OPV3_Children12M,Measles_Children12M,Fully_Children12M,TT1_Woman15-49Y,TT2_Woman15-49Y,TT3_Woman15-49Y,TT4_Woman15-49Y,TT5_Woman15-49Y,TT1_Woman18-25Y,TT2_Woman18-25Y,TT3_Woman18-25Y,TT4_Woman18-25Y,TT5_Woman18-25Y,MeaslesCoverage_Children9M-9Y,OPVCoverage_1stRound_Children59M,OPVCoverage_2stRound_Children59M,OPVCoverage_3stRound_Children59M,OPVCoverage_All_Children59M,VitACoverage_PostPartum,VitACoverage_Children12-59M,VitACoverage_Infants9-11M,AnthelminticCoverage_Children24-59M,Year
15,Chittagong ,20,Chittagong,73,Chittagong Division,Chittagong Division,95.8,94.7,91.7,78.4,94.7,91.9,87.5,73.1,66.0,95.1,92.8,74.2,45.1,22.2,88.7,84.7,61.7,32.5,13.5,80.0,94.9,93.4,93.3,88.3,25.4,88.9,88.9,84.0,2006
18,Chuadanga ,40,Khulna,95,Chuadanga,Chuadanga,100.0,97.1,98.8,87.9,97.1,99.5,97.0,89.2,79.4,97.6,95.7,76.2,35.2,14.8,91.0,84.8,56.2,27.6,8.1,84.8,98.1,97.1,98.1,95.7,26.7,92.0,92.0,93.8,2006
19,Comilla ,20,Chittagong,93,Comilla,Comilla,99.5,98.0,96.9,78.7,98.0,97.6,95.1,79.1,65.9,99.5,98.6,86.2,54.3,21.0,92.4,89.5,59.0,28.6,7.1,83.8,96.7,94.8,94.3,90.5,11.9,79.7,71.4,81.0,2006
22,Cox's Bazar ,20,Chittagong,87,Coxs Bazar,Coxs Bazar,97.6,95.2,85.6,72.9,95.2,86.2,80.1,65.0,60.6,98.1,92.9,73.8,51.9,30.0,97.1,94.8,75.7,45.7,15.2,81.0,96.2,92.9,96.7,91.4,11.9,86.8,45.1,83.5,2006
26,Dhaka ,30,Dhaka,91,Dhaka,Dhaka,99.5,99.0,97.8,87.9,99.0,97.8,97.6,82.9,75.6,96.2,93.8,77.1,50.0,28.1,88.1,84.3,62.4,37.6,21.4,89.5,98.6,97.6,97.1,95.2,29.5,96.2,83.0,93.4,2006
26,Dhaka ,30,Dhaka,86,Dhaka CC,Dhaka CC,98.6,97.6,97.1,85.8,97.6,97.1,91.8,80.3,75.7,97.1,95.7,71.9,35.2,14.3,75.7,68.1,47.1,30.0,19.5,85.2,99.0,98.1,95.2,92.9,39.5,89.8,78.6,82.1,2006
26,Dhaka ,30,Dhaka,60,Dhaka Division,Dhaka Division,98.9,98.0,96.3,84.6,98.1,96.7,93.1,77.9,71.5,97.0,94.7,73.5,41.4,19.2,90.5,85.8,63.5,34.5,16.2,88.8,97.6,97.0,96.6,93.7,28.8,93.0,74.9,88.2,2006
27,Dinajpur ,55,Rangpur,94,Dinajpur,Dinajpur,100.0,99.5,96.7,91.8,99.5,96.7,95.6,81.9,77.5,98.6,97.1,83.3,53.3,26.2,96.2,92.4,76.2,49.0,25.2,84.3,99.0,97.1,93.8,91.9,15.7,91.6,79.9,,2006
29,Faridpur ,30,Dhaka,94,Faridpur,Faridpur,99.5,99.5,98.1,80.3,99.5,98.1,93.4,72.5,67.7,97.6,95.7,70.5,43.8,21.0,94.3,91.0,69.5,41.9,19.0,96.2,98.1,97.6,95.2,95.2,42.9,90.7,72.2,83.5,2006
30,Feni ,20,Chittagong,89,Feni,Feni,99.5,99.0,98.5,89.7,99.0,99.0,96.3,86.6,81.3,98.1,97.6,86.7,61.4,26.7,96.7,96.7,85.7,52.9,25.7,80.5,100.0,100.0,100.0,100.0,11.4,98.5,98.5,93.0,2006
32,Gaibandha ,55,Rangpur,95,Gaibandha,Gaibandha,100.0,99.2,97.3,83.4,99.2,97.3,90.4,66.8,59.7,98.1,95.2,65.2,37.1,11.9,89.5,82.4,54.3,26.7,11.0,92.9,97.1,97.1,97.6,96.7,81.9,96.1,63.4,92.1,2006
33,Gazipur ,30,Dhaka,93,Gazipur,Gazipur,98.6,98.6,97.1,85.8,98.6,97.1,94.3,75.1,69.8,98.6,97.1,80.5,41.0,19.5,94.3,90.0,66.2,37.1,17.6,91.0,99.5,98.1,99.0,96.7,44.8,92.6,74.0,89.0,2006
35,Gopalganj ,30,Dhaka,95,Gopalganj,Gopalganj,99.5,99.5,96.7,82.8,99.5,96.7,90.3,74.8,67.2,93.8,91.0,70.0,44.3,18.1,81.4,75.2,49.0,27.1,13.8,89.5,99.5,98.1,97.1,97.1,41.0,95.1,78.5,88.3,2006
