thana_Name,Shukhi,Apon,Pill_total,Condom,Inj_vial,Inj_siringe,IUD_normal,IUD_partum,IUD_total,IUD_remove,Imp_normal,Imp_Jadel,Imp_total,implant_remove,ecp,misoprostol,mrm_pack,inj_mgs4,mnp_saset,ifa_number,sanitary_pad,per_male,femalenormal,femalepn,female_total,Permanent_method,Year,Month,District,Division,program
Nakla,2188884,7053,2195937,1345668,228374,124558,4835,11,4846,239,7193,331,7524,2008,1587,5603,3,0,0,0,5,733,679,493,1172,1905,2018,12,0414,08,distributionGO_thanaconsuprocess
Sribordi,2893945,8049,2901994,2375149,261761,144334,4767,7,4774,142,7440,1,7441,2622,2530,9923,0,0,0,0,276,1119,432,307,738,1857,2018,12,0414,08,distributionGO_thanaconsuprocess
Sherpur Sadar,5127997,14635,5142632,4653353,797527,569199,10703,43,10746,36,14890,0,14890,47,1410,12806,114,0,0,44808,706,2212,1761,1605,3366,5578,2018,12,0414,08,distributionGO_thanaconsuprocess
Nalitabari,2890313,7742,2898055,2383600,217166,113890,2691,10,2701,210,7146,0,7146,2473,2011,6517,3,0,0,813,258,1588,652,398,1050,2638,2018,12,0414,08,distributionGO_thanaconsuprocess
Jhenaigati,2326034,4568,2330602,1430730,180177,98334,1896,0,1896,101,4841,7,4848,988,705,6824,0,0,0,0,0,898,399,259,658,1556,2018,12,0414,08,distributionGO_thanaconsuprocess
Sharasti,993096,8389,1001485,699788,333101,183158,3711,0,3711,229,2143,8,2151,300,1956,12594,0,0,0,0,10,193,1657,411,2068,2261,2018,12,0503,05,distributionGO_thanaconsuprocess
Matlab (South),1119918,11573,1131491,1689952,380705,180266,3479,8,3487,138,2790,177,2967,841,6360,17596,2,0,0,0,0,303,1455,670,2123,2426,2018,12,0503,05,distributionGO_thanaconsuprocess
Hajiganj,1332790,11510,1344300,1304411,342485,185004,5263,22,5285,630,2464,109,2573,622,2143,9700,0,0,0,0,204,411,1705,1204,2909,3320,2018,12,0503,05,distributionGO_thanaconsuprocess
Chandpur Sadar,2266647,12584,2279231,2471632,452937,226092,9882,538,10420,705,7874,179,8053,2945,3495,12722,19,0,0,0,2,4471,2268,1684,3952,8423,2018,12,0503,05,distributionGO_thanaconsuprocess
Kachua,1995348,11321,2006669,3855982,525625,289779,5441,10,5451,67,3857,0,3857,16,3193,8785,0,0,0,0,0,929,1916,319,2235,3164,2018,12,0503,05,distributionGO_thanaconsuprocess
Faridganj,1955367,19992,1975359,2812529,401483,579478,5784,3,5787,461,5851,351,6202,1200,4344,16251,17,0,0,62,22,404,2556,471,2984,3388,2018,12,0503,05,distributionGO_thanaconsuprocess
Hemchar,692786,4363,697149,361839,105096,59545,1641,0,1641,660,1188,0,1188,437,633,11111,0,0,0,485,46,247,509,0,509,756,2018,12,0503,05,distributionGO_thanaconsuprocess
Motlab (North),2056426,10331,2066757,2911294,281746,143467,5236,51,5287,335,5204,133,5337,450,1494,11115,0,0,0,0,0,144,2807,158,2965,3109,2018,12,0503,05,distributionGO_thanaconsuprocess
Bandarban Sadar,564358,9141,573499,587931,90457,58414,2689,225,2914,402,2805,11,2816,628,2280,8070,134,0,2500,0,62,1272,508,20,528,1800,2018,12,0511,05,distributionGO_thanaconsuprocess
Rowangchhari,218279,1887,220166,332398,20481,13723,697,3,700,127,1564,0,1564,266,821,2461,0,0,0,0,3,248,72,0,72,320,2018,12,0511,05,distributionGO_thanaconsuprocess
Ruma,185199,1753,186952,662334,12211,7482,1307,36,1343,76,1155,11,1166,118,526,1275,0,0,2700,86583,70,100,26,2,28,128,2018,12,0511,05,distributionGO_thanaconsuprocess
Thanchi,213935,1879,215814,237645,12698,6707,997,5,1002,39,1276,0,1276,147,842,2293,0,0,270,5905,8,139,106,0,106,245,2018,12,0511,05,distributionGO_thanaconsuprocess
Lama,649518,5869,655387,724320,103173,52666,3628,163,3791,317,1964,12,1976,169,2231,3048,90,0,0,224,0,844,582,8,582,1426,2018,12,0511,05,distributionGO_thanaconsuprocess
Alikadam,284721,2740,287461,448307,142254,72733,2051,42,2093,539,2034,0,2034,211,1085,2531,10,0,0,0,36,1320,339,0,349,1669,2018,12,0511,05,distributionGO_thanaconsuprocess
Naikhongchhari,615547,4169,619716,847129,67231,43547,1266,2,1268,24,1024,14,1038,7,1375,5014,1,0,0,52,0,1323,96,22,118,1441,2018,12,0511,05,distributionGO_thanaconsuprocess
Bhurungamari,3551265,6528,3557793,2710032,474296,246658,4841,199,5040,97,4958,0,4958,7,2187,8560,0,0,0,20,0,2632,4401,468,4860,7492,2018,12,0106,07,distributionGO_thanaconsuprocess
Roumari,1840904,5376,1846280,4436870,326126,175974,3585,0,3585,577,3796,3,3799,478,1138,18226,0,0,0,197,0,3809,557,3,560,4369,2018,12,0106,07,distributionGO_thanaconsuprocess
Kurigram Sadar,3273951,9531,3283482,1697236,535874,293057,4157,8,4165,485,5485,81,5566,491,3349,12413,0,0,0,0,32,2993,1810,0,1797,4790,2018,12,0106,07,distributionGO_thanaconsuprocess
Ulipur,6026217,9983,6036200,1858042,685993,372589,7822,0,7822,1353,6718,0,6718,1528,7964,11080,0,0,0,515,256,1425,1174,32,1208,2633,2018,12,0106,07,distributionGO_thanaconsuprocess
Nageswari,5639400,10509,5649909,1364943,630321,379453,8211,251,8462,1743,9108,141,9249,2123,3065,13915,0,0,0,546,36,6857,2508,58,2566,9423,2018,12,0106,07,distributionGO_thanaconsuprocess
Chilmari,2370611,6500,2377111,1209909,180649,83326,3588,40,3628,289,4788,95,4883,630,1520,7097,14,0,0,0,66,1152,885,16,893,2045,2018,12,0106,07,distributionGO_thanaconsuprocess
Fulbari,2061346,6952,2068298,714326,317278,188915,4370,8,4378,840,4954,65,5019,1724,3166,8351,16,0,0,0,30,1541,694,0,694,2235,2018,12,0106,07,distributionGO_thanaconsuprocess
