thana_Name,Shukhi,Apon,Pill_total,Condom,Inj_vial,Inj_siringe,IUD_normal,IUD_partum,IUD_total,IUD_remove,Imp_normal,Imp_Jadel,Imp_total,implant_remove,ecp,misoprostol,mrm_pack,inj_mgs4,mnp_saset,ifa_number,sanitary_pad,per_male,femalenormal,femalepn,female_total,Permanent_method,Year,Month,District,Division,program
Dhubaura,2139200,4935,2144135,2617481,191538,105338,2810,33,2843,345,2426,38,2464,634,1676,3702,13,0,0,7508,210,1502,707,0,707,2209,2018,12,0415,08,distributionGO_thanaconsuprocess
Fenchuganj,403739,4168,407907,935779,46716,25615,2587,37,2624,211,1938,23,1961,713,406,4546,0,0,0,0,0,676,1522,20,1540,2216,2018,12,0601,06,distributionGO_thanaconsuprocess
Gowainghat,1391077,16658,1407735,2959014,305750,196776,4335,1,4336,547,2976,37,3013,1047,7509,16013,104,0,109,7495,217,865,2933,0,2933,3798,2018,12,0601,06,distributionGO_thanaconsuprocess
Jakiganj,1442548,8358,1450906,5337636,161410,108825,3883,2,3885,426,4560,200,4760,1822,1625,5426,8,0,0,0,9,1563,1010,0,1010,2573,2018,12,0601,06,distributionGO_thanaconsuprocess
Jaintapur,914507,5626,920133,3072094,267713,161857,5482,39,5521,484,2556,12,2568,559,1838,8886,128,0,0,0,240,1036,1435,0,1435,2471,2018,12,0601,06,distributionGO_thanaconsuprocess
Balaganj,1655969,12284,1668253,4918915,265998,166718,3627,4,3631,795,5727,45,5772,2422,3243,10453,1,0,0,0,86,895,4277,0,4260,5155,2018,12,0601,06,distributionGO_thanaconsuprocess
Golapganj,1141598,7812,1149410,3599422,105796,58289,4394,5,4399,398,4396,31,4427,1942,2718,6011,18,0,0,0,3,848,2008,0,2008,2856,2018,12,0601,06,distributionGO_thanaconsuprocess
Sylhet Sadar,4418782,19636,4438418,7684401,796984,577181,10571,1077,11648,781,19757,406,20163,4249,3718,5707,15,0,0,0,257,8928,17658,7381,25028,33956,2018,12,0601,06,distributionGO_thanaconsuprocess
Biani Bazar,1094571,14146,1108717,2817074,87381,53291,8298,20,8318,408,1495,0,1495,433,795,3314,8,0,80,58788,398,811,700,207,907,1718,2018,12,0601,06,distributionGO_thanaconsuprocess
Kanaighat,1579072,12906,1591978,4504292,278721,171093,3550,13,3563,1086,2784,29,2813,894,3059,4403,0,0,0,310174,179,1794,1335,0,1334,3128,2018,12,0601,06,distributionGO_thanaconsuprocess
Biswanath,634945,4637,639582,1284151,64360,38074,3733,2,3735,141,3356,0,3356,1520,345,8117,0,77,0,15554,239,880,3476,0,3426,4306,2018,12,0601,06,distributionGO_thanaconsuprocess
Companiganj,982141,8587,990728,2319041,177981,108429,2567,3,2570,861,2966,110,3076,759,1518,3914,0,0,0,866,347,157,2270,0,2270,2427,2018,12,0601,06,distributionGO_thanaconsuprocess
South Shurma,1712979,33872,1746851,4178106,148724,103587,2580,6,2586,84,1753,1,1754,127,981,4365,29,0,0,0,98,1574,3983,2,3981,5555,2018,12,0601,06,distributionGO_thanaconsuprocess
Gangachara,2964329,9635,2973964,1146442,502665,298203,5396,13,5409,620,11527,164,11691,3277,2536,8528,0,0,0,47960,66,10702,837,41,878,11580,2018,12,0105,07,distributionGO_thanaconsuprocess
Pirganj,5677416,13202,5690618,3678985,623688,292993,9764,72,9836,1211,7019,0,7019,1685,1961,13376,0,0,0,0,6,1517,1665,8,1673,3190,2018,12,0105,07,distributionGO_thanaconsuprocess
Pirgachha,3538758,6165,3544923,2775548,568924,308842,10175,38,10213,741,6943,278,7221,1082,2618,5226,49,2,847000,392891,149,3476,1359,0,1353,4829,2018,12,0105,07,distributionGO_thanaconsuprocess
Badarganj,3546562,11198,3557760,1430020,300497,175112,5029,24,5053,80,8193,0,8193,2626,1936,8172,0,18,511815,309810,115,9329,1282,0,1282,10611,2018,12,0105,07,distributionGO_thanaconsuprocess
Mithapukur,5578885,12364,5591249,3540400,655880,303973,4544,0,4544,104,13456,201,13657,4515,4679,12944,0,0,0,0,7,1918,1400,6,1400,3318,2018,12,0105,07,distributionGO_thanaconsuprocess
Kaunia,2148550,5770,2154320,1832511,455071,231399,5415,217,5632,634,7887,50,7937,1632,2062,6225,3,0,0,0,31,3701,914,3,920,4621,2018,12,0105,07,distributionGO_thanaconsuprocess
Rangpur Sadar,5015462,17790,5033252,5179103,977079,481466,12843,526,13369,1055,23325,279,23604,5981,3821,17766,56,0,0,0,31,22158,15643,5532,21175,43333,2018,12,0105,07,distributionGO_thanaconsuprocess
Taraganj,1493925,6133,1500058,929862,166785,92202,1837,1,1838,185,8640,0,8640,5046,1962,5642,2,16,215,5906,636,6678,1380,0,1370,8048,2018,12,0105,07,distributionGO_thanaconsuprocess
Rajoir,2556538,11280,2567818,2583864,256916,131963,5340,0,5340,12,5349,30,5379,13,1222,5368,1,0,0,0,23,112,2307,62,2252,2364,2018,12,0402,04,distributionGO_thanaconsuprocess
Kalkini,2211531,11807,2223338,1566692,213169,106771,6469,0,6469,433,7870,200,8070,576,2769,11047,0,0,0,0,44,815,1307,0,1300,2115,2018,12,0402,04,distributionGO_thanaconsuprocess
Shibchar,3594155,14861,3609016,3915699,434833,217419,5888,0,5888,557,7273,0,7273,0,4800,10692,0,0,0,0,7,425,1358,100,1456,1881,2018,12,0402,04,distributionGO_thanaconsuprocess
Madaripur Sadar,2729927,17196,2747123,2782879,582004,345583,11794,125,11919,963,9566,571,10137,1776,2917,12303,113,1,18,27,45,727,2853,1253,4106,4833,2018,12,0402,04,distributionGO_thanaconsuprocess
Digholia,3233637,7727,3241364,9660780,664563,430931,6405,12,6417,10,8064,719,8783,1241,1672,7302,46,0,5,0,83,2753,2173,560,2720,5473,2018,12,0208,02,distributionGO_thanaconsuprocess
Dumuria,2908282,5865,2914147,3256530,261687,176438,8667,0,8667,156,11789,100,11889,1866,3901,8989,139,0,0,0,81,1864,4485,29,4510,6374,2018,12,0208,02,distributionGO_thanaconsuprocess
Khulna Sadar,5455931,2820,5458751,15353685,772691,366566,11370,2252,13622,762,10366,70,10436,1927,5936,1897,66,0,0,966,276,36402,3367,1167,4434,40836,2018,12,0208,02,distributionGO_thanaconsuprocess
Dacope,1586537,4383,1590920,892845,106601,55083,3181,1,3182,36,4306,401,4707,588,1404,4164,46,0,0,0,12,1667,1933,22,1954,3621,2018,12,0208,02,distributionGO_thanaconsuprocess
Terokhada,1379566,3495,1383061,1800458,50011,32791,3059,2,3061,118,4301,13,4314,684,1727,3966,55,0,0,0,33,579,911,59,958,1537,2018,12,0208,02,distributionGO_thanaconsuprocess
Fultala,1174807,3550,1178357,2787747,145456,79748,5474,0,5474,148,3646,128,3774,890,1571,5198,4,0,0,0,0,994,1233,150,1383,2377,2018,12,0208,02,distributionGO_thanaconsuprocess
Batiaghata,1701870,6847,1708717,1684409,112172,67982,5272,4,5276,537,3283,50,3333,824,2144,6639,11,0,0,0,5,2188,929,58,979,3167,2018,12,0208,02,distributionGO_thanaconsuprocess
Paikgachha,2937100,7277,2944377,1733423,156879,88387,3359,5,3364,269,8029,161,8190,1371,1422,4440,17,0,0,0,7,1458,3418,462,3879,5337,2018,12,0208,02,distributionGO_thanaconsuprocess
Rupsha,1609418,4411,1613829,1735030,111815,55718,6327,7,6334,261,3469,807,4276,769,1835,4566,76,21,1,0,72,1632,2350,386,2736,4368,2018,12,0208,02,distributionGO_thanaconsuprocess
Koyra,2792109,9414,2801523,1641887,86773,47638,1751,6,1757,80,4083,44,4127,708,1877,5356,4,0,0,1849,152,1144,1576,5,1581,2725,2018,12,0208,02,distributionGO_thanaconsuprocess
Harinakunda,2235181,8141,2243322,793557,147399,81296,4066,149,4215,520,8639,165,8804,2577,1374,5075,474,71,13,41,10,64,1899,914,2813,2877,2018,12,0204,02,distributionGO_thanaconsuprocess
Moheshpur,2300010,8428,2308438,2835852,474325,260018,6409,37,6446,251,5819,49,5868,181,3638,5856,213,96,0,0,0,302,3043,855,3896,4198,2018,12,0204,02,distributionGO_thanaconsuprocess
Jhenaidaha Sadar,4064407,11236,4075643,3797196,478772,258708,10070,105,10175,589,11186,225,11411,1181,6980,6700,288,1,0,0,0,262,2877,1876,4753,5015,2018,12,0204,02,distributionGO_thanaconsuprocess
Kotchandpur,1211699,4066,1215765,1063028,140352,88475,1775,14,1789,100,3325,39,3364,424,1166,2727,63,14,0,0,0,148,1105,637,1742,1890,2018,12,0204,02,distributionGO_thanaconsuprocess
Kaliganj,2565582,8490,2574072,2074352,190841,119005,2979,0,2979,356,4550,18,4568,1481,4443,8325,191,72,11,0,0,155,2227,1361,3588,3743,2018,12,0204,02,distributionGO_thanaconsuprocess
Sailkupa,3964322,10311,3974633,3472614,258155,136516,3762,53,3815,434,11609,212,11821,2786,7077,8554,396,0,0,0,0,1142,2992,944,3936,5078,2018,12,0204,02,distributionGO_thanaconsuprocess
Kathalia,937920,4917,942837,1002368,135012,58359,3280,0,3280,3,1604,0,1604,0,7179,6351,0,0,0,0,81,1275,238,19,257,1532,2018,12,0304,03,distributionGO_thanaconsuprocess
Jhalakati Sadar,1479689,9564,1489253,1380247,159597,76697,4189,62,4251,301,6909,237,7146,2140,1869,7086,141,0,0,0,64,1063,1752,681,2429,3492,2018,12,0304,03,distributionGO_thanaconsuprocess
Rajapur,889682,5728,895410,1219351,101846,52806,1444,0,1444,148,1333,0,1333,421,2091,5128,56,2,0,0,40,1095,280,371,651,1746,2018,12,0304,03,distributionGO_thanaconsuprocess
Nalchhiti,1166504,10428,1176932,933798,223662,123043,5106,5,5111,529,4123,114,4237,1966,3720,11242,24,0,0,36172,174,1333,1915,0,1915,3248,2018,12,0304,03,distributionGO_thanaconsuprocess
Atghoria,1486618,4664,1491282,1238524,113099,50017,4309,5,4314,152,3740,50,3790,879,3052,5853,28,0,0,0,4,388,608,2,609,997,2018,12,0115,01,distributionGO_thanaconsuprocess
Pabna Sadar,8354783,18927,8373710,8941580,1362005,757092,19189,2541,21730,2855,10709,129,10838,4011,14634,8014,23,0,33,0,73,11751,2870,1606,4420,16171,2018,12,0115,01,distributionGO_thanaconsuprocess
Chatmohor,3880519,13699,3894218,3976367,148238,83638,10355,1,10356,297,4993,0,4993,1034,4662,15636,0,0,0,251,668,744,1747,0,1746,2490,2018,12,0115,01,distributionGO_thanaconsuprocess
Ishwardi,2713748,11906,2725654,4408687,376757,184584,8738,28,8766,1077,8939,308,9247,3882,3781,10201,0,0,0,0,0,932,2044,417,2461,3393,2018,12,0115,01,distributionGO_thanaconsuprocess
Faridpur,855451,4730,860181,1149919,187925,96913,3838,104,3942,384,3109,0,3109,434,3018,6335,0,0,0,0,28,905,415,100,515,1420,2018,12,0115,01,distributionGO_thanaconsuprocess
Sujanagar,2457772,10012,2467784,2682890,314205,187893,11138,0,11138,497,3217,200,3417,671,4514,12665,0,0,0,0,51,92,710,1,711,803,2018,12,0115,01,distributionGO_thanaconsuprocess
Santhia,3930565,14657,3945222,2677380,611638,345893,9235,4,9239,812,6055,87,6142,3124,4977,13400,2,0,0,0,0,1570,2017,297,2314,3884,2018,12,0115,01,distributionGO_thanaconsuprocess
Bera,2350925,10929,2361854,1997551,261905,124017,9818,0,9818,505,4788,0,4788,1339,3261,8061,0,0,0,0,0,1128,1270,0,1270,2398,2018,12,0115,01,distributionGO_thanaconsuprocess
Bhangoora,1338086,4419,1342505,1287072,44919,20491,3577,12,3589,276,1830,0,1830,649,3170,5727,0,0,0,0,3,832,405,0,405,1237,2018,12,0115,01,distributionGO_thanaconsuprocess
Kalia,1530039,15131,1545170,2181638,121311,66147,5969,0,5969,16,1707,0,1707,0,3575,12696,162,0,1034076,151444,28,590,3296,10,3303,3893,2018,12,0206,02,distributionGO_thanaconsuprocess
Lohagara,2119270,9038,2128308,2848922,240344,127562,5406,62,5468,136,4732,34,4766,74,5303,7127,19,0,522393,452424,0,1163,2363,261,2620,3783,2018,12,0206,02,distributionGO_thanaconsuprocess
Narail Sadar,3208273,11304,3219577,3770994,328499,167322,6407,67,6474,735,6190,61,6251,1238,4469,9030,82,5,409,78921,0,752,3594,738,4328,5080,2018,12,0206,02,distributionGO_thanaconsuprocess
Sariakandi,1519496,9422,1528918,1941214,219628,116053,5666,24,5690,512,11822,253,12075,3925,3488,6329,0,0,0,0,19,3570,2063,0,2063,5633,2018,12,0109,01,distributionGO_thanaconsuprocess
Sherpur,3123704,5848,3129552,3486228,276174,139761,6283,4,6287,628,8968,135,9103,2944,4038,5237,0,0,0,0,11,1724,3946,354,4297,6021,2018,12,0109,01,distributionGO_thanaconsuprocess
Shibganj,3871315,8614,3879929,3836998,460806,280509,4461,33,4494,244,8998,216,9214,937,6349,8953,0,0,0,0,32,2937,3319,285,3604,6541,2018,12,0109,01,distributionGO_thanaconsuprocess
Dhunot,3292593,14382,3306975,3305198,391532,174477,5896,47,5943,404,7435,243,7678,1778,2776,6565,0,0,0,0,68,1398,1734,35,1763,3161,2018,12,0109,01,distributionGO_thanaconsuprocess
Dupchanchia,1356118,7808,1363926,1117068,144394,66581,4089,16,4105,244,7878,201,8079,2051,2201,6173,71,0,0,0,109,1511,1576,777,2353,3864,2018,12,0109,01,distributionGO_thanaconsuprocess
Nandigram,2483322,2924,2486246,1250076,82500,34437,2562,0,2562,54,3392,100,3492,585,1690,6700,0,0,0,1080,15,1358,1520,402,1922,3280,2018,12,0109,01,distributionGO_thanaconsuprocess
Adamdighi,1533173,9619,1542792,1700857,104600,46389,3909,47,3956,379,4333,0,4333,1090,2627,4477,15,0,1,0,24,1594,2119,42,2160,3754,2018,12,0109,01,distributionGO_thanaconsuprocess
Bogra Sadar,3580196,5753,3585949,8542377,437047,224904,9861,902,10763,907,23942,819,24761,5631,7204,2221,9,24,19,0,0,6790,3452,1913,5378,12168,2018,12,0109,01,distributionGO_thanaconsuprocess
Kahaloo,1931995,9587,1941582,2289949,121887,63204,3989,36,4025,168,11751,219,11970,2427,3329,6012,42,0,0,0,4,2290,830,0,829,3119,2018,12,0109,01,distributionGO_thanaconsuprocess
Gabtali,2699598,8532,2708130,4106227,454234,218203,3596,15,3611,360,11608,396,12004,4903,3935,5005,0,0,0,0,116,654,777,4,776,1430,2018,12,0109,01,distributionGO_thanaconsuprocess
Sonatola,2606984,7704,2614688,2838915,194095,94149,7048,55,7103,427,7106,0,7106,2978,2461,6288,0,0,0,0,15,1127,1035,145,1180,2307,2018,12,0109,01,distributionGO_thanaconsuprocess
Shajahanpur,3427536,6983,3434519,5732158,216682,100505,5203,5,5208,425,9653,81,9734,2964,4843,4688,0,0,0,0,28,6390,2805,246,3054,9444,2018,12,0109,01,distributionGO_thanaconsuprocess
Mathbaria,2504302,14083,2518385,1454196,240724,123832,9750,0,9750,813,3033,0,3033,819,2955,8848,0,0,0,766377,155,1440,921,122,1027,2467,2018,12,0306,03,distributionGO_thanaconsuprocess
Nazirpur,1534306,15693,1549999,1531008,163508,94537,3925,37,3962,219,3124,91,3215,1033,1509,11095,0,0,0,475589,137,728,1167,134,1301,2029,2018,12,0306,03,distributionGO_thanaconsuprocess
Bhandaria,1035808,11162,1046970,1590004,136440,75315,3757,0,3757,68,3183,76,3259,1013,1925,9773,0,18,0,359997,13,754,206,471,680,1434,2018,12,0306,03,distributionGO_thanaconsuprocess
Pirojpur Sadar,1265290,7865,1273155,1502964,170302,82446,7687,127,7814,363,5624,161,5785,1752,3728,6786,53,0,0,657595,248,847,1134,1091,2201,3048,2018,12,0306,03,distributionGO_thanaconsuprocess
Nesarabad,1541387,11310,1552697,931071,136087,76229,4779,57,4836,466,4594,45,4639,1081,2588,7440,0,0,0,523088,134,545,979,46,1025,1570,2018,12,0306,03,distributionGO_thanaconsuprocess
Kawkhali,553893,3977,557870,550591,49899,27681,2814,59,2873,348,1945,66,2011,299,1659,2786,0,0,2480,212877,660,313,235,26,261,574,2018,12,0306,03,distributionGO_thanaconsuprocess
Indurkani,521282,7411,528693,405016,89026,43554,2769,2,2771,147,1910,0,1910,389,1704,6396,0,0,0,261544,0,242,161,167,322,564,2018,12,0306,03,distributionGO_thanaconsuprocess
Atpara,1751186,4409,1755595,1392550,107101,59229,2760,1,2761,250,3991,110,4101,538,1177,4945,0,0,0,0,39,1680,730,3,728,2408,2018,12,0417,08,distributionGO_thanaconsuprocess
Kalmakanda,2824551,4116,2828667,3322055,179550,103913,3526,3,3529,81,3427,214,3641,137,1093,2271,0,0,0,273,108,1842,956,2,956,2798,2018,12,0417,08,distributionGO_thanaconsuprocess
Modan,1783935,5161,1789096,1555042,90085,53212,2906,15,2921,110,3426,219,3645,1041,787,5853,0,0,0,0,91,1558,520,74,594,2152,2018,12,0417,08,distributionGO_thanaconsuprocess
Purbadhala,3440103,5561,3445664,2291647,293278,170622,5716,2,5718,402,7918,398,8316,910,1028,3904,3,0,0,0,163,1898,2060,0,2055,3953,2018,12,0417,08,distributionGO_thanaconsuprocess
Kendua,3201814,11483,3213297,1864604,181886,100637,8617,29,8646,1686,5284,650,5934,1983,1775,7246,0,0,0,1697,1,1990,1944,9,1953,3943,2018,12,0417,08,distributionGO_thanaconsuprocess
Netrokona Sadar,3444744,10753,3455497,3885847,339657,200976,6301,7,6308,510,9398,1473,10871,2492,1877,7167,250,0,0,1115,1181,3868,2425,1870,4264,8132,2018,12,0417,08,distributionGO_thanaconsuprocess
Durgapur,2448424,4169,2452593,2491270,267373,160709,4372,10,4382,238,4968,7,4975,517,859,1134,10,0,0,26862,882,1405,1601,0,1587,2992,2018,12,0417,08,distributionGO_thanaconsuprocess
Barhatta,1920801,8360,1929161,1868227,166522,108365,2890,8,2898,310,2850,0,2850,1057,960,3950,0,0,0,0,41,1411,1667,9,1676,3087,2018,12,0417,08,distributionGO_thanaconsuprocess
Mohonganj,2370425,3969,2374394,1572575,133634,82371,5546,10,5556,315,3227,100,3327,962,1095,4118,32,0,0,1460,229,1557,2024,9,2020,3577,2018,12,0417,08,distributionGO_thanaconsuprocess
Khaliajhuri,764802,3525,768327,907229,64357,35170,988,0,988,114,1593,0,1593,22,1666,1036,0,0,0,0,2,337,1418,3,1414,1751,2018,12,0417,08,distributionGO_thanaconsuprocess
Gobindaganj,6826170,11722,6837892,4725815,553036,306613,8676,24,8700,628,11717,0,11717,754,4299,5038,2,0,0,0,33,4409,3526,14,3503,7912,2018,12,0107,07,distributionGO_thanaconsuprocess
Sundarganj,6275841,12414,6288255,3646856,750265,440958,18004,0,18004,3307,21078,0,21078,9064,3446,8933,0,0,0,698339,218,5126,5102,6,5101,10227,2018,12,0107,07,distributionGO_thanaconsuprocess
Fulchhari,1824305,6351,1830656,2074764,340815,196444,4657,5,4662,1241,4924,103,5027,1152,2145,4624,21,0,0,36652,264,1276,1163,1,1162,2438,2018,12,0107,07,distributionGO_thanaconsuprocess
Sadullahpur,3765974,8213,3774187,3327693,513784,295423,8130,0,8130,1177,7525,7,7532,1664,3887,8177,0,0,20,0,49,4831,3365,0,3365,8196,2018,12,0107,07,distributionGO_thanaconsuprocess
Palashbari,2900721,8193,2908914,1227088,365477,190347,6899,40,6939,316,11382,102,11484,1394,4429,8175,0,0,0,0,64,3047,1550,93,1642,4689,2018,12,0107,07,distributionGO_thanaconsuprocess
Shaghata,3316810,7896,3324706,1322968,243602,126356,6155,0,6155,839,5568,2,5570,730,3519,7302,0,0,0,0,4,1602,2738,78,2809,4411,2018,12,0107,07,distributionGO_thanaconsuprocess
Gaibandha Sadar,4734083,14025,4748108,2581620,728392,357536,9975,485,10460,924,22453,685,23138,7540,4264,19411,11,0,0,934,114,4053,3852,1009,4838,8891,2018,12,0107,07,distributionGO_thanaconsuprocess
Sreemongal,2072697,11270,2083967,2173156,245984,136727,6321,37,6358,761,8285,220,8505,2865,5934,9784,0,0,0,42850,8,3913,1958,63,2021,5934,2018,12,0603,06,distributionGO_thanaconsuprocess
Barlekha,1303459,7658,1311117,1394371,85559,53622,3221,0,3221,315,4162,2,4164,826,2101,4341,0,3,0,12258,1140,1207,3429,85,3515,4722,2018,12,0603,06,distributionGO_thanaconsuprocess
Moulavi Bazar Sadar,1504155,13734,1517889,1772306,180504,102507,7087,307,7394,791,5744,10,5754,3053,5836,8146,86,0,0,0,12,8268,4360,901,5250,13518,2018,12,0603,06,distributionGO_thanaconsuprocess
Kulaura,1647262,9781,1657043,1900273,332388,193262,4240,1,4241,29,5010,71,5081,1030,14192,4212,0,1,0,23410,41,1984,2675,0,2675,4659,2018,12,0603,06,distributionGO_thanaconsuprocess
Rajnagar,1335945,7985,1343930,1283816,243265,120056,4649,0,4649,27,5116,80,5196,2561,3141,3518,127,0,0,307,799,565,1937,9,1946,2511,2018,12,0603,06,distributionGO_thanaconsuprocess
Komolganj,2371373,10120,2381493,2307370,176939,110167,5002,129,5131,1244,3444,74,3518,1629,3406,9227,81,0,0,0,22,1593,1178,20,1198,2791,2018,12,0603,06,distributionGO_thanaconsuprocess
Juri,781066,9316,790382,982091,58173,38472,4085,11,4096,466,2711,7,2718,183,815,6350,0,1,0,0,88,1583,2621,0,2587,4170,2018,12,0603,06,distributionGO_thanaconsuprocess
Mirzapur,4387935,15499,4403434,3762952,134052,78896,7929,175,8104,248,4004,198,4202,192,3186,17111,2,44,13,63948,65,1358,3969,587,4353,5711,2018,12,0412,04,distributionGO_thanaconsuprocess
Nagarpur,3509524,15410,3524934,3070507,279296,173133,8262,1,8263,697,9105,1,9106,2480,2584,13959,146,4,0,0,0,896,1751,697,2446,3342,2018,12,0412,04,distributionGO_thanaconsuprocess
Bhuapur,3117994,10589,3128583,3571969,278084,140169,4279,0,4279,405,7179,0,7179,2732,1312,13570,0,0,0,0,26,1423,250,341,591,2014,2018,12,0412,04,distributionGO_thanaconsuprocess
Ghatail,6140172,12761,6152933,6559483,488542,284530,6011,5,6016,279,8311,600,8911,1481,2386,16389,1,0,0,0,13,3032,1054,420,1465,4497,2018,12,0412,04,distributionGO_thanaconsuprocess
Basail,1947188,4641,1951829,4789119,162057,98505,4734,22,4756,387,4472,293,4765,1267,1851,7314,0,11,0,54759,583,1381,2313,521,2833,4214,2018,12,0412,04,distributionGO_thanaconsuprocess
Tangail Sadar,4631361,14001,4645362,7856491,514316,282314,9488,377,9865,908,20407,315,20722,4579,5323,32502,10,0,0,0,0,9697,2801,4246,7042,16739,2018,12,0412,04,distributionGO_thanaconsuprocess
Kalihati,5549115,22746,5571861,6253328,709670,456807,9293,53,9346,743,11587,207,11794,5746,2899,21514,4,0,0,7554,357,1542,804,958,1753,3295,2018,12,0412,04,distributionGO_thanaconsuprocess
Modhupur,7176041,16406,7192447,4452963,567432,299100,4252,83,4335,717,7080,483,7563,2106,2676,24140,196,0,0,223468,882,3320,611,1256,1862,5182,2018,12,0412,04,distributionGO_thanaconsuprocess
Gopalpur,3000832,8913,3009745,3122013,369173,164755,5900,35,5935,841,4961,386,5347,1876,2716,18795,0,0,8,0,145,1921,475,1362,1837,3758,2018,12,0412,04,distributionGO_thanaconsuprocess
Shakhipur,3736168,12660,3748828,2491032,123178,74237,3406,10,3416,49,2809,99,2908,707,2406,17390,80,0,0,847,143,2255,1031,865,1893,4148,2018,12,0412,04,distributionGO_thanaconsuprocess
Delduar,2873625,6163,2879788,4480467,183963,98778,5703,3,5706,442,5962,65,6027,1983,2506,8055,0,0,0,0,256,2016,958,312,1270,3286,2018,12,0412,04,distributionGO_thanaconsuprocess
Patuakhali Sadar,2382963,15945,2398908,2495033,529318,276701,9997,833,10830,499,10457,234,10691,2142,6163,18166,50,0,0,0,2,2421,2683,819,3484,5905,2018,12,0302,03,distributionGO_thanaconsuprocess
Kalapara,2078753,7458,2086211,1214111,413247,246893,5184,0,5184,517,7123,48,7171,1631,2389,11033,0,0,0,0,0,3507,805,450,1222,4729,2018,12,0302,03,distributionGO_thanaconsuprocess
Mirzaganj,1049809,5585,1055394,924724,114874,47684,3759,0,3759,97,4599,21,4620,977,3030,9868,0,0,0,259645,54,648,891,46,934,1582,2018,12,0302,03,distributionGO_thanaconsuprocess
Golachipa,3596297,14731,3611028,1374736,559654,306938,2723,0,2723,95,12430,62,12492,3627,4422,16643,0,0,0,0,10,1769,1849,559,2400,4169,2018,12,0302,03,distributionGO_thanaconsuprocess
Bauphal,2222665,14895,2237560,1176539,407184,180115,7607,88,7695,292,7170,0,7170,1473,8449,7395,12,0,0,0,0,1255,2172,422,2594,3849,2018,12,0302,03,distributionGO_thanaconsuprocess
Dashmina,782775,9926,792701,347066,132668,66698,3297,0,3297,132,6615,36,6651,1164,1511,6781,101,20,7,0,15,1280,587,1,590,1870,2018,12,0302,03,distributionGO_thanaconsuprocess
Dumki,411380,3355,414735,317814,79838,36146,1785,8,1793,104,2742,0,2742,847,1070,3051,0,0,0,0,5,627,418,214,632,1259,2018,12,0302,03,distributionGO_thanaconsuprocess
Durgapur,1495590,3666,1499256,2339902,128908,57404,1193,0,1193,277,5546,98,5644,1418,2032,7690,124,0,0,137,131,112,2387,120,2507,2619,2018,12,0113,01,distributionGO_thanaconsuprocess
Poba (Sadar),2108506,5225,2113731,4866158,539336,286268,2494,1,2495,97,4157,442,4599,317,3212,2626,0,0,0,0,0,117,2026,24,2048,2165,2018,12,0113,01,distributionGO_thanaconsuprocess
Mohanpur,1910011,2787,1912798,2371902,289301,153539,2007,1,2008,125,5522,217,5739,1402,2577,5739,0,0,0,0,65,451,1301,24,1326,1777,2018,12,0113,01,distributionGO_thanaconsuprocess
Puthiya,2005308,6376,2011684,3093542,208484,113512,1643,0,1643,151,4961,118,5079,1762,2435,5837,63,0,0,99,103,54,2495,486,2981,3035,2018,12,0113,01,distributionGO_thanaconsuprocess
Bagmara,5050302,8290,5058592,6661040,421420,207411,9120,101,9221,1027,10770,225,10995,1304,4743,7187,24,0,0,0,16,1843,4080,277,4357,6200,2018,12,0113,01,distributionGO_thanaconsuprocess
Charghat,2122022,4668,2126690,2641351,237640,100541,3274,59,3333,230,5168,0,5168,1359,3347,4910,9,0,0,0,91,212,2437,274,2710,2922,2018,12,0113,01,distributionGO_thanaconsuprocess
Boalia,1639132,10832,1649964,12746029,440576,257508,7304,614,7918,781,16826,90,16916,5931,8870,6556,227,0,0,158,0,31475,13081,2605,15681,47156,2018,12,0113,01,distributionGO_thanaconsuprocess
Tanore,2152005,6085,2158090,1781460,150263,84852,3992,38,4030,424,16171,0,16171,4741,2579,7413,160,32,0,0,0,919,4505,235,4740,5659,2018,12,0113,01,distributionGO_thanaconsuprocess
Godagari,2771463,10296,2781759,3833370,488977,254398,5555,83,5638,621,3598,600,4198,1407,5033,7603,32,8,0,0,0,624,3712,1165,4875,5499,2018,12,0113,01,distributionGO_thanaconsuprocess
Bagha,1667956,5037,1672993,3255871,288183,138130,1567,17,1584,163,5571,98,5669,2096,1715,3450,13,0,0,3228,100,279,4344,260,4521,4800,2018,12,0113,01,distributionGO_thanaconsuprocess
Tala,2682238,9512,2691750,1849313,344843,167518,8159,273,8432,484,6308,0,6308,1336,3925,10569,11,9,9,13,72,1006,2229,265,2492,3498,2018,12,0210,02,distributionGO_thanaconsuprocess
Satkhira Sadar,4060882,11864,4072746,6667647,594213,327972,7515,75,7590,280,9192,602,9794,1970,3977,7233,11,0,72930,2370,573,2636,2834,1623,4443,7079,2018,12,0210,02,distributionGO_thanaconsuprocess
Kolaroa,1576681,7014,1583695,2726767,227352,123218,2696,89,2785,56,4124,0,4124,358,2819,9036,0,0,0,882536,0,3053,2622,396,3015,6068,2018,12,0210,02,distributionGO_thanaconsuprocess
Debhata,1169261,5560,1174821,1397070,93101,42378,1101,0,1101,147,3016,84,3100,1000,1667,4367,0,0,759497,96295,23,599,1763,374,2136,2735,2018,12,0210,02,distributionGO_thanaconsuprocess
