thana_Name,Shukhi,Apon,Condom,Inj_Vial,Inj_Siringe,IUD_Normal,IUD_Partum,IUD_Remove,Implanon,Jadel,Implant_Remove,ECP,Misoprostol,MRM_Pack,Inj_mgs4,MNP_Saset,IFA_number,Sanitary_Pad,NSV,Tubectomy_Normal,Tubectomy_Partum,Year,Month,District,Division,program
Chilmari,102933,290,86235,16587,0,0,0,0,194,0,0,25,0,0,0,0,0,0,15,5,0,2018,12,0106,07,distributionNGO_thanaconsuprocess
Char Rajibpur,530515,860,3060861,100934,41021,390,4,7,321,39,0,90,664,0,0,0,4610,0,948,9,8,2018,12,0106,07,distributionNGO_thanaconsuprocess
Rajarhat,546107,68,1676787,133986,71016,315,0,18,1408,0,7,220,114,0,0,0,0,15,122,86,0,2018,12,0106,07,distributionNGO_thanaconsuprocess
Habiganj Sadar,97616,58,492731,26830,16468,559,12,81,0,0,0,10,22,0,0,0,0,0,0,0,0,2018,12,0602,06,distributionNGO_thanaconsuprocess
Gopalganj Sadar,104879,95,795906,23323,13477,2556,0,1,1114,0,13,62,0,0,0,89,0,0,8995,334,2,2018,12,0401,04,distributionNGO_thanaconsuprocess
Muksudpur,904950,0,1332297,62642,33751,718,7,8,137,0,0,110,0,0,0,0,0,0,157,311,10,2018,12,0401,04,distributionNGO_thanaconsuprocess
Tungipara,847032,990,871624,43399,25142,481,0,4,242,0,0,455,302,0,0,0,0,0,96,290,3,2018,12,0401,04,distributionNGO_thanaconsuprocess
Kotalipara,248744,0,232826,1891,951,86,2,0,448,0,0,309,0,0,0,0,0,0,20,700,91,2018,12,0401,04,distributionNGO_thanaconsuprocess
Kasiani,581388,671,1389575,61857,39847,665,63,94,417,0,97,308,471,0,0,0,0,2,79,506,26,2018,12,0401,04,distributionNGO_thanaconsuprocess
Brahmanbaria Sadar,146623,0,716920,76178,40519,1872,0,5,662,138,1,259,16,0,0,0,0,0,2,5,0,2018,12,0501,05,distributionNGO_thanaconsuprocess
Nasirnagar,297669,59,2037705,51521,28207,502,0,0,16,0,0,218,0,0,0,0,0,0,3,7,0,2018,12,0501,05,distributionNGO_thanaconsuprocess
Nabinagar,449847,420,1717736,115834,77126,560,0,0,81,0,4,262,0,0,0,0,0,0,0,2,0,2018,12,0501,05,distributionNGO_thanaconsuprocess
Kashba,463325,0,1390651,41812,18959,361,0,0,27,0,0,396,0,0,0,0,0,0,2,14,0,2018,12,0501,05,distributionNGO_thanaconsuprocess
Sarail,545047,216,2257635,56957,29705,841,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,2018,12,0501,05,distributionNGO_thanaconsuprocess
Kazipur,716276,100,1682049,111680,42714,749,8,0,187,0,0,183,100,0,0,0,0,0,49,12,0,2018,12,0116,01,distributionNGO_thanaconsuprocess
Rayganj,138792,787,260825,28177,27981,199,0,0,0,0,0,94,818,0,0,0,0,0,1,47,1,2018,12,0116,01,distributionNGO_thanaconsuprocess
Sirajganj Sadar,279309,993,1119421,101388,72892,1516,0,124,28,0,15,846,541,0,0,0,0,0,41,33,0,2018,12,0116,01,distributionNGO_thanaconsuprocess
Ullahpara,1228970,248,1636810,157628,95979,1210,3,309,79,0,6,223,243,2,0,0,0,0,39,51,0,2018,12,0116,01,distributionNGO_thanaconsuprocess
