thana_Name,Shukhi,Apon,Condom,Inj_Vial,Inj_Siringe,IUD_Normal,IUD_Partum,IUD_Remove,Implanon,Jadel,Implant_Remove,ECP,Misoprostol,MRM_Pack,Inj_mgs4,MNP_Saset,IFA_number,Sanitary_Pad,NSV,Tubectomy_Normal,Tubectomy_Partum,Year,Month,District,Division,program
Moheshkhali,44674,481,45661,6037,6132,15,0,0,0,0,0,0,130,0,0,5936,0,0,0,0,0,2018,12,0508,05,distributionNGO_thanaconsuprocess
Coxs Bazar Sadar,1207589,3806,2580338,200118,102298,2404,299,541,2117,34,303,421,30,128,0,0,223,183,136,81,613,2018,12,0508,05,distributionNGO_thanaconsuprocess
Ramu,795937,1119,808060,169669,104862,414,10,43,1360,0,158,1255,126,0,0,0,0,0,22,9,5,2018,12,0508,05,distributionNGO_thanaconsuprocess
Chakaria,930278,873,882733,172938,98654,1291,46,97,1536,38,216,413,2181,0,0,0,215,11,8,323,112,2018,12,0508,05,distributionNGO_thanaconsuprocess
Ukhiya,54623,150,129225,17218,16314,53,1,3,34,0,24,0,415,0,0,0,0,0,8,9,1,2018,12,0508,05,distributionNGO_thanaconsuprocess
Teknaf,434656,532,743311,130918,76769,501,34,5,847,11,14,380,200,0,0,0,0,0,27,152,1,2018,12,0508,05,distributionNGO_thanaconsuprocess
Bochaganj,406547,510,157417,26289,12465,9,0,0,215,0,0,499,0,0,0,0,0,0,144,58,0,2018,12,0101,07,distributionNGO_thanaconsuprocess
Kaharole,11,0,11,11,1,11,1,1,11,0,1,11,94102,0,0,0,0,0,11,12,1,2018,12,0101,07,distributionNGO_thanaconsuprocess
Fulbari,587,0,9961,10,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2018,12,0101,07,distributionNGO_thanaconsuprocess
Dinajpur Sadar,1452439,1352,2366500,386623,218000,4352,60,322,17095,160,3834,9156,97,5,0,0,0,0,10360,2512,577,2018,12,0101,07,distributionNGO_thanaconsuprocess
Hakimpur,1052963,905,369948,37268,21549,164,0,1,512,0,4,220,885,0,0,0,1695,0,109,67,0,2018,12,0101,07,distributionNGO_thanaconsuprocess
Birganj,353642,0,78270,40452,20336,39,0,0,343,0,0,325,0,0,0,0,0,0,53,71,31,2018,12,0101,07,distributionNGO_thanaconsuprocess
Birol,863885,1115,572597,106228,63803,309,0,42,988,0,169,41,0,0,0,0,0,0,309,420,0,2018,12,0101,07,distributionNGO_thanaconsuprocess
Chirir Bandar,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,1,0,2018,12,0101,07,distributionNGO_thanaconsuprocess
Parbatipur,1295048,314,2268573,146381,79884,1635,0,12,4430,0,679,961,100,0,0,0,0,0,129,1275,0,2018,12,0101,07,distributionNGO_thanaconsuprocess
Birampur,21711,594,17031,1901,2054,0,0,0,0,0,0,0,412,0,0,0,0,0,0,0,0,2018,12,0101,07,distributionNGO_thanaconsuprocess
Dhamrai,2581,0,9410,278,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2018,12,0406,04,distributionNGO_thanaconsuprocess
Mirpur,4188365,8229,15051240,1230703,590088,30378,1250,2894,21498,910,3410,789,181,0,194,0,0,46,27942,2793,1484,2018,12,0406,04,distributionNGO_thanaconsuprocess
Keraniganj,203721,2804,557613,88683,56492,2025,126,72,2129,91,52,174,58,0,0,0,0,0,177,25,109,2018,12,0406,04,distributionNGO_thanaconsuprocess
Savar,838006,0,1967165,169126,41710,1699,0,37,400,4,5,115,0,0,0,0,0,0,216,74,3,2018,12,0406,04,distributionNGO_thanaconsuprocess
Nawabganj,31286,20,39794,6346,6611,171,0,7,5,1,0,0,36,0,0,0,0,0,1,0,0,2018,12,0406,04,distributionNGO_thanaconsuprocess
Tejgaon,8445391,70128,19051979,1928137,911782,29546,1207,2024,24130,167,4639,6190,0,0,0,0,0,79,36148,8407,3553,2018,12,0406,04,distributionNGO_thanaconsuprocess
Dohar,217627,48,638392,28830,14776,207,3,4,105,0,19,53,6,0,0,0,0,0,55,29,41,2018,12,0406,04,distributionNGO_thanaconsuprocess
Ramgoti,139722,189,446064,91740,31004,119,0,0,4,0,0,155,487,0,0,0,0,0,41,2,0,2018,12,0506,05,distributionNGO_thanaconsuprocess
Lakshmipur Sadar,338435,0,1506130,116800,53978,1137,1,7,2609,45,566,864,2,0,0,0,0,0,3,58,0,2018,12,0506,05,distributionNGO_thanaconsuprocess
Ramganj,170334,77,430684,79015,34367,451,0,1101,78,0,47,165,324,0,0,0,0,0,7,51,29,2018,12,0506,05,distributionNGO_thanaconsuprocess
Kamalnagar,29876,94,265711,21482,25958,35,0,8,2,0,0,0,667,0,0,0,0,4,1,0,0,2018,12,0506,05,distributionNGO_thanaconsuprocess
Naogaon Sadar,543108,2114,1405623,91414,47150,309,226,106,877,45,12,594,396,0,0,0,0,0,106,467,221,2018,12,0111,01,distributionNGO_thanaconsuprocess
Badalgachhi,1125613,800,1001950,204850,96447,554,0,74,53,0,0,1144,172,0,0,0,0,0,352,509,7,2018,12,0111,01,distributionNGO_thanaconsuprocess
Dhamoirhat,331629,365,547351,76721,38992,566,0,230,51,0,10,202,43,0,0,0,0,0,226,72,1,2018,12,0111,01,distributionNGO_thanaconsuprocess
Niamatpur,63991,0,37809,3639,1184,34,0,0,227,0,75,46,0,0,0,0,0,0,23,103,6,2018,12,0111,01,distributionNGO_thanaconsuprocess
