
     Distribution of Population by PSUs,2002
     PSU_NO ZILA  THANA  UNION   RMO   TOT_HH   TOTAL POP
      0224   19    72     02      2     230          1186
      0225   46    49     02      2     205           857
      0226   46    49     04      2     198           915
      0227   46    49     06      2     202           962
      0228   46    49     09      2     203           924
      0229   30    25     01      2     257          1225
      0230   30    29     02      2     181           899
      0231   30    29     08      2     200          1242
      0232   30    29     13      2     209          1169
      0233   51    43     02      2     278          1381
      0234   51    43     07      2     245          1288
      0235   51    58     02      2     199           961
      0236   51    65     03      2     210          1056
      0237   75    07     01      2     228          1189
      0238   75    07     08      2     230          1320
      0239   65    10     09      2     217          1132
      0240   75    87     01      2     285          1590
      0241   75    87     05      2     217          1040
      0242   84    87     01      2     206          1162
      0243   84    87     04      2     197           967
      0244   84    87     06      2     272          1179
      0245   84    87     08      2     189           857
      0246   15    06     02      2     163           692
      0247   15    10     18      2     244          1308
      0248   15    19     05      2     226          1048
      0249   15    20     39      2     222           885
      0250   15    28     27      2     172           870
      0251   15    35     25      2     208          1070
      0252   15    37     41      2     222          1383
      0253   15    39     18      2     215          1213
      0254   15    41     16      2     199          1066
      0255   15    41     34      2     218          1054
      0256   15    43     14      2     223          1178
      0257   15    57     07      2     208           915
      0258   15    65     41      2     256          1223
      0259   15    86     47      2     281          1555
      0260   26    14     23      1     209           947
      0261   26    14     41      1     228           919
      0262   26    14     65      1     215          1010
      0263   26    14     94      1     202           897
      0264   26    18     52      1     222          1036
      0265   26    62     20      1     187           897
     Distribution of Population by PSUs,2002
     PSU_NO ZILA  THANA  UNION   RMO   TOT_HH   TOTAL POP
     -----  ----  -----  -----   ---   ------    ---------
      0266   26    62     61      1     199           939
      0267   26    62     94      1     259          1079
      0268   33    32     28      1     196           869
      0269   33    32     66      3     379          1158
      0270   33    34     69      1     222          1124
      0271   33    36     08      1     198           931
      0272   33    36     51      1     183           806
      0273   33    36     94      1     195           826
      0274   33    86     38      1     213           842
      0275   33    86     76      1     269          1197
      0276   56    10     28      1     196           959
      0277   56    52     35      1     206           976
      0278   56    28     36      1     216          1038
      0279   56    46     23      1     241          1143
      0280   56    70     19      3     199           779
      0281   56    78     11      1     218           981
      0282   56    78     83      1     211           914
      0283   56    82     60      1     233          1126
      0284   59    24     42      1     222          1023
      0285   59    44     55      1     234          1239
      0286   59    56     28      1     171           879
      0287   59    56     85      1     185           987
      0288   59    74     47      1     209          1004
      0289   59    84     20      1     193           687
      0290   58    84     74      3     242          1023
      0291   59    94     55      1     199           902
      0292   67    02     23      1     232          1151
      0293   67    02     63      1     188          1114
      0294   67    02     94      1     250          1512
      0295   67    04     43      1     234          1008
      0296   67    04     86      1     225          1068
      0297   67    68     31      1     246          1210
      0298   67    68     55      1     202          1015
      0299   67    68     87      1     259          1014
      0300   68    07     20      3     189           913
      0301   68    52     40      1     211           892
      0302   68    52     94      1     205           962
      0303   68    60     53      3     197           867
      0304   68    60     95      1     165           743
      0305   68    64     08      3     192           998
      0306   68    64     50      1     219          1044
      0307   68    64     91      1     184          1055
      0308   68    76     63      1     200           883
      0309   29    03     42      1     234          1192
      0310   29    10     55      1     228          1124
      0311   29    18     30      1     232          1165
      0312   29    21     19      1     235          1136
      0313   29    47     39      1     267          1242
      0314   29    47     71      1     250          1179
      0315   29    56     52      1     226          1159
      0316   29    62     27      1     236          1069
      0317   29    62     78      1     241          1247
      0318   29    84     47      1     207          1063
     Distribution of Population by PSUs,2002
     PSU_NO ZILA  THANA  UNION   RMO   TOT_HH   TOTAL POP
     -----  ----  -----  -----   ---   ------    ---------
      0319   35    32     30      1     219          1187
      0320   35    32     73      1     218          1096
      0321   35    43     27      1     218           999
      0322   35    43     88      1     209           924
      0323   35    51     55      1     263          1605
      0324   35    58     16      1     224          1107
      0325   35    58     55      1     202          1125
