"Survey.Units","BCG_Children12M","OPV1_Children12M","DPT1_Children12M","HB1_Children12M","OPV2_Children12M","DPT2_Children12M","HB2_Children12M","OPV3_Children12M","DPT3_Children12M","HB3_Children12M","Measles_Children12M","Fully_Children12M","BCG_Children23M","OPV1_Children23M","DPT1_Children23M","HB1_Children23M","OPV2_Children23M","DPT2_Children23M","HB2_Children23M","OPV3_Children23M","DPT3_Children23M","HB3_Children23M","Measles_Children23M","Fully_Children23M","TT1_Mother0-11MChildren","TT2_Mother0-11MChildren","TT3_Mother0-11MChildren","TT4_Mother0-11MChildren","TT5_Mother0-11MChildren","TT1_Woman18-49Y","TT2_Woman18-49Y","TT3_Woman18-49Y","TT4_Woman18-49Y","TT5_Woman18-49Y","PAB_Mother0-11MChildren","OPVCoverage_18NID_Children0-5M","OPVCoverage_MeaslesCampaign_Children0-5M","OPVCoverage_Both_Children0-5M","VitASupplementationCoverage_PostPartum","VitACoverage_Children12-59M","VitACoverage_Infants9-11M","AnthelminticCoverage_Children24-59M","MeaslesCoverage_Children9-59M"
"Jessore",99,98.5,98.5,98.5,97.5,97.5,97.5,94.6,91.7,91.7,88.8,85.6,99,98.5,98.5,98.5,98.1,98.1,98.1,95.8,92.3,92.3,93.2,89.4,98.6,98.1,85.2,66.2,45.7,91.4,87.6,68.6,41.9,23.3,96.2,95.2,92.9,91,48.1,95.2,95.7,93.8,86.2
"Jhalokati",99.3,99.3,99.3,99.3,98.3,98.3,98.3,97.4,89.1,89.1,88.2,80.3,100,100,100,100,99,99,99,98.1,89.7,89.7,92.6,83.9,95.2,92.9,80.5,60.5,38.6,91.9,89,77.6,56.2,36.2,91.9,97.6,96.7,94.8,27.1,96.2,97.6,81.9,84.8
"Jhenaidah",100,100,100,100,97,96.3,96.3,92.2,85.1,85.1,85.3,76.9,100,100,100,100,98.2,97.6,97.6,94.1,87.1,87.1,90.9,82.5,98.1,95.2,81.4,67.1,46.7,91,86.2,70,46.7,25.2,96.7,98.1,94.3,92.4,37.1,93.3,97.1,88.1,81
"Joypurhat",100,100,100,100,98.5,98.5,98.5,95.4,92.4,92.4,89,85.8,100,100,100,100,99.5,99.5,99.5,97.5,93.4,93.4,93.2,89,99.5,99.5,91,66.7,44.8,100,100,95.7,82.4,51,98.1,100,100,100,75.7,98.6,99.5,98.1,100
"KCC",97.9,97.4,97.4,97.4,94.8,94.8,94.8,91.7,89.5,89.5,80.8,78.7,98.6,98.1,98.1,98.1,96.2,96.2,96.2,93.8,91,91,88.8,85.9,98.6,95.7,79.5,48.6,30,99,97.1,84.3,63.8,47.6,89,96.2,95.7,94.8,49,95.7,91,94.8,85.2
"Khagrachari",91.9,91.9,91.9,91.9,88.6,88.6,88.6,86.5,82.2,82.2,77.8,73.2,91.9,91.9,91.9,91.9,88.6,88.6,88.6,87.1,82.2,82.2,81.1,75.8,87.6,84.3,71.9,50.5,30,85.7,82.9,69,46.7,26.7,80.5,91,90,90,47.6,91,83.8,91,90
"Khulna",99.5,99.5,99.5,99.5,98.9,98.9,98.9,96.7,94.1,94.1,89,86.2,99.5,99.5,99.5,99.5,99.5,99.5,99.5,97.3,94.7,94.7,93.9,91.1,97.1,97.1,88.1,75.2,50.5,95.7,92.9,82.4,61,43.3,96.2,99,98.1,98.1,47.1,99,98.1,97.6,96.7
"Khulna Division",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5,99.3,99.3,99.3,98.1,97.8,97.8,95.3,91,91,90.3,85.4,97.6,96.1,83.4,62,39.3,93.5,89.9,73.9,50.5,30.3,93.2,97.4,94,92.8,36.2,96.4,94.9,93.2,88.5
"Kishoreganj",100,100,100,100,100,100,100,98.4,91.7,91.7,89.9,82.9,100,100,100,100,100,100,100,99,92.2,92.2,92.2,85.2,97.6,96.7,82.9,63.3,43.8,96.7,93.8,87.1,71.9,51,93.3,95.2,90.5,88.1,35.2,94.3,95.7,88.6,82.9
"Kurigram",99.3,99.3,99.3,99.3,99.3,99.3,99.3,97.9,87.9,87.9,91.4,81.3,100,100,100,100,100,100,100,99.3,88.7,88.7,94.2,83.5,100,99,89,51,17.1,100,100,89.5,57.6,32.4,96.2,93.3,85.7,82.4,96.7,92.9,100,90.5,85.7
"Kustia",100,100,100,100,98.2,97.4,97.4,93.5,88.4,88.4,89.4,83,100,100,100,100,98.2,97.4,97.4,94.3,88.4,88.4,92.1,84.8,98.6,97.1,85.2,65.7,41.9,94.3,89.5,76.2,54.8,34.3,96.7,98.1,86.7,85.7,20,97.6,96.7,96.7,79.5
"Lakshmipur",97.1,96.7,96.7,96.7,95.7,95.7,95.7,91.3,87.5,87.5,83.4,79.3,97.1,96.7,96.7,96.7,95.7,95.7,95.7,91.3,87.5,87.5,84.3,80.1,93.8,92.4,72.9,45.2,28.1,89,86.7,70,42.4,24.3,88.6,95.7,81,79,18.6,94.3,87.6,92.4,79
"Lalmonirhat",99.1,98.2,98.2,98.2,96.9,96.9,96.9,92.7,88.2,88.2,87.3,82.6,100,100,100,100,98.6,98.6,98.6,95.4,90.9,90.9,92.9,88.2,98.1,97.6,89.5,64.8,46.2,96.2,91.4,74.3,53.3,30.5,95.7,99,96.7,96.7,50,99,94.8,99,95.7
"Madaripur",99,99,99,99,98.1,98.1,98.1,94.3,88.3,88.3,78,72.3,99,99,99,99,98.1,98.1,98.1,95.1,88.3,88.3,83,76.4,97.6,96.7,82.4,56.2,30,92.9,89,75.7,46.7,31.4,90,98.6,95.2,94.8,11,99,89.5,99,94.3
"Magura",99.4,99.4,99.4,99.4,97.5,97.5,97.5,95.2,92.7,92.7,86.3,83.7,100,100,100,100,100,99.4,99.4,97.7,94.6,94.6,91.4,87.6,99.5,99.5,91,71.4,44.3,99,98.1,84.8,59,32.4,94.3,99,94.8,94.3,20.5,99,95.2,95.7,94.3
"Manikganj",98.6,97.8,97.8,97.8,95.4,95.4,95.4,87.9,86.3,86.3,76.8,75,98.6,97.8,97.8,97.8,95.4,95.4,95.4,88.7,87.1,87.1,80.3,78.5,95.2,93.3,80.5,56.7,36.2,88.1,85.2,67.1,46.7,27.1,86.2,97.6,100,97.6,21.4,97.6,83.8,97.6,98.1
"Meherpur",100,99.3,99.3,99.3,98.6,98.6,98.6,96.9,90.3,90.3,89.8,82.6,100,99.3,99.3,99.3,98.6,98.6,98.6,97.6,90.3,90.3,91.4,83.4,97.6,95.2,80.5,50.5,18.1,88.6,82.9,59,32.9,11.4,88.6,99,97.6,97.1,27.6,96.7,96.2,81.4,86.2
"Moulavibazar",95.7,95.2,95.2,95.2,94.3,94.3,94.3,90.7,85.7,85.7,79.3,73.7,95.7,95.2,95.2,95.2,94.3,94.3,94.3,90.7,85.7,85.7,82.4,76.8,93.8,90,77.6,57.6,41,81,78.1,62.9,47.1,30.5,89,95.7,93.8,93.8,46.2,95.7,84.8,94.8,89.5
"Munshiganj",100,100,100,100,99.3,98.6,98.6,95.9,93,93,87.4,83.7,100,100,100,100,99.3,98.6,98.6,96.6,93,93,91.8,87.4,98.6,98.6,92.4,74.3,53.8,97.1,96.2,87.6,71.9,45.7,95.2,98.6,95.2,93.8,21.9,100,94.8,99.5,92.9
"Mymensingh",99,99,99,99,96.2,96.2,96.2,91.1,86.6,86.6,84,79.3,99,99,99,99,96.2,96.2,96.2,91.9,87.4,87.4,86.3,81.6,97.6,95.7,78.6,52.9,29,91,87.6,65.7,43.3,23.3,93.3,98.6,95.7,95.2,48.1,98.6,88.6,96.7,85.7
"Naogaon",100,100,100,100,99,99,99,98.5,94.7,94.7,92.8,88.8,100,100,100,100,99,99,99,98.5,94.7,94.7,97.4,93.4,99,98.6,91.4,75.2,54.8,100,99,93.3,81.4,50.5,98.6,100,99.5,99.5,15.7,100,98.6,99.5,99.5
"Narail",98.2,98.2,98.2,98.2,95.1,95.1,95.1,92.5,90.3,90.3,84,81.6,99.5,99.5,99.5,99.5,97.9,97.9,97.9,94.7,92.5,92.5,89.5,87.2,97.1,94.8,80,56.7,38.6,93.8,90,74.3,54.3,32.9,90.5,99,99,98.1,14.3,98.1,96.7,99,97.1
"Narayanganj",99.5,99.5,99.5,99.5,99.5,99.5,99.5,99,93.6,93.6,91,85.6,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99,93.6,93.6,94.2,88.7,95.2,93.8,79,60,41.4,93.8,89.5,72.9,47.6,26.7,92.4,94.8,84.3,83.8,29,95.2,95.7,95.2,75.2
"Nartore",99,99,99,99,99,99,99,96.5,92.7,92.7,90.1,86,99,99,99,99,99,99,99,97.1,92.7,92.7,94.9,90.1,97.6,96.7,85.7,66.2,45.2,92.9,91,80.5,57.1,33.8,95.7,94.8,94.8,92.9,29,94.3,97.6,92.9,88.6
"National",98.6,98.4,98.4,98.4,97.1,97,97,93.6,88.7,88.7,84.8,79.4,98.9,98.7,98.7,98.7,97.6,97.5,97.5,94.7,89.4,89.4,89.2,83.4,96.9,95.3,82,60.7,38.9,92,89,75.5,53.4,33,91.9,96.6,92.7,91.2,38.5,95.9,93.2,92,88.2
"Netrokona",98.2,98.2,98.2,98.2,95.1,93.3,93.3,85.4,83.6,83.6,80,76.2,99,99,99,99,95.9,94.2,94.2,86.2,84.5,84.5,83.8,80,98.1,96.7,83.8,61.4,39.5,92.9,89,79,59.5,32.9,88.6,99.5,92.4,92.4,28.6,99.5,91.4,99,80.5
"Nilphamari",98.9,98.3,98.3,98.3,97.9,97.9,97.9,95.4,89.3,89.3,79.8,73.4,99.5,98.9,98.9,98.9,98.5,98.5,98.5,96.1,89.9,90.3,88.1,81.7,98.6,97.6,79,57.1,31,92.4,89.5,74.3,52.9,29,92.9,98.1,96.7,95.7,63.8,97.1,91.9,92.4,95.7
"Noakhali",96.7,96.2,96.2,96.2,93.6,93.6,93.6,87.7,78.8,78.8,73.5,63.9,96.7,96.2,96.2,96.2,94.3,94.3,94.3,89,79.4,79.4,79,68.7,95.7,93.3,72.4,49,27.1,85.7,78.6,63.3,42.9,28.1,85.7,96.2,82.9,81.4,16.7,95.7,83.8,92.4,78.6
"Norsingdhi",99.3,99.3,99.3,99.3,97.9,97.9,97.9,94.3,90.9,90.9,83.3,79.7,100,100,100,100,99.3,99.3,99.3,95.7,92.3,92.3,87.6,84,98.1,96.2,86.2,64.3,39.5,90,87.1,74.8,47.6,23.8,86.7,93.3,91.9,89.5,39,93.3,91.9,90,86.2
"Pabna",99.3,98.6,98.6,98.6,97.6,97.6,97.6,93.4,92,92,85,83.5,100,100,100,100,99,99,99,95.5,93.4,93.4,88.1,85.8,99.5,99,87.1,68.6,41,99.5,98.6,88.6,70.5,53.3,99.5,97.1,96.7,95.2,39.5,94.8,95.7,93.8,93.3
"Panchagarh",100,100,100,100,97.6,97.6,97.6,93.4,88.4,88.4,84.8,79.4,100,100,100,100,99.4,99.4,99.4,96.5,91.5,91.5,91.5,86.1,98.1,97.1,84.3,71,49.5,88.1,82.4,72.9,55.7,31.9,98.1,98.6,94.8,93.3,26.2,93.3,96.2,86.7,87.6
"Patuakhali",99.5,98.9,98.9,98.9,97.5,97.5,97.5,95.7,87.7,87.7,88.9,80.6,99.5,99.5,99.5,99.5,98.9,98.9,98.9,97,89,89,93.7,85.4,98.6,98.1,73.8,41.9,22.9,93.3,92.9,81.9,48.1,30.5,96.2,96.7,94.3,93.8,69,94.3,97.1,91.9,93.8
"Perojpur",100,100,100,100,99,99,99,96,92.9,92.9,86.5,83,100,100,100,100,99,99,99,97.3,93.5,93.5,90.7,86.5,97.6,95.2,84.3,62.4,42.9,90.5,86.2,75.7,51.9,27.6,82.4,96.7,92.9,91.4,37.6,95.7,96.2,91.4,90.5
"Rajbari",100,100,100,100,99.3,99.3,99.3,92.4,85.6,85.6,83.3,75.5,100,100,100,100,100,100,100,93.8,86.9,86.9,86.5,78.7,98.1,96.7,87.1,63.8,42.4,93.3,88.6,73.8,48.1,27.1,86.2,94.8,85.7,82.4,18.1,95.7,91.9,87.6,82.4
"Rajshahi",100,100,100,100,100,100,100,98.4,94.3,94.3,94.6,90.2,100,100,100,100,100,100,100,98.9,94.3,94.3,95.3,90.2,100,98.1,86.7,61.9,41.4,94.3,90.5,78.1,54.3,32.4,95.2,93.3,90.5,88.1,24.8,92.4,97.1,86.2,83.8
"Rajshahi Division",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.8,99.7,99.7,99.7,99,99,99,96.9,91.6,91.6,92,86.3,98.6,97.5,86.8,67.2,45.9,94,91.9,82,63.7,42.4,95.2,97.6,96.3,95.2,43.4,96.9,97,95.3,92.9
"Rangamati",94.2,93.7,93.7,93.7,91.8,91.8,91.8,90.8,87.3,87.3,78.2,74.6,94.8,94.3,94.3,94.3,92.4,92.4,92.4,91.4,87.9,87.9,82.5,78.8,89,87.1,68.6,51,29.5,87.1,83.8,69,51.9,35.2,84.8,93.3,77.6,77.6,44.8,92.9,84.3,91.4,77.1
"Rangpur",100,100,100,100,100,100,100,97.3,88.3,88.3,87.8,78,100,100,100,100,100,100,100,97.3,88.3,88.3,92.7,82.9,97.6,95.7,81,63.8,42.9,95.2,88.1,76.2,54.3,33.8,92.4,94.3,88.1,84.3,46.2,86.7,94.8,51.4,77.6
"Rangpur Division",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,96.8,85,63.8,39.8,94.2,91,78.2,56.8,33.7,94.3,97.1,93.3,91.6,48.1,94.7,94.9,86,90.4
"RCC",100,99.5,99.5,99.5,99,99,99,99,98.3,98.3,96.1,95.3,100,99.5,99.5,99.5,99,99,99,99,98.3,98.3,96.1,95.3,97.6,97.1,90.5,73.3,49.5,90,87.6,80,65.2,48.6,96.2,99.5,98.6,98.1,53.8,99.5,98.6,97.6,95.7
"Rural",98.9,98.5,98.5,98.5,96.7,96.7,96.7,93.7,88.7,88.7,84.3,79,98.8,98.6,98.6,98.6,97.6,97.5,97.5,94.7,89.4,89.4,89.2,83.4,96.8,95.1,82,61.2,39.2,91.8,88.8,75.3,53.4,32.7,NA,96.4,92.4,90.9,37.7,95.7,93.2,91.9,88
"Satkhira",100,99.5,99.5,99.5,97.6,97.6,97.6,95.2,92.5,92.5,88.1,85.2,100,99.5,99.5,99.5,97.6,97.6,97.6,95.2,92.5,92.5,91.1,88.1,98.6,97.1,81,62.4,38.1,98.6,94.3,78.1,56.2,35.7,93.8,96.7,89,86.7,29.5,95.7,93.3,93.3,89
"SCC",95.5,94,94,94,90.6,90.6,90.6,85.9,78.3,78.3,77.3,69.5,96.2,94.8,94.8,94.8,92.9,92.9,92.9,88.9,80.6,80.6,83.5,75,94.3,92.9,73.8,49.5,31.9,85.2,81.9,65.7,46.7,30,87.6,97.6,95.7,95.2,25.7,96.7,86.7,96.7,90.5
"Serajganj",99.3,99.3,99.3,99.3,99.3,99.3,99.3,96.8,90.9,90.9,89.7,83.5,100,100,100,100,100,100,100,97.6,91.7,91.7,90.5,84.3,98.6,96.7,78.1,55.2,38.1,76.2,71.9,54.8,31.9,23.8,92.9,100,99,99,85.7,99,96.7,99,99
"Shariatpur",99,98.6,98.6,98.6,95,95,95,92.6,85.5,85.5,83.9,76.4,99,98.6,98.6,98.6,96.7,96.7,96.7,94.4,87.3,87.3,87.6,80.2,96.2,93.3,81.4,69,46.7,91.9,91,83.3,66.7,48.6,89.5,99.5,93.8,93.8,9,98.6,87.6,95.2,87.6
"Sherpur",100,99.4,99.4,99.4,99,99,99,95.6,94.4,94.4,86.9,85.6,100,99.4,99.4,99.4,99,99,99,95.6,94.4,94.4,88.9,87.6,97.6,97.6,88.6,68.1,45.2,95.2,94.8,84.8,66.2,43.3,96.7,99,96.7,96.7,57.6,98.6,94.8,96.7,95.2
"Sunamganj",96.2,95.7,95.7,95.7,92.3,92.3,92.3,85.7,83.4,83.4,75.9,73.6,96.2,95.7,95.7,95.7,92.9,92.9,92.9,87.4,84.5,84.5,81,78.2,90,86.2,70,48.1,37.1,85.2,79,64.8,50,29,78.6,93.8,79.5,77.6,13.3,92.9,83.3,92.4,77.6
"Sylhet",100,100,100,100,99.5,99,99,95.9,91.4,91.4,81.6,75.9,100,100,100,100,99.5,99,99,97,92,92,87.8,81.6,98.1,94.3,80.5,57.1,39,94.8,91.4,74.8,58.1,42.4,90,97.1,97.6,96.2,22.9,96.7,92.4,96.2,97.6
